dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,n_fit,n_calibration,n_test,mae,rmse,selected_candidate,final_epochs,estimator_class,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_rows_per_second,model_phase_seconds,process_cpu_seconds,cpu_measurement_status,coverage90,mpiw90,winkler90,rank90,q90,coverage_deviation90,coverage95,mpiw95,winkler95,rank95,q95,coverage_deviation95,signed_coverage_deviation90,absolute_coverage_deviation90,signed_coverage_deviation95,absolute_coverage_deviation95,deterministic_baseline_alias
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,attention_lstm,9577,3297,6437,3.1682401743923374,3.6269567967429404,0,9.0,src.attention_lstm.AttentionLSTM,50.5015138000017,12.282222800000454,0.14482180000049993,0.26875980000477284,23950.754539502137,63.19731820000743,61.953125,measured,0.1132515146807519,1.7072830200195312,48.98195249715428,2969,0.8536415100097656,-0.7867484853192481,0.13733105483921082,2.108522796630858,89.65355773885477,3134,1.054261398315429,-0.8126689451607891,-0.7867484853192481,0.7867484853192481,-0.8126689451607891,0.8126689451607891,False
bdg2,1,2,43,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,True,persistence,51664,17370,34640,20.987969087759815,41.67140770234165,0,,src.pilot_forecasters.Persistence,0.0,0.00043759999971371144,0.006632700009504333,0.011502200009999797,3011597.7786757867,0.01857250001921784,0.015625,measured,0.894919168591224,115.80600000000072,207.41386443418008,15634,57.90300000000036,-0.005080831408776021,0.9467667436489607,165.40000000000003,273.690915473441,16503,82.69999999999999,-0.0032332563510392154,-0.005080831408776021,0.005080831408776021,-0.0032332563510392154,0.0032332563510392154,True
bdg2,1,2,43,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,True,xgboost,51664,17370,34640,17.750118577538288,34.936503849500944,1,,xgboost.sklearn.XGBRegressor,6.5850224000023445,2.4947601000021677,0.20240509998984635,0.3869944000034593,89510.33916689843,9.669181999997818,9.484375,measured,0.9023960739030024,93.3888598632812,172.12690754151686,15634,46.69442993164063,0.002396073903002338,0.9490184757505774,136.78737792968747,232.53084655008283,16503,68.39368896484376,-0.0009815242494225496,0.002396073903002338,0.002396073903002338,-0.0009815242494225496,0.0009815242494225496,False
bdg2,1,2,43,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,True,attention_lstm,51664,17370,34640,19.610301750955557,37.71495828709621,0,28.0,src.attention_lstm.AttentionLSTM,515.6497181000013,208.0477402000106,0.6943352999951458,1.2767772999941371,27130.80816847156,725.6685709000012,713.828125,measured,0.9035796766743649,100.19955859375,182.4966493130092,15634,50.099779296875,0.0035796766743648734,0.9517321016166281,146.74984326171875,246.8633203915778,16503,73.37492163085938,0.0017321016166281789,0.0035796766743648734,0.0035796766743648734,0.0017321016166281789,0.0017321016166281789,False
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,persistence,51634,17360,34640,42.80348447459585,78.69880137930757,0,,src.pilot_forecasters.Persistence,0.0,0.00038860000495333225,0.006797399997594766,0.01217000000178814,2846343.4671249255,0.019356000004336238,0.03125,measured,0.8978348729792148,250.0,402.0599384526559,15625,125.0,-0.002165127020785196,0.9459872979214781,344.19999999999993,504.7519927251731,16493,172.1,-0.00401270207852189,-0.002165127020785196,0.002165127020785196,-0.00401270207852189,0.00401270207852189,True
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,xgboost,51634,17360,34640,28.57570213110938,54.13507443126881,0,,xgboost.sklearn.XGBRegressor,6.326060299994424,2.065454800002044,0.16146439999283757,0.3162692000041716,109526.94729535187,8.869248699993477,8.625,measured,0.9063510392609699,146.7899169921875,265.0726901300109,15625,73.39495849609375,0.006351039260969915,0.9483833718244804,207.56235546874996,359.41451336994464,16493,103.78117773437498,-0.0016166281755195522,0.006351039260969915,0.006351039260969915,-0.0016166281755195522,0.0016166281755195522,False
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,attention_lstm,51634,17360,34640,33.44762582413813,65.5270102532562,0,15.0,src.attention_lstm.AttentionLSTM,326.4265493999992,106.58459459998994,0.662775300006615,1.2893418000021484,26866.421301118353,434.9632610999979,427.4375,measured,0.9053117782909931,165.11253710937487,314.6459218817097,15625,82.55626855468745,0.005311778290993052,0.9493937644341801,237.44232788085947,435.6803436862865,16493,118.72116394042968,-0.0006062355658198459,0.005311778290993052,0.005311778290993052,-0.0006062355658198459,0.0006062355658198459,False
bdg2,6,2,43,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,077b77572186c5f9d9893e3c98265d76a061cc7ec7c7da76d384cccbee2ffa0f,True,persistence,51584,17350,34640,73.28396772228638,119.92957137497905,0,,src.pilot_forecasters.Persistence,0.0,0.00035930000012740493,0.0068103999947197735,0.01280100000440143,2706038.5898046684,0.01997069999924861,0.015625,measured,0.8975461893764434,406.3119999999999,580.2719217667436,15616,203.15599999999995,-0.0024538106235566515,0.9442263279445727,498.0,703.0353413394918,16484,249.0,-0.005773672055427226,-0.0024538106235566515,0.0024538106235566515,-0.005773672055427226,0.005773672055427226,True
bdg2,6,2,43,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,077b77572186c5f9d9893e3c98265d76a061cc7ec7c7da76d384cccbee2ffa0f,True,xgboost,51584,17350,34640,34.24959597998653,66.89004498068873,0,,xgboost.sklearn.XGBRegressor,6.427927500000806,2.025735299990629,0.1628398000029847,0.3211594999884255,107859.1790099574,8.937662099982845,8.671875,measured,0.9079099307159353,176.23862402343724,323.8865528830091,15616,88.11931201171859,0.007909930715935265,0.9484699769053118,247.06861914062472,444.44990676477437,16484,123.5343095703123,-0.0015300230946881932,0.007909930715935265,0.007909930715935265,-0.0015300230946881932,0.0015300230946881932,False
bdg2,6,2,43,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,077b77572186c5f9d9893e3c98265d76a061cc7ec7c7da76d384cccbee2ffa0f,True,attention_lstm,51584,17350,34640,40.14975309303125,76.80445089540677,0,7.0,src.attention_lstm.AttentionLSTM,194.0276326000021,50.9113578999968,0.6599244999961229,1.3960809999989579,24812.313898710647,246.994995999994,242.0625,measured,0.9083140877598153,201.8639169921875,366.89751064282575,15616,100.93195849609373,0.008314087759815236,0.954243648960739,287.7535937499998,505.5403163812719,16484,143.87679687499997,0.004243648960739033,0.008314087759815236,0.008314087759815236,0.004243648960739033,0.004243648960739033,False
pleia,1,2,43,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,006c7b08726fdfe876769e33b3062b900b78e677877db0102c7be60883189b03,True,persistence,14858,4953,9907,0.23937619864742102,0.3366736506882145,0,,src.pilot_forecasters.Persistence,0.0,0.00038529999437741935,0.0033561000018380582,0.005066599987912923,1955354.680384187,0.0088079999841284,0.015625,measured,0.9408499041082063,1.2000000000000028,1.5472292318562646,4459,0.6000000000000014,0.040849904108206325,0.9651761380841829,1.599999999999994,1.9044312102553733,4707,0.7999999999999972,0.015176138084182944,0.040849904108206325,0.040849904108206325,0.015176138084182944,0.015176138084182944,True
