dataset,outer_fold,seed,executed,operational_feasible,reason_code,selected_point_model,selected_interval_method,selected_nominal_level,selected_rule,selected_recalibration,evaluation_mode,n_events_requested_inner,n_events_placed_outer,n_events_detected,empirical_coverage,macro_recall,background_per_asset_day,included_in_headline_cis
pleia_energy,2,44,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,cqr,0.95,single,periodic,best_effort_diagnostic,17,34,26,0.4860199858685777,0.763888888888889,13.328757444231352,True
pleia_energy,0,45,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,quantile_uncalibrated,0.95,single,static,best_effort_diagnostic,34,34,28,0.8510445049954587,0.7777777777777777,13.209809264305177,True
pleia_energy,1,45,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,quantile_uncalibrated,0.95,single,static,best_effort_diagnostic,26,34,30,0.7578479862723327,0.8472222222222222,20.37831836075502,True
pleia_energy,2,45,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,cqr,0.95,single,static,best_effort_diagnostic,17,34,30,0.8540425961441405,0.8749999999999999,13.779347935802967,True
pleia_energy,0,46,True,True,selected_under_frozen_policy,xgboost,quantile_uncalibrated,0.95,k3_w30,static,operational,34,34,23,0.8510445049954587,0.6388888888888888,0.3197093551316984,True
pleia_energy,1,46,True,True,selected_under_frozen_policy,xgboost,cqr,0.975,k3_w30,static,operational,26,34,8,0.9729484203088724,0.2222222222222222,0.0,True
pleia_energy,2,46,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,recentred_enbpi_static,0.975,single,periodic,best_effort_diagnostic,17,34,28,0.5303320884223276,0.8194444444444443,16.235792873725647,True
rico,0,42,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,recentred_enbpi_static,0.995,k4_w60,static,best_effort_diagnostic,8,2,1,1.0,0.5,0.0,True
rico,1,42,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,recentred_enbpi_static,0.995,k4_w60,static,best_effort_diagnostic,8,2,1,1.0,0.5,0.0,True
rico,2,42,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,k3_w30,static,best_effort_diagnostic,8,2,1,1.0,0.5,0.0,True
rico,0,43,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,recentred_enbpi_static,0.995,k4_w60,static,best_effort_diagnostic,8,2,1,1.0,0.5,0.0,True
rico,1,43,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,k3_w30,static,best_effort_diagnostic,8,2,1,1.0,0.5,0.0,True
rico,2,43,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,k4_w60,static,best_effort_diagnostic,8,2,1,1.0,0.5,0.0,True
rico,0,44,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,recentred_enbpi_static,0.995,k4_w60,static,best_effort_diagnostic,8,3,1,1.0,0.3333333333333333,0.0,True
rico,1,44,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,k4_w60,static,best_effort_diagnostic,8,3,1,1.0,0.3333333333333333,0.0,True
rico,2,44,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,recentred_enbpi_static,0.995,k4_w60,static,best_effort_diagnostic,8,3,1,1.0,0.3333333333333333,0.0,True
rico,0,45,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,recentred_enbpi_static,0.995,k4_w60,static,best_effort_diagnostic,8,2,1,1.0,0.5,0.0,True
rico,1,45,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,recentred_enbpi_static,0.995,k4_w60,static,best_effort_diagnostic,8,2,1,1.0,0.5,0.0,True
rico,2,45,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,k4_w60,static,best_effort_diagnostic,8,2,1,1.0,0.5,0.0,True
rico,0,46,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,recentred_enbpi_static,0.995,k4_w60,static,best_effort_diagnostic,8,3,1,1.0,0.3333333333333333,0.0,True
rico,1,46,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,k4_w60,static,best_effort_diagnostic,8,3,1,1.0,0.3333333333333333,0.0,True
rico,2,46,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,recentred_enbpi_static,0.995,k4_w60,static,best_effort_diagnostic,8,3,1,1.0,0.3333333333333333,0.0,True
bdg2,0,42,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,single,static,best_effort_diagnostic,722,722,270,0.9426626672819566,0.3716829310049648,1.154591601292109,True
bdg2,1,42,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,single,periodic,best_effort_diagnostic,542,722,269,0.8841072973752524,0.3711011064030132,1.3263340063455438,True
bdg2,2,42,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,cqr,0.95,single,periodic,best_effort_diagnostic,361,722,285,0.9007499278915488,0.3947132616487455,1.6433804441880588,True
bdg2,0,43,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,single,periodic,best_effort_diagnostic,722,722,261,0.8850657591139824,0.3591444102037322,1.4273188740193816,True
bdg2,1,43,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,quantile_uncalibrated,0.95,single,static,best_effort_diagnostic,542,722,240,0.7790308624170753,0.3313912429378531,1.3554081338332853,True
bdg2,2,43,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,cqr,0.95,single,periodic,best_effort_diagnostic,361,722,286,0.9007499278915488,0.3959677419354838,1.641995961926738,True
bdg2,0,44,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,single,static,best_effort_diagnostic,722,722,255,0.9426626672819566,0.3514894709809963,1.161513613290263,True
bdg2,1,44,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,single,periodic,best_effort_diagnostic,542,722,279,0.8841072973752524,0.3855417255178907,1.3249495240842228,True
bdg2,2,44,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,cqr,0.95,single,periodic,best_effort_diagnostic,361,722,295,0.9007499278915488,0.4085125448028673,1.6357657917507933,True
bdg2,0,45,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,single,periodic,best_effort_diagnostic,722,722,270,0.8850657591139824,0.3718412942989214,1.4245500692201198,True
bdg2,1,45,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,single,periodic,best_effort_diagnostic,542,722,251,0.8841072973752524,0.346708745291902,1.3422555523507356,True
bdg2,2,45,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,cqr,0.95,single,periodic,best_effort_diagnostic,361,722,283,0.9007499278915488,0.3917114695340501,1.6509950966253246,True
bdg2,0,46,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,single,periodic,best_effort_diagnostic,722,722,280,0.8850657591139824,0.3856039205615476,1.4252422704199352,True
bdg2,1,46,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,single,periodic,best_effort_diagnostic,542,722,251,0.8841072973752524,0.3468661723163841,1.3277184886068647,True
bdg2,2,46,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,cqr,0.95,single,periodic,best_effort_diagnostic,361,722,277,0.9007499278915488,0.3833781362007167,1.6482261321026823,True
