phase,dataset,horizon,outer_fold,scheme,stage,n_scale_rows,n_outside_permitted_train,n_outer_test_scale_rows,scale_origin_max,scale_target_max,scale_membership_sha256
before,rico,60,1,whole_run_group_blocked,inner,20584,3652,0,2024-02-04 14:00:00,2024-02-04 15:00:00,c15d98876470817f9a7de03b44aefc882a73c18d90ac861d9c197390e10d51cc
before,rico,60,1,whole_run_group_blocked,outer,20584,0,0,2024-02-04 14:00:00,2024-02-04 15:00:00,c15d98876470817f9a7de03b44aefc882a73c18d90ac861d9c197390e10d51cc
before,rico,60,2,whole_run_group_blocked,inner,20584,3652,0,2024-02-04 14:00:00,2024-02-04 15:00:00,c15d98876470817f9a7de03b44aefc882a73c18d90ac861d9c197390e10d51cc
before,rico,60,2,whole_run_group_blocked,outer,20584,0,0,2024-02-04 14:00:00,2024-02-04 15:00:00,c15d98876470817f9a7de03b44aefc882a73c18d90ac861d9c197390e10d51cc
before,bdg2,1,0,chronological,inner,103517,34186,0,2017-03-14 12:00:00,2017-03-14 13:00:00,7757c790eed962c6ea129c4e9e61afb1c0ec37b00ce101406a392008b209f2f4
before,bdg2,1,0,chronological,outer,103517,0,0,2017-03-14 12:00:00,2017-03-14 13:00:00,7757c790eed962c6ea129c4e9e61afb1c0ec37b00ce101406a392008b209f2f4
before,bdg2,1,1,chronological,inner,103517,51519,0,2017-03-14 12:00:00,2017-03-14 13:00:00,7757c790eed962c6ea129c4e9e61afb1c0ec37b00ce101406a392008b209f2f4
before,bdg2,1,1,chronological,outer,103517,25520,0,2017-03-14 12:00:00,2017-03-14 13:00:00,7757c790eed962c6ea129c4e9e61afb1c0ec37b00ce101406a392008b209f2f4
before,bdg2,1,2,chronological,inner,103517,68855,34177,2017-03-14 12:00:00,2017-03-14 13:00:00,7757c790eed962c6ea129c4e9e61afb1c0ec37b00ce101406a392008b209f2f4
before,bdg2,1,2,chronological,outer,103517,51524,34177,2017-03-14 12:00:00,2017-03-14 13:00:00,7757c790eed962c6ea129c4e9e61afb1c0ec37b00ce101406a392008b209f2f4
before,bdg2,3,0,chronological,inner,103517,34196,0,2017-03-14 10:00:00,2017-03-14 13:00:00,d3226da22f9624a7d1e89ce30e9584aecaabbe7cc74666121e21737bc8561b1a
before,bdg2,3,0,chronological,outer,103517,0,0,2017-03-14 10:00:00,2017-03-14 13:00:00,d3226da22f9624a7d1e89ce30e9584aecaabbe7cc74666121e21737bc8561b1a
before,bdg2,3,1,chronological,inner,103517,51529,0,2017-03-14 10:00:00,2017-03-14 13:00:00,d3226da22f9624a7d1e89ce30e9584aecaabbe7cc74666121e21737bc8561b1a
before,bdg2,3,1,chronological,outer,103517,25535,0,2017-03-14 10:00:00,2017-03-14 13:00:00,d3226da22f9624a7d1e89ce30e9584aecaabbe7cc74666121e21737bc8561b1a
before,bdg2,3,2,chronological,inner,103517,68865,34177,2017-03-14 10:00:00,2017-03-14 13:00:00,d3226da22f9624a7d1e89ce30e9584aecaabbe7cc74666121e21737bc8561b1a
before,bdg2,3,2,chronological,outer,103517,51539,34177,2017-03-14 10:00:00,2017-03-14 13:00:00,d3226da22f9624a7d1e89ce30e9584aecaabbe7cc74666121e21737bc8561b1a
before,bdg2,6,0,chronological,inner,103517,34210,0,2017-03-14 07:00:00,2017-03-14 13:00:00,c468c7c7bc050fa53b224f12c3f120f1963c60c50cee00bd37fc169d9ae90589
before,bdg2,6,0,chronological,outer,103517,0,0,2017-03-14 07:00:00,2017-03-14 13:00:00,c468c7c7bc050fa53b224f12c3f120f1963c60c50cee00bd37fc169d9ae90589
before,bdg2,6,1,chronological,inner,103517,51544,0,2017-03-14 07:00:00,2017-03-14 13:00:00,c468c7c7bc050fa53b224f12c3f120f1963c60c50cee00bd37fc169d9ae90589
before,bdg2,6,1,chronological,outer,103517,25557,0,2017-03-14 07:00:00,2017-03-14 13:00:00,c468c7c7bc050fa53b224f12c3f120f1963c60c50cee00bd37fc169d9ae90589
before,bdg2,6,2,chronological,inner,103517,68880,34177,2017-03-14 07:00:00,2017-03-14 13:00:00,c468c7c7bc050fa53b224f12c3f120f1963c60c50cee00bd37fc169d9ae90589
before,bdg2,6,2,chronological,outer,103517,51561,34177,2017-03-14 07:00:00,2017-03-14 13:00:00,c468c7c7bc050fa53b224f12c3f120f1963c60c50cee00bd37fc169d9ae90589
