phase,dataset,horizon,outer_fold,scheme,role,group_id,n,origin_min,origin_max,target_min,target_max,membership_sha256
before,pleia,1,1,chronological,outer_test,nan,9907,2021-08-02 09:30:00,2021-10-10 04:30:00,2021-08-02 09:40:00,2021-10-10 04:40:00,c8e3a1cedc00a08cc2d4b24cfd948e6f75432fbd0b28b80c87c5d7a3c856a903
before,pleia,1,2,chronological,inner_train,nan,9906,2021-01-08 00:00:00,2021-03-17 18:50:00,2021-01-08 00:10:00,2021-03-17 19:00:00,3c8c45d7a07cba17b37ba7f7431e88b584eb45fd63162bf86c27ec92ae68bb84
before,pleia,1,2,chronological,inner_calib,nan,4953,2021-03-17 19:00:00,2021-04-21 04:20:00,2021-03-17 19:10:00,2021-04-21 04:30:00,2a914f3b4ed7962196f39770c296584f119d25a955d931986e54bffd37d647fb
before,pleia,1,2,chronological,inner_select,nan,4954,2021-04-21 04:30:00,2021-05-25 14:00:00,2021-04-21 04:40:00,2021-05-25 14:10:00,3d035a82a1c25db2861f3f6267e4cdb4c66195d89cc0bd97bce8e1c3b1a3a37c
before,pleia,1,2,chronological,refit_train,nan,14859,2021-01-08 00:00:00,2021-04-21 04:20:00,2021-01-08 00:10:00,2021-04-21 04:30:00,67e2ecfb156130da009905a3c65ed1c64539220da2d81ae5dcbc400231b7ed6f
before,pleia,1,2,chronological,refit_calibration,nan,4954,2021-04-21 04:30:00,2021-05-25 14:00:00,2021-04-21 04:40:00,2021-05-25 14:10:00,3d035a82a1c25db2861f3f6267e4cdb4c66195d89cc0bd97bce8e1c3b1a3a37c
before,pleia,1,2,chronological,outer_test,nan,9907,2021-05-25 14:20:00,2021-08-02 09:20:00,2021-05-25 14:30:00,2021-08-02 09:30:00,9873f938ec58b7643a4b9bb6625e3522fa47921a83ef136da20c6e62a17a410f
before,pleia,3,0,chronological,inner_train,nan,19812,2021-01-07 23:40:00,2021-05-25 13:30:00,2021-01-08 00:10:00,2021-05-25 14:00:00,a82cccde0c0bd16e0630eab5d7f51b2c1a31f99da5848d5946ea2ec7768a0d73
before,pleia,3,0,chronological,inner_calib,nan,9906,2021-05-25 13:40:00,2021-08-02 08:30:00,2021-05-25 14:10:00,2021-08-02 09:00:00,bf0c79d0d70ff447877a7da1c498d85cbb0ed002b402a77869d9012e7ab44538
before,pleia,3,0,chronological,inner_select,nan,9907,2021-08-02 08:40:00,2021-10-10 03:40:00,2021-08-02 09:10:00,2021-10-10 04:10:00,e17bdf4b0555084ffe740163dd3ff961ff42bdf55221dc12e928ef74803174f9
before,pleia,3,0,chronological,refit_train,nan,29718,2021-01-07 23:40:00,2021-08-02 08:30:00,2021-01-08 00:10:00,2021-08-02 09:00:00,d20f0a8015a81ca7e6a47aa5512e4abaa4ff1643eab79f93c0479d2405dee08f
before,pleia,3,0,chronological,refit_calibration,nan,9907,2021-08-02 08:40:00,2021-10-10 03:40:00,2021-08-02 09:10:00,2021-10-10 04:10:00,e17bdf4b0555084ffe740163dd3ff961ff42bdf55221dc12e928ef74803174f9
before,pleia,3,0,chronological,outer_test,nan,9907,2021-10-10 04:20:00,2021-12-17 23:20:00,2021-10-10 04:50:00,2021-12-17 23:50:00,2c56104e38d2b03ffb6873b914346890d589bc0240acd42fd31d3b6d068570b6
before,pleia,3,1,chronological,inner_train,nan,14859,2021-01-07 23:40:00,2021-04-21 04:00:00,2021-01-08 00:10:00,2021-04-21 04:30:00,15643ce845f22bd625678dd0f5a8ef6db87e33754a5902b40e2052d1a5a45430
before,pleia,3,1,chronological,inner_calib,nan,7429,2021-04-21 04:10:00,2021-06-11 18:10:00,2021-04-21 04:40:00,2021-06-11 18:40:00,2bbec91104e9fe2ccf3832cef90ad443ed9f542f0bcb8d627b595e55c6b4d755
before,pleia,3,1,chronological,inner_select,nan,7430,2021-06-11 18:20:00,2021-08-02 08:30:00,2021-06-11 18:50:00,2021-08-02 09:00:00,11ccb9c9287215411979c858201874ef71cdfaedf165f2216c7e45d1a55c85ea
before,pleia,3,1,chronological,refit_train,nan,22288,2021-01-07 23:40:00,2021-06-11 18:10:00,2021-01-08 00:10:00,2021-06-11 18:40:00,30ce830b077d8d87891a9d17a0778f8e622b1d3e18183176d36d1b6efa286b25
before,pleia,3,1,chronological,refit_calibration,nan,7430,2021-06-11 18:20:00,2021-08-02 08:30:00,2021-06-11 18:50:00,2021-08-02 09:00:00,11ccb9c9287215411979c858201874ef71cdfaedf165f2216c7e45d1a55c85ea
before,pleia,3,1,chronological,outer_test,nan,9907,2021-08-02 09:10:00,2021-10-10 04:10:00,2021-08-02 09:40:00,2021-10-10 04:40:00,c5da2785e6c23a1036254aba633cd42130cf6b895b6cf8a36e621a2696ddb52b
before,pleia,3,2,chronological,inner_train,nan,9905,2021-01-07 23:40:00,2021-03-17 18:20:00,2021-01-08 00:10:00,2021-03-17 18:50:00,195f1b3f79311ca048dae1f212b549a9e4cb57935b9677f479ca4667b37c4651
before,pleia,3,2,chronological,inner_calib,nan,4953,2021-03-17 18:30:00,2021-04-21 03:50:00,2021-03-17 19:00:00,2021-04-21 04:20:00,cecea5450687112e7d8bc4ac87b376fb414146bb7d3c0dffabb9abbf0cbf1ce6
before,pleia,3,2,chronological,inner_select,nan,4953,2021-04-21 04:00:00,2021-05-25 13:20:00,2021-04-21 04:30:00,2021-05-25 13:50:00,bc8dcbffcea88647722e5e257b61365651fa909cf12f836e0b9e5a3e61f84141
before,pleia,3,2,chronological,refit_train,nan,14858,2021-01-07 23:40:00,2021-04-21 03:50:00,2021-01-08 00:10:00,2021-04-21 04:20:00,67b576f8415d84291c342e92066cbfa59e46e0a2a339b365675cfa1a21440aae
before,pleia,3,2,chronological,refit_calibration,nan,4953,2021-04-21 04:00:00,2021-05-25 13:20:00,2021-04-21 04:30:00,2021-05-25 13:50:00,bc8dcbffcea88647722e5e257b61365651fa909cf12f836e0b9e5a3e61f84141
before,pleia,3,2,chronological,outer_test,nan,9907,2021-05-25 14:00:00,2021-08-02 09:00:00,2021-05-25 14:30:00,2021-08-02 09:30:00,bac99d6be4cb79fe22304f53e75236e112bbd0869eb6fec15e881e232b076cc3
before,pleia,6,0,chronological,inner_train,nan,19811,2021-01-07 23:10:00,2021-05-25 12:50:00,2021-01-08 00:10:00,2021-05-25 13:50:00,499576796c7ff43212927aac1bcc9bb2f9a356682550505db06fb9cd0a9f3d21
before,pleia,6,0,chronological,inner_calib,nan,9905,2021-05-25 13:00:00,2021-08-02 07:40:00,2021-05-25 14:00:00,2021-08-02 08:40:00,8fc93cedbe33666b0aed9155d141b016e314c9707f3a64ce125bc1997d5960e7
before,pleia,6,0,chronological,inner_select,nan,9906,2021-08-02 07:50:00,2021-10-10 02:40:00,2021-08-02 08:50:00,2021-10-10 03:40:00,f8405bfa9c47ed31fa685ae242412e10fb86195702805dde0bca0ee6f8d73643
before,pleia,6,0,chronological,refit_train,nan,29716,2021-01-07 23:10:00,2021-08-02 07:40:00,2021-01-08 00:10:00,2021-08-02 08:40:00,9bd038f7ca9b4414fbc2617ea7133b63a7ee58c52e2e5b47a1487aa672c13b55
before,pleia,6,0,chronological,refit_calibration,nan,9906,2021-08-02 07:50:00,2021-10-10 02:40:00,2021-08-02 08:50:00,2021-10-10 03:40:00,f8405bfa9c47ed31fa685ae242412e10fb86195702805dde0bca0ee6f8d73643
before,pleia,6,0,chronological,outer_test,nan,9907,2021-10-10 03:50:00,2021-12-17 22:50:00,2021-10-10 04:50:00,2021-12-17 23:50:00,d49d239e790e4d4ac222855ae25cdaac52374834298fd0a50aea54a1301ed1ee
before,pleia,6,1,chronological,inner_train,nan,14857,2021-01-07 23:10:00,2021-04-21 03:10:00,2021-01-08 00:10:00,2021-04-21 04:10:00,309b35478f748a60e305ceb98df1e12d01b1ec6c1998070d740b2890084deeeb
before,pleia,6,1,chronological,inner_calib,nan,7429,2021-04-21 03:20:00,2021-06-11 17:20:00,2021-04-21 04:20:00,2021-06-11 18:20:00,da2abbc56f4cdff7196931d27ea2caaedb7921f768c50c4d2002f6aa700e53a2
before,pleia,6,1,chronological,inner_select,nan,7429,2021-06-11 17:30:00,2021-08-02 07:30:00,2021-06-11 18:30:00,2021-08-02 08:30:00,3c40a57a57c6c8fbdb7ca1c46024d1cc0e490a1b80261a6ac703c5064a0b59f1
before,pleia,6,1,chronological,refit_train,nan,22286,2021-01-07 23:10:00,2021-06-11 17:20:00,2021-01-08 00:10:00,2021-06-11 18:20:00,e1483b2089bc144478e9f92b24d61f7d8fab5c689d8554224aa3395ab696ce29
before,pleia,6,1,chronological,refit_calibration,nan,7429,2021-06-11 17:30:00,2021-08-02 07:30:00,2021-06-11 18:30:00,2021-08-02 08:30:00,3c40a57a57c6c8fbdb7ca1c46024d1cc0e490a1b80261a6ac703c5064a0b59f1
before,pleia,6,1,chronological,outer_test,nan,9907,2021-08-02 08:40:00,2021-10-10 03:40:00,2021-08-02 09:40:00,2021-10-10 04:40:00,fa45890988d25946876a84abd68f3543a379c544700b897ef1b1b0aedab6c64d
before,pleia,6,2,chronological,inner_train,nan,9904,2021-01-07 23:10:00,2021-03-17 17:40:00,2021-01-08 00:10:00,2021-03-17 18:40:00,3e5119a58ef2e163f784b6b817b6f2f8191b73ea22c93d50483670e6ef4530a5
before,pleia,6,2,chronological,inner_calib,nan,4952,2021-03-17 17:50:00,2021-04-21 03:00:00,2021-03-17 18:50:00,2021-04-21 04:00:00,f347844a71005e6ecee7d1e1982663c1971ab3fc05a191a53a10d7a433d0a9f5
before,pleia,6,2,chronological,inner_select,nan,4952,2021-04-21 03:10:00,2021-05-25 12:20:00,2021-04-21 04:10:00,2021-05-25 13:20:00,032fc7c88a210b63cd98661a9a0d4954b2ea6d302e7e167af18b73fd330164d3
before,pleia,6,2,chronological,refit_train,nan,14856,2021-01-07 23:10:00,2021-04-21 03:00:00,2021-01-08 00:10:00,2021-04-21 04:00:00,b3a2c23a097ba246e3488d9af0ceb066cfe4ab33fe7bdae6c0c8fdc0cca1c54b
before,pleia,6,2,chronological,refit_calibration,nan,4952,2021-04-21 03:10:00,2021-05-25 12:20:00,2021-04-21 04:10:00,2021-05-25 13:20:00,032fc7c88a210b63cd98661a9a0d4954b2ea6d302e7e167af18b73fd330164d3
before,pleia,6,2,chronological,outer_test,nan,9907,2021-05-25 13:30:00,2021-08-02 08:30:00,2021-05-25 14:30:00,2021-08-02 09:30:00,c6974f8d3bde0930d9d56239e658a56ee8f6554aea2606844b45a070315571f1
before,pleia_energy,1,0,chronological,inner_train,nan,19813,2021-01-07 23:50:00,2021-05-25 13:50:00,2021-01-08 00:00:00,2021-05-25 14:00:00,42646bc7936b0099bdebe808c6199e0ccbe975ede09e7712205149d00d31d7a1
before,pleia_energy,1,0,chronological,inner_calib,nan,9907,2021-05-25 14:00:00,2021-08-02 09:00:00,2021-05-25 14:10:00,2021-08-02 09:10:00,bc43489126279e531661ba68b9743fda3502cec95a36ea7ec09692c03ea90a20
before,pleia_energy,1,0,chronological,inner_select,nan,9907,2021-08-02 09:10:00,2021-10-10 04:10:00,2021-08-02 09:20:00,2021-10-10 04:20:00,f0f8b451dfb574d144f74d9b8f12760a1e9f5f23be72da1c5af27a0ab50e441e
before,pleia_energy,1,0,chronological,refit_train,nan,29720,2021-01-07 23:50:00,2021-08-02 09:00:00,2021-01-08 00:00:00,2021-08-02 09:10:00,6e7dc27087fe443c4c95a4d315824eeda4e839a652fd73b1e460a91abd23e7f2
before,pleia_energy,1,0,chronological,refit_calibration,nan,9907,2021-08-02 09:10:00,2021-10-10 04:10:00,2021-08-02 09:20:00,2021-10-10 04:20:00,f0f8b451dfb574d144f74d9b8f12760a1e9f5f23be72da1c5af27a0ab50e441e
before,pleia_energy,1,0,chronological,outer_test,nan,9909,2021-10-10 04:30:00,2021-12-17 23:50:00,2021-10-10 04:40:00,2021-12-18 00:00:00,476e7318dbf374e67575f39312f24c0e0b1fa6742e837eb8e7680478b99ee1bc
before,pleia_energy,1,1,chronological,inner_train,nan,14860,2021-01-07 23:50:00,2021-04-21 04:20:00,2021-01-08 00:00:00,2021-04-21 04:30:00,c928c407af9415e9622df8ea229e486a06945b90bf5c31bf21d213b206869bea
before,pleia_energy,1,1,chronological,inner_calib,nan,7430,2021-04-21 04:30:00,2021-06-11 18:40:00,2021-04-21 04:40:00,2021-06-11 18:50:00,40c000db18fbd1f504af0f4acd69a9e3b981b52d1c1d8e60423f4079ea20bb70
before,pleia_energy,1,1,chronological,inner_select,nan,7430,2021-06-11 18:50:00,2021-08-02 09:00:00,2021-06-11 19:00:00,2021-08-02 09:10:00,9c360aca5b71da423ffaf9138f7f64d749447e9d8487e7c6abee5f77833d1e98
before,pleia_energy,1,1,chronological,refit_train,nan,22290,2021-01-07 23:50:00,2021-06-11 18:40:00,2021-01-08 00:00:00,2021-06-11 18:50:00,cf1eba353f743af517ea3b6f2a21cfd3c3ea31c24535c8d0781cfae5e9bab718
before,pleia_energy,1,1,chronological,refit_calibration,nan,7430,2021-06-11 18:50:00,2021-08-02 09:00:00,2021-06-11 19:00:00,2021-08-02 09:10:00,9c360aca5b71da423ffaf9138f7f64d749447e9d8487e7c6abee5f77833d1e98
before,pleia_energy,1,1,chronological,outer_test,nan,9907,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac
before,pleia_energy,1,2,chronological,inner_train,nan,9906,2021-01-07 23:50:00,2021-03-17 18:40:00,2021-01-08 00:00:00,2021-03-17 18:50:00,2cc2306761418c6d150b42de1bd9d24a11148af8823f13b4aa23b38cec960031
before,pleia_energy,1,2,chronological,inner_calib,nan,4953,2021-03-17 18:50:00,2021-04-21 04:10:00,2021-03-17 19:00:00,2021-04-21 04:20:00,af2dbfce54bc80c97b7250e3d85c70b3feb7714d2fb1b6436b4b00eeaec9ed9e
before,pleia_energy,1,2,chronological,inner_select,nan,4954,2021-04-21 04:20:00,2021-05-25 13:50:00,2021-04-21 04:30:00,2021-05-25 14:00:00,a13613150b9860333ae69f89996ce813bb253ed2ac65b95eced5609d44d773d6
before,pleia_energy,1,2,chronological,refit_train,nan,14859,2021-01-07 23:50:00,2021-04-21 04:10:00,2021-01-08 00:00:00,2021-04-21 04:20:00,fe2d59bb10f03e9f540a6990e2e8581271f0828a64005aa5cab568cf0d6f2c39
before,pleia_energy,1,2,chronological,refit_calibration,nan,4954,2021-04-21 04:20:00,2021-05-25 13:50:00,2021-04-21 04:30:00,2021-05-25 14:00:00,a13613150b9860333ae69f89996ce813bb253ed2ac65b95eced5609d44d773d6
before,pleia_energy,1,2,chronological,outer_test,nan,9907,2021-05-25 14:10:00,2021-08-02 09:10:00,2021-05-25 14:20:00,2021-08-02 09:20:00,b6bdcea0efeca5c07185bc1f75980e8a2570387a5c08e31f9cd301cf38cb60bd
before,pleia_energy,3,0,chronological,inner_train,nan,19812,2021-01-07 23:30:00,2021-05-25 13:20:00,2021-01-08 00:00:00,2021-05-25 13:50:00,67dcf1d38fd0d3e357ba05daa8a80c81410b6bc52bf24fbf79acbc3a00f9b589
before,pleia_energy,3,0,chronological,inner_calib,nan,9906,2021-05-25 13:30:00,2021-08-02 08:20:00,2021-05-25 14:00:00,2021-08-02 08:50:00,f4f17b3475f19e837804d4726ff866b4242702f8f2981d5da33158883490bcd7
before,pleia_energy,3,0,chronological,inner_select,nan,9907,2021-08-02 08:30:00,2021-10-10 03:30:00,2021-08-02 09:00:00,2021-10-10 04:00:00,6270ee4d46414d3486ec1f7aaa41d433d070bdf50f2b15eaff319060c80f4e45
before,pleia_energy,3,0,chronological,refit_train,nan,29718,2021-01-07 23:30:00,2021-08-02 08:20:00,2021-01-08 00:00:00,2021-08-02 08:50:00,7a94485ff68781f4e1db82d0f235dd4fb7830db1338cd512c10d8dc600a5b0f4
before,pleia_energy,3,0,chronological,refit_calibration,nan,9907,2021-08-02 08:30:00,2021-10-10 03:30:00,2021-08-02 09:00:00,2021-10-10 04:00:00,6270ee4d46414d3486ec1f7aaa41d433d070bdf50f2b15eaff319060c80f4e45
before,pleia_energy,3,0,chronological,outer_test,nan,9909,2021-10-10 04:10:00,2021-12-17 23:30:00,2021-10-10 04:40:00,2021-12-18 00:00:00,ae5506e6b646c1fa25ed2290b0ef64c2f71b595bb6b134f88e76887f8fbc41af
before,pleia_energy,3,1,chronological,inner_train,nan,14859,2021-01-07 23:30:00,2021-04-21 03:50:00,2021-01-08 00:00:00,2021-04-21 04:20:00,13c673992135e11a96ed2cb5e1d6cc97f89a71d5641ddfbf9bbc05a2f2767662
before,pleia_energy,3,1,chronological,inner_calib,nan,7429,2021-04-21 04:00:00,2021-06-11 18:00:00,2021-04-21 04:30:00,2021-06-11 18:30:00,b79e0620b2f14ecd2aca54aeb127c1059ae6dd0e57031a168e2c371caf281a46
before,pleia_energy,3,1,chronological,inner_select,nan,7430,2021-06-11 18:10:00,2021-08-02 08:20:00,2021-06-11 18:40:00,2021-08-02 08:50:00,0f5937345bb0cd6cd71091f65633d38fb615f5d4edea239be04b4254d5604100
before,pleia_energy,3,1,chronological,refit_train,nan,22288,2021-01-07 23:30:00,2021-06-11 18:00:00,2021-01-08 00:00:00,2021-06-11 18:30:00,9d085562aca4fe9f365bbb5967a86e8e69e8e589b6c87d538d0555d3eb58695a
before,pleia_energy,3,1,chronological,refit_calibration,nan,7430,2021-06-11 18:10:00,2021-08-02 08:20:00,2021-06-11 18:40:00,2021-08-02 08:50:00,0f5937345bb0cd6cd71091f65633d38fb615f5d4edea239be04b4254d5604100
before,pleia_energy,3,1,chronological,outer_test,nan,9907,2021-08-02 09:00:00,2021-10-10 04:00:00,2021-08-02 09:30:00,2021-10-10 04:30:00,ad2c4dfa64198051d63e0f75a601b763d439e079723619c241b5da7304685a8b
before,pleia_energy,3,2,chronological,inner_train,nan,9905,2021-01-07 23:30:00,2021-03-17 18:10:00,2021-01-08 00:00:00,2021-03-17 18:40:00,0b30057f9e4af76b7f4c831e4e4b4ff002fc780a20792951ed05be255333d424
before,pleia_energy,3,2,chronological,inner_calib,nan,4953,2021-03-17 18:20:00,2021-04-21 03:40:00,2021-03-17 18:50:00,2021-04-21 04:10:00,d21678995d7dadfba0b15dbf000dc0839aa02f94d180f0bc0a20c06d5f6fefc6
before,pleia_energy,3,2,chronological,inner_select,nan,4953,2021-04-21 03:50:00,2021-05-25 13:10:00,2021-04-21 04:20:00,2021-05-25 13:40:00,4635ca58d3fb40d83c7d786bc1b18f63fffcae0612bf8409faf002fdd404d75c
before,pleia_energy,3,2,chronological,refit_train,nan,14858,2021-01-07 23:30:00,2021-04-21 03:40:00,2021-01-08 00:00:00,2021-04-21 04:10:00,a827a78ea278422b7b0dcbee9caa395d266ed53deb02cb1e8f2467736c1bbe5c
before,pleia_energy,3,2,chronological,refit_calibration,nan,4953,2021-04-21 03:50:00,2021-05-25 13:10:00,2021-04-21 04:20:00,2021-05-25 13:40:00,4635ca58d3fb40d83c7d786bc1b18f63fffcae0612bf8409faf002fdd404d75c
before,pleia_energy,3,2,chronological,outer_test,nan,9907,2021-05-25 13:50:00,2021-08-02 08:50:00,2021-05-25 14:20:00,2021-08-02 09:20:00,f7a8b2ab436b98d9e3c4127b8c0c687d2944e7cc7512d2ddf6c76666e097c7ea
before,pleia_energy,6,0,chronological,inner_train,nan,19811,2021-01-07 23:00:00,2021-05-25 12:40:00,2021-01-08 00:00:00,2021-05-25 13:40:00,199f2b13ae34bd86a86c21c4523399066ecc3c1c18486e8c6fe7022d032de3fb
before,pleia_energy,6,0,chronological,inner_calib,nan,9905,2021-05-25 12:50:00,2021-08-02 07:30:00,2021-05-25 13:50:00,2021-08-02 08:30:00,407dde44d031b23f58c23feccecb2386c6d6d958129acf62bddd844c1814b278
before,pleia_energy,6,0,chronological,inner_select,nan,9906,2021-08-02 07:40:00,2021-10-10 02:30:00,2021-08-02 08:40:00,2021-10-10 03:30:00,2d492b1107061f518d2ba5aaf24f0be0e3ba9e1dd7f61dea8ee7ea2daa69bb45
before,pleia_energy,6,0,chronological,refit_train,nan,29716,2021-01-07 23:00:00,2021-08-02 07:30:00,2021-01-08 00:00:00,2021-08-02 08:30:00,9b74ca28df644bab94b3db74bbe6a2e49be7f6c245bc175b6098e86342c797df
before,pleia_energy,6,0,chronological,refit_calibration,nan,9906,2021-08-02 07:40:00,2021-10-10 02:30:00,2021-08-02 08:40:00,2021-10-10 03:30:00,2d492b1107061f518d2ba5aaf24f0be0e3ba9e1dd7f61dea8ee7ea2daa69bb45
before,pleia_energy,6,0,chronological,outer_test,nan,9909,2021-10-10 03:40:00,2021-12-17 23:00:00,2021-10-10 04:40:00,2021-12-18 00:00:00,acee79d85b01535344cec08f6124b73cdb75dee57439b08142cb6522588a6d08
before,pleia_energy,6,1,chronological,inner_train,nan,14857,2021-01-07 23:00:00,2021-04-21 03:00:00,2021-01-08 00:00:00,2021-04-21 04:00:00,6356e4d08273ce6184ef606430d57dd32224d2c009a730a97dc00d949e342de5
before,pleia_energy,6,1,chronological,inner_calib,nan,7429,2021-04-21 03:10:00,2021-06-11 17:10:00,2021-04-21 04:10:00,2021-06-11 18:10:00,b3d7eba6c489e47b94ca7658a8e9d560ddaaa4fefb3635e1e786ffd2c10d0730
before,pleia_energy,6,1,chronological,inner_select,nan,7429,2021-06-11 17:20:00,2021-08-02 07:20:00,2021-06-11 18:20:00,2021-08-02 08:20:00,0edcdea0b7e0e179049d1970e1ca398e3cf7f36a4e802fbfe3d92d6df93d74cb
before,pleia_energy,6,1,chronological,refit_train,nan,22286,2021-01-07 23:00:00,2021-06-11 17:10:00,2021-01-08 00:00:00,2021-06-11 18:10:00,17e9e47e35400fdfcce9a7932c4b3f29a10dc0d5f0d57334a9e421d0f3fa4835
before,pleia_energy,6,1,chronological,refit_calibration,nan,7429,2021-06-11 17:20:00,2021-08-02 07:20:00,2021-06-11 18:20:00,2021-08-02 08:20:00,0edcdea0b7e0e179049d1970e1ca398e3cf7f36a4e802fbfe3d92d6df93d74cb
before,pleia_energy,6,1,chronological,outer_test,nan,9907,2021-08-02 08:30:00,2021-10-10 03:30:00,2021-08-02 09:30:00,2021-10-10 04:30:00,0206cf47128d6e35469fb115f5a271195742ccc0a53ccfc1ef96813755647fe6
before,pleia_energy,6,2,chronological,inner_train,nan,9904,2021-01-07 23:00:00,2021-03-17 17:30:00,2021-01-08 00:00:00,2021-03-17 18:30:00,2350889c8bb4b69318ed82b6e30f7f0d2534aa1975438be566585d6ca7fd4953
before,pleia_energy,6,2,chronological,inner_calib,nan,4952,2021-03-17 17:40:00,2021-04-21 02:50:00,2021-03-17 18:40:00,2021-04-21 03:50:00,da9742c6974c50c0b752622ff31a626300aedccf195a8c9c7db253899a494e3c
before,pleia_energy,6,2,chronological,inner_select,nan,4952,2021-04-21 03:00:00,2021-05-25 12:10:00,2021-04-21 04:00:00,2021-05-25 13:10:00,e4fd0a9a9a820bc54fc34c05c7c4650f97bb528d0796181562df2b7ac09a3858
before,pleia_energy,6,2,chronological,refit_train,nan,14856,2021-01-07 23:00:00,2021-04-21 02:50:00,2021-01-08 00:00:00,2021-04-21 03:50:00,8e044a37fb7f9500b94c7d2ebb55c14c878318b71afaa0ba800e54ea37802533
before,pleia_energy,6,2,chronological,refit_calibration,nan,4952,2021-04-21 03:00:00,2021-05-25 12:10:00,2021-04-21 04:00:00,2021-05-25 13:10:00,e4fd0a9a9a820bc54fc34c05c7c4650f97bb528d0796181562df2b7ac09a3858
before,pleia_energy,6,2,chronological,outer_test,nan,9907,2021-05-25 13:20:00,2021-08-02 08:20:00,2021-05-25 14:20:00,2021-08-02 09:20:00,061c08c3374dc0f9d45dfa8547f11e8a31a823c67efe645c11e25597c6f32a22
before,rico,5,0,whole_run_group_blocked,inner_train,P1S1,221,2023-07-26 15:15:00,2023-07-26 18:55:00,2023-07-26 15:20:00,2023-07-26 19:00:00,dd9ebc5f6a82207938196b86764e6e46d434d188910f9c995a305421daef9c01
before,rico,5,0,whole_run_group_blocked,inner_train,P1S2,221,2023-07-26 19:15:00,2023-07-26 22:55:00,2023-07-26 19:20:00,2023-07-26 23:00:00,d6a41066ac7e4cfd61b644d9797f4b574996485696641aaaccdd09c442e07244
before,rico,5,0,whole_run_group_blocked,inner_train,P1S4,221,2023-07-27 03:15:00,2023-07-27 06:55:00,2023-07-27 03:20:00,2023-07-27 07:00:00,6e8e598895c62af791a466e61a0a544e7519bc64122115970fa9c9ecd45a5c57
before,rico,5,0,whole_run_group_blocked,inner_train,P1S5,221,2023-07-27 07:15:00,2023-07-27 10:55:00,2023-07-27 07:20:00,2023-07-27 11:00:00,a3ae4d33c48b91a0de1fe9c9df33832fb91d8eb96900c1e88d9f3bc9209d93aa
before,rico,5,0,whole_run_group_blocked,inner_train,P1S7,221,2023-07-27 15:15:00,2023-07-27 18:55:00,2023-07-27 15:20:00,2023-07-27 19:00:00,90d58b9bd16cf8e530469992d18fa7f3b1c73269d18867b33aed627523a53e67
