phase,dataset,horizon,outer_fold,scheme,boundary,n_left,n_right,left_origin_min,left_origin_max,left_target_max,right_origin_min,right_origin_max,right_target_min,right_target_max,target_overlap_count,row_overlap_count,shared_groups,run_intersections,left_membership_sha256,right_membership_sha256
before,bdg2,3,0,chronological,refit_calibration->outer_test,34661,34672,2017-03-16 09:00:00,2017-08-08 05:00:00,2017-08-08 08:00:00,2017-08-08 09:00:00,2017-12-31 20:00:00,2017-08-08 12:00:00,2017-12-31 23:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,3f8c33710be1415ad1ddd822d8696f19d9efdf8ccd663fd1c282a5756ebd1a03,240e1624a349c98b408e82d3234f3483e45a434452d066acac4371eba30a7ca1
before,bdg2,3,1,chronological,inner_train->inner_calib,51988,25994,2016-01-07 21:00:00,2016-08-11 16:00:00,2016-08-11 19:00:00,2016-08-11 16:00:00,2016-11-28 00:00:00,2016-08-11 19:00:00,2016-11-28 03:00:00,33,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,ff6609da73244fd4ff676d8a7e9965b9bf7e42c984f0133d902f670fba09969b,318897378f96dbf1be00327a381277cb7885655ee8f2cff5f14912955d8caa36
before,bdg2,3,1,chronological,inner_calib->inner_select,25994,25995,2016-08-11 16:00:00,2016-11-28 00:00:00,2016-11-28 03:00:00,2016-11-28 00:00:00,2017-03-16 08:00:00,2016-11-28 03:00:00,2017-03-16 11:00:00,33,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,318897378f96dbf1be00327a381277cb7885655ee8f2cff5f14912955d8caa36,bff3e6001a96fc7e473d70ed60a18e230754a4a76014c08d2dee35522367db5d
before,bdg2,3,1,chronological,inner_select->outer_test,25995,34670,2016-11-28 00:00:00,2017-03-16 08:00:00,2017-03-16 11:00:00,2017-03-16 12:00:00,2017-08-08 09:00:00,2017-03-16 15:00:00,2017-08-08 12:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,bff3e6001a96fc7e473d70ed60a18e230754a4a76014c08d2dee35522367db5d,2c1b7cfebd7891cfce7ffc6c634ade4420cd97ecba83c35313993768b870549e
before,bdg2,3,1,chronological,refit_train->refit_calibration,77982,25995,2016-01-07 21:00:00,2016-11-28 00:00:00,2016-11-28 03:00:00,2016-11-28 00:00:00,2017-03-16 08:00:00,2016-11-28 03:00:00,2017-03-16 11:00:00,33,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,3d6a26bc339251003aa6e5e3d0bb1a8a242200dd2cb5597bc792a8d99782931e,bff3e6001a96fc7e473d70ed60a18e230754a4a76014c08d2dee35522367db5d
before,bdg2,3,1,chronological,refit_calibration->outer_test,25995,34670,2016-11-28 00:00:00,2017-03-16 08:00:00,2017-03-16 11:00:00,2017-03-16 12:00:00,2017-08-08 09:00:00,2017-03-16 15:00:00,2017-08-08 12:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,bff3e6001a96fc7e473d70ed60a18e230754a4a76014c08d2dee35522367db5d,2c1b7cfebd7891cfce7ffc6c634ade4420cd97ecba83c35313993768b870549e
before,bdg2,3,2,chronological,inner_train->inner_calib,34652,17326,2016-01-07 21:00:00,2016-05-31 09:00:00,2016-05-31 12:00:00,2016-05-31 09:00:00,2016-08-11 15:00:00,2016-05-31 12:00:00,2016-08-11 18:00:00,39,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,2c811d08e924a154be696eea392b60eadc5da9c6d7edfc3770e89b4b241bc1ff,3f3f3637d1c40119009056036f23b3e75fbbb2aaa306fa22bcda73b7424923c6
before,bdg2,3,2,chronological,inner_calib->inner_select,17326,17327,2016-05-31 09:00:00,2016-08-11 15:00:00,2016-08-11 18:00:00,2016-08-11 15:00:00,2016-10-22 19:00:00,2016-08-11 18:00:00,2016-10-22 22:00:00,33,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,3f3f3637d1c40119009056036f23b3e75fbbb2aaa306fa22bcda73b7424923c6,e47b62fea7bccd4a93c935d912f222c6b82b75bef9b3524feae49787cbdb1a36
before,bdg2,3,2,chronological,inner_select->outer_test,17327,34670,2016-08-11 15:00:00,2016-10-22 19:00:00,2016-10-22 22:00:00,2016-10-22 23:00:00,2017-03-16 12:00:00,2016-10-23 02:00:00,2017-03-16 15:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,e47b62fea7bccd4a93c935d912f222c6b82b75bef9b3524feae49787cbdb1a36,b27923cc4a76cc939c4dccc7b145ff192894a82a4c041b41f7706392d1c91f59
before,bdg2,3,2,chronological,refit_train->refit_calibration,51978,17327,2016-01-07 21:00:00,2016-08-11 15:00:00,2016-08-11 18:00:00,2016-08-11 15:00:00,2016-10-22 19:00:00,2016-08-11 18:00:00,2016-10-22 22:00:00,33,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,6b1cb9dc0409fa58ccdd18c324e7c297f8f7dd4e22423417ceba18df6392c1ac,e47b62fea7bccd4a93c935d912f222c6b82b75bef9b3524feae49787cbdb1a36
