candidate_id,group_id,exposure_days,clean_episodes,unmatched_episodes,corrupted_episodes,time_in_alert_days,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,tp0,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16,tp17,tp18,tp19,tp20,outer_fold
c0013_a21278d4e492,Hog_assembly_Colette,144.79166666666666,4.0,15.0,98.0,1.225,6.0,8.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,3.0,0.0,5.0,4.0,6.0,15.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,6.0,3.0,6.0,6.0,1.0,9.0,9.0,2
c0013_a21278d4e492,Hog_assembly_Dona,144.79166666666666,0.0,0.0,57.0,0.8583333333333333,3.0,13.0,17.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,0.0,1.0,5.0,1.0,7.0,20.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,8.0,2
c0013_a21278d4e492,Lamb_assembly_Bertie,144.79166666666666,2.0,9.0,58.0,0.8333333333333334,4.0,8.0,15.0,15.0,15.0,15.0,13.0,14.0,16.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,0.0,0.0,4.0,0.0,1.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,6.0,7.0,2
c0013_a21278d4e492,Lamb_assembly_Cesar,144.79166666666666,0.0,0.0,26.0,0.425,9.0,12.0,16.0,20.0,19.0,18.0,13.0,10.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,0.0,0.0,2.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2
c0013_a21278d4e492,Moose_education_Ricardo,144.04166666666666,0.0,0.0,51.0,0.6083333333333333,3.0,7.0,15.0,15.0,16.0,17.0,17.0,19.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,0.0,0.0,3.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,10.0,2
c0013_a21278d4e492,Mouse_health_Estela,144.79166666666666,2.0,10.0,63.0,0.8583333333333334,6.0,11.0,18.0,17.0,16.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,0.0,1.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,13.0,2
c0013_a21278d4e492,Mouse_health_Justin,144.79166666666666,5.0,19.0,109.0,2.1666666666666665,4.0,8.0,16.0,18.0,19.0,20.0,17.0,20.0,19.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,2.0,7.0,0.0,7.0,20.0,0.0,1.0,4.0,0.0,18.0,17.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,5.0,2
c0024_ba16b82adffd,Eagle_assembly_Benny,144.79166666666666,151.0,600.0,854.0,9.316666666666666,7.0,9.0,16.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,7.0,9.0,16.0,19.0,20.0,19.0,3.0,4.0,3.0,19.0,19.0,17.0,10.0,12.0,15.0,6.0,14.0,15.0,3.0,9.0,15.0,2
c0024_ba16b82adffd,Eagle_assembly_Ian,144.79166666666666,162.0,631.0,866.0,8.416666666666666,6.0,8.0,15.0,15.0,15.0,15.0,13.0,14.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,6.0,8.0,15.0,15.0,15.0,14.0,5.0,1.0,5.0,15.0,16.0,17.0,2.0,11.0,20.0,7.0,15.0,17.0,5.0,13.0,13.0,2
c0024_ba16b82adffd,Fox_education_Henrietta,144.79166666666666,144.0,489.0,777.0,8.883333333333333,6.0,15.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,6.0,15.0,18.0,20.0,19.0,20.0,3.0,3.0,5.0,19.0,18.0,15.0,14.0,15.0,15.0,13.0,15.0,14.0,11.0,14.0,16.0,2
