outer_fold,candidate_id,group_id,exposure_days,clean_episodes,episodes_per_asset_day,above_workload_ceiling
0,c0000_f5146f1247fa,Lamb_assembly_Bertie,144.83333333333331,392.0,2.706559263521289,True
0,c0000_f5146f1247fa,Lamb_assembly_Cesar,144.83333333333331,35.0,0.2416570771001151,False
0,c0000_f5146f1247fa,Moose_education_Ricardo,134.83333333333331,83.0,0.61557478368356,False
0,c0000_f5146f1247fa,Mouse_health_Estela,144.83333333333331,67.0,0.46260069044879176,False
0,c0000_f5146f1247fa,Mouse_health_Justin,144.83333333333331,103.0,0.711162255466053,False
0,c0012_23099bed3753,Eagle_assembly_Benny,144.83333333333331,166.0,1.1461449942462603,True
0,c0012_23099bed3753,Eagle_assembly_Ian,144.83333333333331,212.0,1.463751438434983,True
0,c0012_23099bed3753,Fox_education_Henrietta,144.83333333333331,289.0,1.9953970080552361,True
0,c0012_23099bed3753,Hog_assembly_Colette,144.83333333333331,334.0,2.3060989643268126,True
0,c0012_23099bed3753,Hog_assembly_Dona,144.83333333333331,183.0,1.2635212888377447,True
0,c0012_23099bed3753,Lamb_assembly_Bertie,144.83333333333331,298.0,2.0575373993095516,True
0,c0012_23099bed3753,Lamb_assembly_Cesar,144.83333333333331,6.0,0.041426927502876874,False
0,c0012_23099bed3753,Moose_education_Ricardo,134.83333333333331,48.0,0.3559950556242275,False
0,c0012_23099bed3753,Mouse_health_Estela,144.83333333333331,37.0,0.2554660529344074,False
0,c0012_23099bed3753,Mouse_health_Justin,144.83333333333331,81.0,0.5592635212888378,False
0,c0013_a21278d4e492,Eagle_assembly_Benny,144.83333333333331,0.0,0.0,False
0,c0013_a21278d4e492,Eagle_assembly_Ian,144.83333333333331,4.0,0.027617951668584585,False
0,c0013_a21278d4e492,Fox_education_Henrietta,144.83333333333331,1.0,0.006904487917146146,False
0,c0013_a21278d4e492,Hog_assembly_Colette,144.83333333333331,2.0,0.013808975834292293,False
0,c0013_a21278d4e492,Hog_assembly_Dona,144.83333333333331,2.0,0.013808975834292293,False
0,c0013_a21278d4e492,Lamb_assembly_Bertie,144.83333333333331,15.0,0.10356731875719219,False
0,c0013_a21278d4e492,Lamb_assembly_Cesar,144.83333333333331,0.0,0.0,False
0,c0013_a21278d4e492,Moose_education_Ricardo,134.83333333333331,1.0,0.007416563658838073,False
0,c0013_a21278d4e492,Mouse_health_Estela,144.83333333333331,6.0,0.041426927502876874,False
0,c0013_a21278d4e492,Mouse_health_Justin,144.83333333333331,3.0,0.020713463751438437,False
0,c0024_ba16b82adffd,Eagle_assembly_Benny,144.83333333333331,163.0,1.1254315304948217,True
0,c0024_ba16b82adffd,Eagle_assembly_Ian,144.83333333333331,160.0,1.1047180667433834,True
0,c0024_ba16b82adffd,Fox_education_Henrietta,144.83333333333331,149.0,1.0287686996547758,True
0,c0024_ba16b82adffd,Hog_assembly_Colette,144.83333333333331,175.0,1.2082853855005755,True
0,c0024_ba16b82adffd,Hog_assembly_Dona,144.83333333333331,174.0,1.2013808975834295,True
0,c0024_ba16b82adffd,Lamb_assembly_Bertie,144.83333333333331,168.0,1.1599539700805526,True
0,c0024_ba16b82adffd,Lamb_assembly_Cesar,144.83333333333331,42.0,0.28998849252013814,False
0,c0024_ba16b82adffd,Moose_education_Ricardo,134.83333333333331,149.0,1.1050679851668728,True
0,c0024_ba16b82adffd,Mouse_health_Estela,144.83333333333331,65.0,0.44879171461449946,False
0,c0024_ba16b82adffd,Mouse_health_Justin,144.83333333333331,72.0,0.4971231300345225,False
0,diagnostic_persistence_split_095_single_sample,Eagle_assembly_Benny,144.83333333333331,0.0,0.0,False
0,diagnostic_persistence_split_095_single_sample,Eagle_assembly_Ian,144.83333333333331,333.0,2.299194476409667,True
0,diagnostic_persistence_split_095_single_sample,Fox_education_Henrietta,144.83333333333331,1.0,0.006904487917146146,False
0,diagnostic_persistence_split_095_single_sample,Hog_assembly_Colette,144.83333333333331,471.0,3.2520138089758346,True
0,diagnostic_persistence_split_095_single_sample,Hog_assembly_Dona,144.83333333333331,331.0,2.2853855005753743,True
0,diagnostic_persistence_split_095_single_sample,Lamb_assembly_Bertie,144.83333333333331,30.0,0.20713463751438438,False
0,diagnostic_persistence_split_095_single_sample,Lamb_assembly_Cesar,144.83333333333331,0.0,0.0,False
0,diagnostic_persistence_split_095_single_sample,Moose_education_Ricardo,134.83333333333331,0.0,0.0,False
0,diagnostic_persistence_split_095_single_sample,Mouse_health_Estela,144.83333333333331,65.0,0.44879171461449946,False
0,diagnostic_persistence_split_095_single_sample,Mouse_health_Justin,144.83333333333331,180.0,1.2428078250863062,True
