model_seed,horizon,level,left_method,right_method,coverage_difference,absolute_gap_difference,mpiw_difference,winkler_difference
46,1,0.9,cqr,quantile_uncalibrated,0.0512575888985256,-0.0512575888985256,4.25667132327861,-1.33603756439231
46,1,0.9,recentred_enbpi_updated,recentred_enbpi_static,-0.000780572419774472,-0.000780572419774472,-18.0433557879279,-50.7307415274015
46,1,0.95,cqr,quantile_uncalibrated,0.0652789823648453,-0.0647875108412835,8.8829656895356,-2.25604275791449
46,1,0.95,recentred_enbpi_updated,recentred_enbpi_static,0.000231280716970206,0.000231280716970206,-31.7900920400029,-78.5616425850898
46,3,0.9,cqr,quantile_uncalibrated,0.0518936108701937,-0.0518936108701937,6.21536242219182,-2.50428577471476
46,3,0.9,recentred_enbpi_updated,recentred_enbpi_static,-0.00375831165076612,-0.00375831165076612,-29.7061379798064,-77.4096779968379
46,3,0.95,cqr,quantile_uncalibrated,0.0838392599017057,-0.0784908933217692,15.988755523935,-5.88632615668769
46,3,0.95,recentred_enbpi_updated,recentred_enbpi_static,0.000954032957502182,0.000954032957502182,-55.9824595956205,-123.41422396247
46,6,0.9,cqr,quantile_uncalibrated,0.0804278693263949,-0.0804278693263949,11.5557106797222,-4.00045314895996
46,6,0.9,recentred_enbpi_updated,recentred_enbpi_static,-0.0105810928013877,-0.0102341717259323,-36.9522159385392,-93.4672241598576
46,6,0.95,cqr,quantile_uncalibrated,0.0928592078635443,-0.0776814108123735,29.0203571517011,-7.19279563741571
46,6,0.95,recentred_enbpi_updated,recentred_enbpi_static,-0.00101185313674479,-0.00101185313674479,-68.2872588018771,-152.381945161646
