horizon,level,method,n_seeds,coverage_mean,coverage_std,coverage_min,coverage_max,absolute_coverage_deviation_mean,absolute_coverage_deviation_std,absolute_coverage_deviation_min,absolute_coverage_deviation_max,mpiw_mean,mpiw_std,mpiw_min,mpiw_max,winkler_mean,winkler_std,winkler_min,winkler_max,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max
6,0.9,cqr,5,0.882359063313096,0.00652191374227202,0.871147730557965,0.888146863255276,0.0176409366869037,0.00652191374227204,0.0118531367447238,0.0288522694420353,126.892801711287,1.29792104829826,125.474310001022,128.683991814595,210.182766773352,0.660224719073076,209.557481133837,210.979104966763,32.0874431854519,0.0946168347570592,31.9540885027011,32.2033820333774,69.0224561579056,0.155815438158882,68.8300970155399,69.1739282174572
6,0.9,dscp,5,0.888869615495808,0.000548530383376991,0.888089043076034,0.889476727377855,0.011130384504192,0.00054853038337699,0.0105232726221451,0.0119109569239665,146.233584230024,0.374978384244201,145.829511119441,146.731875572056,292.231393797819,0.645308132113169,291.219719590332,292.892824441443,34.1914009392793,0.10202494328291,34.0312061372015,34.2861779425106,66.9327942221269,0.124843802766962,66.7861956998188,67.0944643577811
6,0.9,quantile_uncalibrated,5,0.803440300664932,0.00211231684069372,0.800057820179243,0.805521827117664,0.0965596993350679,0.00211231684069373,0.094478172882336,0.0999421798207575,115.936420639047,0.856826602384474,114.893642345479,116.992188719821,214.074953681648,0.398548680930821,213.557934282797,214.517340825603,32.0874431854519,0.0946168347570592,31.9540885027011,32.2033820333774,69.0224561579056,0.155815438158882,68.8300970155399,69.1739282174572
6,0.9,recentred_enbpi_static,5,0.908389708008095,0.00333522712084213,0.903382480485689,0.911101474414571,0.00838970800809482,0.00333522712084213,0.00338248048568945,0.0111014744145707,190.500221964111,5.01806049221037,184.096894582113,195.771287402344,332.097753011499,1.33069343475911,330.385215064602,334.084462320395,37.6712826500549,0.205149574204563,37.4644096282163,37.9118885245158,69.0097799982722,0.236676688377307,68.6929387158728,69.3141890436207
6,0.9,recentred_enbpi_updated,5,0.899236773633998,0.00162136381160815,0.896646429603932,0.900751662330153,0.00114483954900262,0.00131096976532341,0.00017346053772771,0.0033535703960682,158.371787219913,0.386844957098276,157.90036800211,158.819071463805,239.267478748216,1.22230636490995,237.633394642527,240.617238160538,37.6712826500549,0.205149574204563,37.4644096282163,37.9118885245158,69.0097799982722,0.236676688377307,68.6929387158728,69.3141890436207
6,0.95,cqr,5,0.956785198034114,0.000585527458143145,0.955998843596415,0.957588898525585,0.00678519803411393,0.000585527458143145,0.00599884359641523,0.00758889852558542,174.360357331211,1.5548063503219,172.438004049261,176.013220518524,270.506879836393,1.81418978404762,268.318247036778,272.306205031909,32.0874431854519,0.0946168347570592,31.9540885027011,32.2033820333774,69.0224561579056,0.155815438158882,68.8300970155399,69.1739282174572
6,0.95,dscp,5,0.946608846487424,0.00124722830960953,0.945446660884649,0.948453310205262,0.0033911535125758,0.00124722830960952,0.00154668979473827,0.0045533391153511,222.770437528745,1.76255983068197,220.133810071722,224.603005042383,396.881891608391,1.74353106703511,393.783489472683,397.930298652764,34.1914009392793,0.10202494328291,34.0312061372015,34.2861779425106,66.9327942221269,0.124843802766962,66.7861956998188,67.0944643577811
6,0.95,quantile_uncalibrated,5,0.867950274645851,0.00182667389519051,0.864729690662041,0.869210754553339,0.0820497253541485,0.00182667389519051,0.0807892454466609,0.0852703093379589,146.905152742548,1.13981941687057,145.608195777317,148.713083446204,276.919525863386,2.20498813225257,273.752713818364,278.951309803842,32.0874431854519,0.0946168347570592,31.9540885027011,32.2033820333774,69.0224561579056,0.155815438158882,68.8300970155399,69.1739282174572
6,0.95,recentred_enbpi_static,5,0.950523272622145,0.0020346829884005,0.946892165365713,0.95157559988436,0.00176640647586009,0.000762864904287852,0.001199768719283,0.00310783463428732,273.769632489421,6.19806391995792,264.132879101563,279.667277526855,449.040196573542,2.2881393538868,445.922595873621,452.350458171677,37.6712826500549,0.205149574204563,37.4644096282163,37.9118885245158,69.0097799982722,0.236676688377307,68.6929387158728,69.3141890436207
6,0.95,recentred_enbpi_updated,5,0.949910378722174,0.00128489006135052,0.9479618386817,0.951286498988147,0.00097427002023706,0.000688824974968565,0.000361376120265988,0.0020381613183,209.676104416912,1.10243617997454,208.611780333825,211.380018724978,298.256491161058,1.49812505449123,296.044687583059,299.968513010032,37.6712826500549,0.205149574204563,37.4644096282163,37.9118885245158,69.0097799982722,0.236676688377307,68.6929387158728,69.3141890436207
