horizon,level,method,channel,n_seeds,episodes_mean,episodes_std,episodes_min,episodes_max,background_episodes_per_asset_day_mean,background_episodes_per_asset_day_std,background_episodes_per_asset_day_min,background_episodes_per_asset_day_max,time_in_alert_fraction_mean,time_in_alert_fraction_std,time_in_alert_fraction_min,time_in_alert_fraction_max
3,0.95,cqr,combined,5,989,17.7200451466693,961,1005,0.685219399538106,0.0122771675381081,0.665819861431871,0.696304849884527,0.0478175519630485,0.00101852549982448,0.0462759815242494,0.048729792147806
3,0.95,cqr,numerical_only,5,989,17.7200451466693,961,1005,0.685219399538106,0.0122771675381081,0.665819861431871,0.696304849884527,0.0478175519630485,0.00101852549982448,0.0462759815242494,0.048729792147806
3,0.95,dscp,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
3,0.95,dscp,combined,5,874.4,17.9527156720091,858,901,0.606695576756288,0.0124563508565544,0.595316565481353,0.625151777970512,0.0528938999710899,0.00156376596209701,0.0507661173749639,0.0549002601908066
3,0.95,dscp,numerical_only,5,874.4,17.9527156720091,858,901,0.606695576756288,0.0124563508565544,0.595316565481353,0.625151777970512,0.0528938999710899,0.00156376596209701,0.0507661173749639,0.0549002601908066
3,0.95,quantile_uncalibrated,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
3,0.95,quantile_uncalibrated,combined,5,1745.6,21.824298385057,1720,1769,1.20942263279446,0.0151207610058132,1.19168591224018,1.2256351039261,0.130796766743649,0.00194378625211029,0.128348729792148,0.133689376443418
3,0.95,quantile_uncalibrated,numerical_only,5,1745.6,21.824298385057,1720,1769,1.20942263279446,0.0151207610058132,1.19168591224018,1.2256351039261,0.130796766743649,0.00194378625211029,0.128348729792148,0.133689376443418
3,0.95,recentred_enbpi_static,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
3,0.95,recentred_enbpi_static,combined,5,812.2,10.0349389634417,801,823,0.562725173210162,0.00695261360053696,0.554965357967667,0.570207852193995,0.0500981524249423,0.00179200215623235,0.0483256351039261,0.0526270207852194
3,0.95,recentred_enbpi_static,numerical_only,5,812.2,10.0349389634417,801,823,0.562725173210162,0.00695261360053696,0.554965357967667,0.570207852193995,0.0500981524249423,0.00179200215623235,0.0483256351039261,0.0526270207852194
3,0.95,recentred_enbpi_updated,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
3,0.95,recentred_enbpi_updated,combined,5,798.4,14.2407864951343,778,811,0.553163972286374,0.00986659572411154,0.539030023094688,0.56189376443418,0.0475288683602771,0.00058475356087385,0.0467090069284065,0.0483256351039261
3,0.95,recentred_enbpi_updated,numerical_only,5,798.4,14.2407864951343,778,811,0.553163972286374,0.00986659572411154,0.539030023094688,0.56189376443418,0.0475288683602771,0.00058475356087385,0.0467090069284065,0.0483256351039261
6,0.9,cqr,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0.9,cqr,combined,5,1547.8,57.9715447439518,1479,1610,1.07237875288684,0.0401650425477726,1.02471131639723,1.11547344110855,0.117696304849885,0.00651539769243209,0.111922632794457,0.128897228637413
6,0.9,cqr,numerical_only,5,1547.8,57.9715447439518,1479,1610,1.07237875288684,0.0401650425477726,1.02471131639723,1.11547344110855,0.117696304849885,0.00651539769243209,0.111922632794457,0.128897228637413
6,0.9,dscp,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0.9,dscp,combined,5,1357.6,9.07193474403338,1348,1370,0.941960104076323,0.00629449071572134,0.93529921942758,0.950563746747615,0.111130384504192,0.000548530383376994,0.110523272622145,0.111910956923966
6,0.9,dscp,numerical_only,5,1357.6,9.07193474403338,1348,1370,0.941960104076323,0.00629449071572134,0.93529921942758,0.950563746747615,0.111130384504192,0.000548530383376994,0.110523272622145,0.111910956923966
6,0.9,quantile_uncalibrated,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0.9,quantile_uncalibrated,combined,5,2393.6,30.7457314110431,2346,2424,1.65838337182448,0.0213018924325933,1.62540415704388,1.67944572748268,0.196605080831409,0.00209962503659199,0.194543879907621,0.199971131639723
6,0.9,quantile_uncalibrated,numerical_only,5,2393.6,30.7457314110431,2346,2424,1.65838337182448,0.0213018924325933,1.62540415704388,1.67944572748268,0.196605080831409,0.00209962503659199,0.194543879907621,0.199971131639723
6,0.9,recentred_enbpi_static,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0.9,recentred_enbpi_static,combined,5,1116.6,31.5007936407958,1084,1161,0.773625866050808,0.0218250302361172,0.751039260969977,0.804387990762125,0.0915935334872979,0.00333909729939377,0.0888856812933025,0.0965935334872979
6,0.9,recentred_enbpi_static,numerical_only,5,1116.6,31.5007936407958,1084,1161,0.773625866050808,0.0218250302361172,0.751039260969977,0.804387990762125,0.0915935334872979,0.00333909729939377,0.0888856812933025,0.0965935334872979
6,0.9,recentred_enbpi_updated,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0.9,recentred_enbpi_updated,combined,5,1174.2,19.1624633072056,1146,1198,0.813533487297921,0.0132765334691956,0.793995381062356,0.830023094688222,0.100802540415704,0.00160970556756554,0.0993071593533487,0.103377598152425
6,0.9,recentred_enbpi_updated,numerical_only,5,1174.2,19.1624633072056,1146,1198,0.813533487297921,0.0132765334691956,0.793995381062356,0.830023094688222,0.100802540415704,0.00160970556756554,0.0993071593533487,0.103377598152425
6,0.95,cqr,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0.95,cqr,combined,5,728,8.8034084308295,718,740,0.504387990762125,0.00609935918995115,0.497459584295612,0.51270207852194,0.0431870669745958,0.000594435920380311,0.042378752886836,0.0439953810623557
6,0.95,cqr,numerical_only,5,728,8.8034084308295,718,740,0.504387990762125,0.00609935918995115,0.497459584295612,0.51270207852194,0.0431870669745958,0.000594435920380311,0.042378752886836,0.0439953810623557
6,0.95,dscp,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
