ablation,applicable,dataset,seed,outer_fold,interval_method,recalibration,rule,macro_recall,background_episodes_per_asset_day,operational_feasible
full,True,pleia_energy,45,2,cqr,static,single,0.8749999999999999,13.779347935802967,False
baseline,True,pleia_energy,46,0,quantile_uncalibrated,static,single,0.8888888888888888,13.079019073569482,True
conformal_only,True,pleia_energy,46,0,cqr,static,single,0.8333333333333334,5.231607629427793,True
temporal,True,pleia_energy,46,0,cqr,static,k3_w30,0.5833333333333334,0.15985467756584923,True
full,True,pleia_energy,46,0,quantile_uncalibrated,static,k3_w30,0.6388888888888888,0.31970935513169846,True
baseline,True,pleia_energy,46,1,quantile_uncalibrated,static,single,0.8333333333333331,14.360755021701827,True
conformal_only,True,pleia_energy,46,1,cqr,static,single,0.5833333333333333,3.5611184011305137,True
temporal,True,pleia_energy,46,1,cqr,static,k3_w30,0.2222222222222222,0.0,True
full,True,pleia_energy,46,1,cqr,static,k3_w30,0.2222222222222222,0.0,True
baseline,True,pleia_energy,46,2,quantile_uncalibrated,static,single,0.8194444444444445,18.77944887453316,False
conformal_only,True,pleia_energy,46,2,cqr,static,single,0.8888888888888888,10.654284849096598,False
temporal,True,pleia_energy,46,2,cqr,static,single,0.8888888888888888,10.654284849096598,False
full,True,pleia_energy,46,2,recentred_enbpi_static,periodic,single,0.8194444444444443,16.235792873725647,False
