dataset,horizon,level,method,native_n,common_n,native_coverage,common_coverage,coverage_support_delta,available,unavailable,below_fraction,above_fraction,cal_own_prediction_bias,test_own_prediction_bias,cal_absolute_error_q95,test_absolute_error_q95,mpiw,winkler,score_convention,score_pool,units
pleia_energy,3,0.95,cqr,9907,9902,0.8949227818714041,0.8948697232882246,5.305858317949941e-05,9907,0,0.027556273342081355,0.07752094478651458,0.007423468567539181,-0.013634420588237512,0.06796303571004961,0.48396037192905683,0.46238492006939436,1.2239755221153616,asymmetric native tails,fixed historical calibration,kWh per interval
pleia_energy,3,0.95,recentred_enbpi_static,9907,9902,0.46775007570404764,0.46788527570187843,-0.00013519999783079273,9907,0,0.36570101948117495,0.16654890481477744,0.03519226987479805,-0.006239909776420714,0.10833010000000001,0.479757629999999,0.09849039961894353,3.5958587800066932,native MAPIE OOB calibration score,fixed historical calibration,kWh per interval
pleia_energy,3,0.95,recentred_enbpi_updated,9907,9902,0.8076107802563843,0.8075136336093719,9.714664701243603e-05,9907,0,0.08115473907338246,0.11123448067023317,0.03519226987479805,-0.006239909776420714,0.10833010000000001,0.479757629999999,0.33437305757444236,1.6743918592298364,signed own-point online residual with finite sample ranks,historical calibration plus causal available released scores,kWh per interval
pleia_energy,3,0.95,dscp,9902,9902,0.7427792365178751,0.7427792365178751,0.0,9902,0,0.07594425368612402,0.1812765097960008,0.02386376585479017,-0.016758860452121327,0.12998992502689358,0.4894986927509307,0.24557908998715391,2.351533945111571,frozen cluster/step signed y-minus-matched-XGBoost prediction; linear quantiles,joint-origin calibration,kWh per interval
pleia_energy,6,0.9,quantile_uncalibrated,9907,9902,0.7264560411830019,0.7263179155726116,0.00013812561039028282,9907,0,0.1713939638639346,0.1021499949530635,0.0013947714463961628,-0.05001445137609858,0.0614256998794839,0.5179021280257171,0.3204928487833574,0.9678075777411548,none: uncalibrated raw quantiles,fixed historical calibration,kWh per interval
pleia_energy,6,0.9,cqr,9907,9902,0.8020591500958918,0.8019592001615835,9.994993430828547e-05,9907,0,0.05803976985969517,0.13990108004441304,0.0013947714463961628,-0.05001445137609858,0.0614256998794839,0.5179021280257171,0.3264880439809418,0.9750274782469917,asymmetric native tails,fixed historical calibration,kWh per interval
pleia_energy,6,0.9,recentred_enbpi_static,9907,9902,0.21510043403653983,0.21500706927893354,9.33647576062957e-05,9907,0,0.5885737357424043,0.19632583022105582,0.060683271430014125,-0.003724449242454831,0.142510425,0.5018041419999997,0.06419917196035385,2.216999723234108,native MAPIE OOB calibration score,fixed historical calibration,kWh per interval
pleia_energy,6,0.9,recentred_enbpi_updated,9907,9902,0.6791157767235289,0.6790547364168855,6.104030664333404e-05,9907,0,0.11587766225900878,0.2050065610174624,0.060683271430014125,-0.003724449242454831,0.142510425,0.5018041419999997,0.22274594942878775,1.3543539985051987,signed own-point online residual with finite sample ranks,historical calibration plus causal available released scores,kWh per interval
pleia_energy,6,0.9,dscp,9902,9902,0.625227226822864,0.625227226822864,0.0,9902,0,0.13340739244597052,0.24136538073116542,0.011821916059711649,-0.03764079798857953,0.10498194694519036,0.5314828336238853,0.18870344020304378,1.5453354443329212,frozen cluster/step signed y-minus-matched-XGBoost prediction; linear quantiles,joint-origin calibration,kWh per interval
pleia_energy,6,0.95,quantile_uncalibrated,9907,9902,0.8371858282022813,0.837103615431226,8.22127710552456e-05,9907,0,0.10568285050974059,0.057131321287978196,0.0013947714463961628,-0.05001445137609858,0.0614256998794839,0.5179021280257171,0.5291224022580744,1.3423402552137877,none: uncalibrated raw quantiles,fixed historical calibration,kWh per interval
