dataset,recalibration_strategy,block_start,block_index,n,empirical_coverage,coverage_deviation,mean_interval_width,post_shift
rico,static,8841,70,60,0.9166666666666666,0.033333333333333326,0.5358628705243937,True
rico,static,8901,71,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,8961,72,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,9021,73,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,9081,74,60,0.9666666666666667,0.01666666666666672,0.5358628705243937,True
rico,static,9141,75,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,9201,76,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,9261,77,21,1.0,0.050000000000000044,0.5358628705243937,True
rico,periodic,21,-77,60,1.0,0.050000000000000044,0.5351284909837016,False
rico,periodic,81,-76,60,1.0,0.050000000000000044,0.5334911931493227,False
rico,periodic,141,-75,60,0.9,0.04999999999999993,0.5333239385992266,False
rico,periodic,201,-74,60,1.0,0.050000000000000044,0.5342192717371129,False
rico,periodic,261,-73,60,1.0,0.050000000000000044,0.5330325529204839,False
rico,periodic,321,-72,60,0.9,0.04999999999999993,0.5320277670899038,False
rico,periodic,381,-71,60,1.0,0.050000000000000044,0.5328841841275936,False
rico,periodic,441,-70,60,0.3333333333333333,0.6166666666666667,0.5373951254092221,False
rico,periodic,501,-69,60,1.0,0.050000000000000044,0.5453395562165694,False
rico,periodic,561,-68,60,1.0,0.050000000000000044,0.5435236423152313,False
rico,periodic,621,-67,60,1.0,0.050000000000000044,0.5401833902896221,False
rico,periodic,681,-66,60,0.95,0.0,0.5391186579870115,False
rico,periodic,741,-65,60,0.9833333333333333,0.033333333333333326,0.5385727176932794,False
rico,periodic,801,-64,60,1.0,0.050000000000000044,0.5375639849358737,False
rico,periodic,861,-63,60,0.75,0.19999999999999996,0.5395484799204222,False
rico,periodic,921,-62,60,1.0,0.050000000000000044,0.5420962858163193,False
rico,periodic,981,-61,60,1.0,0.050000000000000044,0.5403437307101522,False
rico,periodic,1041,-60,60,1.0,0.050000000000000044,0.5390110344779868,False
rico,periodic,1101,-59,60,1.0,0.050000000000000044,0.5379305741663046,False
rico,periodic,1161,-58,60,1.0,0.050000000000000044,0.5363966949704896,False
rico,periodic,1221,-57,60,1.0,0.050000000000000044,0.5351142749158068,False
rico,periodic,1281,-56,60,0.9833333333333333,0.033333333333333326,0.5346751284623987,False
rico,periodic,1341,-55,60,0.9833333333333333,0.033333333333333326,0.5341573264766081,False
rico,periodic,1401,-54,60,1.0,0.050000000000000044,0.5331189237953332,False
