dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,point_model,conformal_method,nominal_coverage,empirical_coverage,coverage_deviation,mean_interval_width,median_interval_width,winkler_score,n_valid,normalized_mean_interval_width,n_seeds,n_crossed_repaired,coverage_std,width_std,dscp_n_clusters,dscp_silhouette
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,HistGBR-quantile,cqr,0.9,0.8165694849368319,0.08343051506316812,2.228493243055459,2.0469969041075693,3.6189760369367225,8232,0.4968106062220001,5,36,0.0472809715127383,0.20499170297647526,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,HistGBR-quantile,quantile_uncalibrated,0.9,0.4904033041788144,0.40959669582118563,1.0850522464068963,0.8642669613308875,5.630065808292278,8232,0.2418968359001382,1,0,,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,HistGBR-quantile,cqr,0.95,0.7520651117589893,0.1979348882410107,2.649147991403416,2.7359822765579747,15.652460543065509,8232,0.5905895490965917,5,682,0.06644986876972132,0.2915664704920003,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,HistGBR-quantile,quantile_uncalibrated,0.95,0.5483479105928085,0.40165208940719144,1.7535518102459657,1.664426180426469,16.940022924820177,8232,0.3909292256572049,1,0,,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,XGBRegressor,recentred_enbpi_static,0.9,0.7857142857142857,0.11428571428571432,1.2319726943969727,1.2319726943969727,3.438662464579296,8232,0.2746506425629216,3,0,0.021915398843625516,0.025176517294936047,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,XGBRegressor,recentred_enbpi_static,0.95,0.863824101068999,0.08617589893100097,1.7363501230875649,1.7363501230875649,4.279588248855598,8232,0.38709435622161753,3,0,0.0237203147525652,0.09077732578581904,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,XGBRegressor,recentred_enbpi_updated,0.9,0.8193634596695821,0.0806365403304179,1.3690483074460968,1.3223988533020012,3.117506049278717,8232,0.3052096844758402,3,0,0.011161952632150507,0.0067835773040446365,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,XGBRegressor,recentred_enbpi_updated,0.95,0.9026967930029155,0.04730320699708446,1.9689414181070017,1.9339492373996308,3.781705410687519,8232,0.43894724948959624,3,0,0.007559832219057298,0.050317739816864236,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,HistGBR-quantile,cqr,0.9,0.7946069994262766,0.10539300057372347,3.3425946695737228,3.1765944696335087,7.891152817002529,6972,0.7206605203432797,5,798,0.04583854814346931,0.3776766703878614,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,HistGBR-quantile,quantile_uncalibrated,0.9,0.4704532415375789,0.42954675846242113,1.937277851743329,1.747222372275246,8.908956368547319,6972,0.417675429628117,1,0,,,,
