control_a,control_b,metric,definition,rule_id,channel,paired_strata,min_paired_contexts,status,equal_stratum_mean_difference
cqr_rolling,persistence_static,restricted_delay,A minus B,180min_3of18,combined,21,50,descriptive_complete_pairing,-25.215730042016805
cqr_rolling,persistence_static,restricted_delay,A minus B,180min_3of18,numerical_only,21,50,descriptive_complete_pairing,-19.746516106442577
cqr_rolling,persistence_static,restricted_delay,A minus B,30min_3of3,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_rolling,persistence_static,restricted_delay,A minus B,30min_3of3,combined,21,50,descriptive_complete_pairing,1.0943539915966387
cqr_rolling,persistence_static,restricted_delay,A minus B,30min_3of3,numerical_only,21,50,descriptive_complete_pairing,3.8018207282913155
cqr_rolling,persistence_static,restricted_delay,A minus B,360min_4of36,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_rolling,persistence_static,restricted_delay,A minus B,360min_4of36,combined,21,50,descriptive_complete_pairing,-14.943986344537818
cqr_rolling,persistence_static,restricted_delay,A minus B,360min_4of36,numerical_only,21,50,descriptive_complete_pairing,-11.894826680672269
cqr_rolling,persistence_static,restricted_delay,A minus B,60min_4of6,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_rolling,persistence_static,restricted_delay,A minus B,60min_4of6,combined,21,50,descriptive_complete_pairing,-4.617585784313726
cqr_rolling,persistence_static,restricted_delay,A minus B,60min_4of6,numerical_only,21,50,descriptive_complete_pairing,0.7260941876750701
cqr_rolling,persistence_static,restricted_delay,A minus B,single_sample,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_rolling,persistence_static,restricted_delay,A minus B,single_sample,combined,21,50,descriptive_complete_pairing,2.18531162464986
cqr_rolling,persistence_static,restricted_delay,A minus B,single_sample,numerical_only,21,50,descriptive_complete_pairing,9.952232142857143
