stage,category,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
context_09fdd1ac978146e6f60d_v19,context_replay,0.7082072000048356,480124928,481091584,441110528,442212352,966656,484126720,3990679552,0.05,0.71875
context_09fdd1ac978146e6f60d_v2,context_replay,0.7759491000033449,479166464,480026624,440311808,441421824,860160,484126720,4005208064,0.05,0.765625
context_09fdd1ac978146e6f60d_v20,context_replay,0.00253800000064075,480124928,480141312,441110528,441143296,16384,484126720,3999887360,0.05,0.0
context_09fdd1ac978146e6f60d_v21,context_replay,0.6617339000076754,480124928,480935936,441110528,442224640,811008,484126720,3983093760,0.05,0.671875
context_09fdd1ac978146e6f60d_v22,context_replay,0.0035177999961888418,480194560,480210944,441376768,441409536,16384,484126720,3988336640,0.05,0.0
context_09fdd1ac978146e6f60d_v23,context_replay,0.6703560000023572,480194560,481529856,441376768,442478592,1335296,484126720,3992870912,0.05,0.65625
context_09fdd1ac978146e6f60d_v24,context_replay,0.0036456999951042235,481382400,481398784,442392576,442425344,16384,484126720,4006133760,0.05,0.0
context_09fdd1ac978146e6f60d_v25,context_replay,0.6775127000000793,481378304,482455552,442392576,443494400,1077248,484126720,4007641088,0.05,0.640625
context_09fdd1ac978146e6f60d_v26,context_replay,0.6768510999972932,481382400,481878016,442392576,443494400,495616,484126720,3998601216,0.05,0.65625
context_09fdd1ac978146e6f60d_v27,context_replay,0.6798437000106787,481411072,481447936,442392576,442441728,36864,484126720,3972751360,0.05,0.671875
context_09fdd1ac978146e6f60d_v28,context_replay,0.6560461999906693,481427456,482516992,442392576,443494400,1089536,484126720,3992743936,0.05,0.640625
context_09fdd1ac978146e6f60d_v29,context_replay,0.6591709999920567,481443840,482332672,442392576,443518976,888832,484126720,3980386304,0.05,0.65625
context_09fdd1ac978146e6f60d_v3,context_replay,0.6893948999932036,479166464,479186944,440311808,440360960,20480,484126720,4013117440,0.05,0.671875
context_09fdd1ac978146e6f60d_v30,context_replay,0.6947552999918116,481443840,482578432,442392576,443494400,1134592,484126720,3990495232,0.05,0.671875
context_09fdd1ac978146e6f60d_v31,context_replay,0.809920300001977,481505280,481538048,442392576,442454016,32768,484126720,3980771328,0.05,0.765625
context_09fdd1ac978146e6f60d_v32,context_replay,0.6612099000049056,481505280,482586624,442392576,443506688,1081344,484126720,3971497984,0.05,0.65625
context_09fdd1ac978146e6f60d_v33,context_replay,0.6847211999993306,481505280,482136064,442392576,443506688,630784,484126720,3983826944,0.05,0.6875
context_09fdd1ac978146e6f60d_v34,context_replay,0.6798489999928279,481505280,482541568,442392576,443510784,1036288,484126720,3982041088,0.05,0.671875
context_09fdd1ac978146e6f60d_v35,context_replay,0.7030572999938158,481505280,482091008,442392576,443506688,585728,484126720,3983925248,0.05,0.703125
context_09fdd1ac978146e6f60d_v36,context_replay,0.6749665999959689,481505280,481525760,442392576,442441728,20480,484126720,4074336256,0.05,0.640625
context_09fdd1ac978146e6f60d_v37,context_replay,0.6594214999931864,481501184,482623488,442392576,443883520,1122304,484126720,4061978624,0.05,0.625
context_09fdd1ac978146e6f60d_v38,context_replay,0.742168099997798,481837056,482910208,442765312,443867136,1073152,484126720,4096540672,0.05,0.71875
context_09fdd1ac978146e6f60d_v39,context_replay,0.7729464000003645,481837056,482500608,442765312,444919808,663552,484126720,4105564160,0.05,0.71875
context_09fdd1ac978146e6f60d_v4,context_replay,0.6867922999954317,479166464,479920128,440311808,441413632,753664,484126720,4047499264,0.05,0.6875
context_09fdd1ac978146e6f60d_v40,context_replay,0.7184435999952257,481845248,482959360,443813888,444919808,1114112,484126720,4090941440,0.05,0.6875
context_09fdd1ac978146e6f60d_v41,context_replay,0.7443398999894271,481882112,482390016,443813888,444923904,507904,484126720,4081164288,0.05,0.75
context_09fdd1ac978146e6f60d_v42,context_replay,0.6578530999977374,481882112,482705408,443813888,444940288,823296,484126720,4087697408,0.05,0.625
context_09fdd1ac978146e6f60d_v5,context_replay,0.003643600008217618,479170560,479186944,440311808,440344576,16384,484126720,4052512768,0.05,0.0
context_09fdd1ac978146e6f60d_v6,context_replay,0.6615990999998758,479170560,479678464,440311808,441413632,507904,484126720,4048789504,0.05,0.640625
context_09fdd1ac978146e6f60d_v7,context_replay,0.6610757000016747,479236096,479256576,440311808,440360960,20480,484126720,4037079040,0.05,0.640625
context_09fdd1ac978146e6f60d_v8,context_replay,0.004336100013460964,479244288,479260672,440578048,440610816,16384,484126720,4052762624,0.05,0.0
context_09fdd1ac978146e6f60d_v9,context_replay,0.7188089999981457,479244288,479522816,440578048,440627200,278528,484126720,4008448000,0.05,0.703125
context_12de1cb3d6f52f871993_v0,context_replay,0.6359486000001198,471199744,471846912,433012736,434114560,647168,472334336,4042563584,0.05,0.640625
context_12de1cb3d6f52f871993_v1,context_replay,0.6550938000000315,471199744,471322624,433012736,434130944,122880,472334336,4072636416,0.05,0.625
context_12de1cb3d6f52f871993_v10,context_replay,0.0024484000023221597,471535616,471552000,433545216,433577984,16384,472666112,4065419264,0.05,0.015625
context_12de1cb3d6f52f871993_v11,context_replay,0.6617961000010837,471535616,471879680,433545216,433594368,344064,472993792,4012466176,0.05,0.609375
context_12de1cb3d6f52f871993_v12,context_replay,0.002435600006720051,471859200,471875584,433545216,433577984,16384,472993792,4054396928,0.05,0.015625
context_12de1cb3d6f52f871993_v13,context_replay,0.6391510999965249,471859200,472932352,433545216,434647040,1073152,472993792,4087574528,0.05,0.578125
context_12de1cb3d6f52f871993_v14,context_replay,0.00365359999705106,471859200,471875584,433545216,433577984,16384,472993792,4104220672,0.05,0.0
context_12de1cb3d6f52f871993_v15,context_replay,0.6559887999901548,471859200,472625152,433545216,434647040,765952,472993792,4094812160,0.05,0.65625
context_12de1cb3d6f52f871993_v16,context_replay,0.0024778999941190705,471863296,471879680,433811456,433844224,16384,472993792,4114284544,0.05,0.0
context_12de1cb3d6f52f871993_v17,context_replay,0.652908700008993,471928832,473149440,433811456,435286016,1220608,473329664,4067467264,0.05,0.625
context_12de1cb3d6f52f871993_v18,context_replay,0.00265580000996124,472195072,472211456,434184192,434216960,16384,473329664,4105199616,0.05,0.0
context_12de1cb3d6f52f871993_v19,context_replay,0.6459742000006372,472195072,473030656,434184192,435286016,835584,473329664,4099559424,0.05,0.625
context_12de1cb3d6f52f871993_v2,context_replay,0.6373276000085752,471199744,471707648,433012736,434114560,507904,472399872,4105498624,0.05,0.65625
context_12de1cb3d6f52f871993_v20,context_replay,0.0050278999988222495,472195072,472211456,434184192,434216960,16384,473329664,4093419520,0.05,0.0
context_12de1cb3d6f52f871993_v21,context_replay,0.6579414000007091,472195072,473350144,434184192,435306496,1155072,473395200,4084695040,0.05,0.65625
context_12de1cb3d6f52f871993_v22,context_replay,0.002553999991505407,472260608,472276992,434184192,434216960,16384,473395200,4086300672,0.05,0.0
context_12de1cb3d6f52f871993_v23,context_replay,0.6069289000006393,472260608,472838144,434184192,435286016,577536,473726976,4089569280,0.05,0.59375
context_12de1cb3d6f52f871993_v24,context_replay,0.0024846000014804304,472592384,472608768,434184192,434216960,16384,473726976,4090724352,0.05,0.0
context_12de1cb3d6f52f871993_v25,context_replay,0.6085117000038736,472592384,472621056,434184192,434241536,28672,473726976,4072493056,0.05,0.5625
context_12de1cb3d6f52f871993_v26,context_replay,0.7123131999978796,472592384,473096192,434184192,435298304,503808,473726976,4062416896,0.05,0.703125
context_12de1cb3d6f52f871993_v27,context_replay,0.6294436000025598,472592384,472678400,434184192,434233344,86016,473792512,4066025472,0.05,0.625
context_12de1cb3d6f52f871993_v28,context_replay,0.6559739999938756,472657920,473542656,434184192,435298304,884736,473792512,4050731008,0.05,0.65625
context_12de1cb3d6f52f871993_v29,context_replay,0.6486455999984173,472657920,472907776,434184192,435298304,249856,473792512,4082135040,0.05,0.65625
context_12de1cb3d6f52f871993_v3,context_replay,0.6518679000000702,471265280,472338432,433012736,434139136,1073152,472399872,4090023936,0.05,0.59375
context_12de1cb3d6f52f871993_v30,context_replay,0.6391123000066727,472657920,473726976,434184192,435286016,1069056,473792512,4075171840,0.05,0.625
context_12de1cb3d6f52f871993_v31,context_replay,0.6498817999963649,472662016,473960448,434454528,435556352,1298432,474058752,4060291072,0.05,0.65625
context_12de1cb3d6f52f871993_v32,context_replay,0.6674481999943964,472924160,474009600,434454528,435572736,1085440,474058752,4057780224,0.05,0.65625
context_12de1cb3d6f52f871993_v33,context_replay,0.6321979999920586,472924160,473325568,434454528,435576832,401408,474120192,4073476096,0.05,0.59375
context_12de1cb3d6f52f871993_v34,context_replay,0.6604254999983823,472993792,474091520,434720768,435822592,1097728,474390528,4121710592,0.05,0.65625
context_12de1cb3d6f52f871993_v35,context_replay,0.7440075999911642,473255936,474333184,434720768,435830784,1077248,474390528,4113637376,0.05,0.734375
context_12de1cb3d6f52f871993_v36,context_replay,0.695857700004126,473255936,474337280,434720768,435834880,1081344,474390528,4109336576,0.05,0.6875
context_12de1cb3d6f52f871993_v37,context_replay,0.6100093000131892,473260032,474349568,434720768,435843072,1089536,474394624,4093702144,0.05,0.59375
context_12de1cb3d6f52f871993_v38,context_replay,0.6352114000037545,473325568,473346048,434720768,434769920,20480,474460160,4108484608,0.05,0.625
context_12de1cb3d6f52f871993_v39,context_replay,0.6799151000013808,473325568,473362432,434720768,434790400,36864,474460160,4091428864,0.05,0.65625
context_12de1cb3d6f52f871993_v4,context_replay,0.6280973999964772,471265280,471883776,433012736,434114560,618496,472399872,4044595200,0.05,0.609375
context_12de1cb3d6f52f871993_v40,context_replay,0.6303494000021601,473329664,474255360,434987008,436088832,925696,474726400,4060086272,0.05,0.609375
context_12de1cb3d6f52f871993_v41,context_replay,0.6475184000009904,473591808,474697728,434987008,436125696,1105920,474726400,4079697920,0.05,0.59375
context_12de1cb3d6f52f871993_v42,context_replay,0.6285578999959398,473591808,473677824,434987008,435036160,86016,474791936,4077760512,0.05,0.625
context_12de1cb3d6f52f871993_v5,context_replay,0.6266585999983363,471269376,471896064,433278976,434401280,626688,472666112,4059353088,0.05,0.578125
context_12de1cb3d6f52f871993_v6,context_replay,0.0034672000037971884,471531520,471547904,433278976,433311744,16384,472666112,4062085120,0.05,0.0
context_12de1cb3d6f52f871993_v7,context_replay,0.7271445000078529,471531520,472363008,433278976,434388992,831488,472666112,4046368768,0.05,0.71875
context_12de1cb3d6f52f871993_v8,context_replay,0.002588100003777072,471531520,471547904,433278976,433311744,16384,472666112,4041957376,0.05,0.015625
context_12de1cb3d6f52f871993_v9,context_replay,0.6559658000041964,471531520,471875584,433278976,434393088,344064,472666112,4052856832,0.05,0.609375
context_13133ce5d5279b52b902_v0,context_replay,0.5819145999994362,398876672,400220160,358658048,359776256,1343488,417636352,2453970944,0.05,0.578125
context_13133ce5d5279b52b902_v1,context_replay,0.5976112999924226,399138816,399962112,358658048,359784448,823296,417636352,2463006720,0.05,0.5625
context_13133ce5d5279b52b902_v10,context_replay,0.003357599998707883,399470592,399486976,358924288,358957056,16384,417636352,2466250752,0.05,0.0
context_13133ce5d5279b52b902_v11,context_replay,0.6349371999967843,399470592,400543744,358924288,360030208,1073152,417636352,2449920000,0.05,0.640625
context_13133ce5d5279b52b902_v12,context_replay,0.0038155999936861917,399474688,399491072,359190528,359223296,16384,417636352,2460422144,0.05,0.015625
context_13133ce5d5279b52b902_v13,context_replay,0.6181571000051918,399474688,399785984,359190528,360292352,311296,417636352,2462707712,0.05,0.578125
context_13133ce5d5279b52b902_v14,context_replay,0.002785600008792244,399765504,399781888,360243200,360275968,16384,417636352,2486276096,0.05,0.0
context_13133ce5d5279b52b902_v15,context_replay,0.6329402000119444,399765504,399814656,360243200,360300544,49152,417636352,2441039872,0.05,0.625
context_13133ce5d5279b52b902_v16,context_replay,0.0030470999918179587,399785984,399802368,360243200,360275968,16384,417636352,2492039168,0.05,0.0
context_13133ce5d5279b52b902_v17,context_replay,0.5867695999913849,399785984,400445440,360243200,361369600,659456,417636352,2471997440,0.05,0.59375
context_13133ce5d5279b52b902_v18,context_replay,0.0033100000000558794,399806464,399822848,360509440,360542208,16384,417636352,2474938368,0.05,0.0
context_13133ce5d5279b52b902_v19,context_replay,0.65001779999875,399806464,400154624,360509440,360558592,348160,417636352,2479517696,0.05,0.640625
context_13133ce5d5279b52b902_v2,context_replay,0.5595940000057453,399138816,399224832,358658048,358707200,86016,417636352,2471874560,0.05,0.515625
context_13133ce5d5279b52b902_v20,context_replay,0.0028694000066025183,400134144,400150528,360509440,360542208,16384,417636352,2481262592,0.05,0.0
context_13133ce5d5279b52b902_v21,context_replay,0.6066472999955295,400134144,401117184,360509440,361619456,983040,417636352,2451267584,0.05,0.5625
context_13133ce5d5279b52b902_v22,context_replay,0.0028870999958598986,400134144,400150528,360509440,360542208,16384,417636352,2469617664,0.05,0.0
context_13133ce5d5279b52b902_v23,context_replay,0.6222378999955254,400142336,400564224,360779776,361222144,421888,417636352,2443812864,0.05,0.5625
context_13133ce5d5279b52b902_v24,context_replay,0.0024203000066336244,400527360,400543744,361156608,361189376,16384,417636352,2469912576,0.05,0.0
context_13133ce5d5279b52b902_v25,context_replay,0.6577853999915533,400527360,401391616,361156608,362258432,864256,417636352,2471321600,0.05,0.640625
context_13133ce5d5279b52b902_v26,context_replay,0.6048982000065735,400592896,400613376,361156608,361205760,20480,417636352,2480742400,0.05,0.5625
context_13133ce5d5279b52b902_v27,context_replay,0.6453467000101227,400592896,401674240,361156608,362266624,1081344,417636352,2470072320,0.05,0.65625
context_13133ce5d5279b52b902_v28,context_replay,0.6050560000003316,400592896,401731584,361156608,362258432,1138688,417636352,2463064064,0.05,0.59375
context_13133ce5d5279b52b902_v29,context_replay,0.6457196999981534,400867328,402149376,361222144,362696704,1282048,417636352,2434981888,0.05,0.609375
context_13133ce5d5279b52b902_v3,context_replay,0.6108135000104085,399204352,400134144,358658048,359768064,929792,417636352,2460229632,0.05,0.546875
context_13133ce5d5279b52b902_v30,context_replay,0.5968664999963949,401281024,401412096,361594880,361689088,131072,417636352,2456842240,0.05,0.578125
context_13133ce5d5279b52b902_v31,context_replay,0.6782325000094716,401346560,401707008,361594880,362696704,360448,417636352,2430238720,0.05,0.65625
context_13133ce5d5279b52b902_v32,context_replay,0.7012843999982579,401346560,402219008,361594880,362696704,872448,417636352,2446151680,0.05,0.6875
context_13133ce5d5279b52b902_v33,context_replay,0.6328065999987302,401346560,401444864,361594880,362713088,98304,417636352,2458664960,0.05,0.609375
context_13133ce5d5279b52b902_v34,context_replay,0.6173664999951143,401342464,401379328,361594880,361644032,36864,417636352,2473496576,0.05,0.578125
context_13133ce5d5279b52b902_v35,context_replay,0.71617340001103,401358848,402460672,361594880,362708992,1101824,417636352,2489405440,0.05,0.6875
context_13133ce5d5279b52b902_v36,context_replay,0.6049081999954069,401379328,402337792,361594880,362704896,958464,417636352,2475155456,0.05,0.609375
context_13133ce5d5279b52b902_v37,context_replay,0.6187695999979042,401395712,401833984,361594880,362704896,438272,417636352,2482544640,0.05,0.609375
context_13133ce5d5279b52b902_v38,context_replay,0.587411600004998,401412096,401432576,361594880,361644032,20480,417636352,2468851712,0.05,0.59375
context_13133ce5d5279b52b902_v39,context_replay,0.7684521000046516,401412096,402100224,361594880,362700800,688128,417636352,2474049536,0.05,0.75
context_13133ce5d5279b52b902_v4,context_replay,0.6762428000074578,399204352,400261120,358658048,359772160,1056768,417636352,2471444480,0.05,0.671875
context_13133ce5d5279b52b902_v40,context_replay,0.6166439000080572,401481728,402784256,361861120,362975232,1302528,417636352,2477813760,0.05,0.5625
context_13133ce5d5279b52b902_v41,context_replay,0.6416093000007095,401698816,402214912,361861120,362962944,516096,417636352,2468962304,0.05,0.625
context_13133ce5d5279b52b902_v42,context_replay,0.5998183000046993,401698816,402669568,361861120,362983424,970752,417636352,2473213952,0.05,0.578125
context_13133ce5d5279b52b902_v5,context_replay,0.5889561999938451,399204352,400285696,358658048,359772160,1081344,417636352,2442137600,0.05,0.578125
context_13133ce5d5279b52b902_v6,context_replay,0.6203401999955531,399208448,400543744,358924288,360030208,1335296,417636352,2448150528,0.05,0.609375
context_13133ce5d5279b52b902_v7,context_replay,0.615864799998235,399470592,399896576,358924288,360030208,425984,417636352,2457440256,0.05,0.59375
context_13133ce5d5279b52b902_v8,context_replay,0.0027919999993173406,399470592,399486976,358924288,358957056,16384,417636352,2471612416,0.05,0.0
context_13133ce5d5279b52b902_v9,context_replay,0.6464816999941831,399470592,400064512,358924288,360030208,593920,417636352,2454298624,0.05,0.65625
context_13889fc844c4dc20beac_v0,context_replay,0.5879286999988835,435417088,436236288,395419648,396537856,819200,436551680,4251975680,0.05,0.578125
context_13889fc844c4dc20beac_v1,context_replay,0.0033263000077567995,435417088,435433472,395419648,395452416,16384,436551680,4255772672,0.05,0.0
context_13889fc844c4dc20beac_v10,context_replay,0.0035349999961908907,435736576,435752960,396738560,396771328,16384,436871168,4251549696,0.05,0.015625
context_13889fc844c4dc20beac_v11,context_replay,0.6485457999951905,435744768,436129792,397004800,398127104,385024,437157888,4187901952,0.05,0.625
context_13889fc844c4dc20beac_v12,context_replay,0.0027516999980434775,436023296,436039680,397004800,397037568,16384,437157888,4259426304,0.05,0.0
context_13889fc844c4dc20beac_v13,context_replay,0.7038445000071079,436023296,437170176,397004800,398114816,1146880,437223424,4243972096,0.05,0.671875
context_13889fc844c4dc20beac_v14,context_replay,0.002628700007335283,436088832,436105216,397004800,397037568,16384,437223424,4234444800,0.05,0.0
context_13889fc844c4dc20beac_v15,context_replay,0.7210625000006985,436088832,436109312,397004800,397053952,20480,437223424,4241858560,0.05,0.6875
context_13889fc844c4dc20beac_v16,context_replay,0.003110799996647984,436088832,436105216,397004800,397037568,16384,437223424,4265549824,0.05,0.0
context_13889fc844c4dc20beac_v17,context_replay,0.6666799999948125,436092928,437104640,397271040,398372864,1011712,437555200,4255928320,0.05,0.65625
context_13889fc844c4dc20beac_v18,context_replay,0.004281100002117455,436420608,436436992,397271040,397303808,16384,437555200,4262875136,0.05,0.0
context_13889fc844c4dc20beac_v19,context_replay,0.7242127000063192,436424704,437497856,397271040,398372864,1073152,437559296,4259352576,0.05,0.65625
context_13889fc844c4dc20beac_v2,context_replay,0.7047238999948604,435421184,435941376,395419648,396541952,520192,436555776,4248899584,0.05,0.625
context_13889fc844c4dc20beac_v20,context_replay,0.005298399992170744,436424704,436441088,397271040,397303808,16384,437559296,4266795008,0.05,0.0
context_13889fc844c4dc20beac_v21,context_replay,0.7636937000061153,436424704,436695040,397271040,398381056,270336,437559296,4232208384,0.05,0.765625
context_13889fc844c4dc20beac_v22,context_replay,0.002698300013435073,436428800,436445184,397537280,397570048,16384,437559296,4228792320,0.05,0.0
context_13889fc844c4dc20beac_v23,context_replay,0.7200453000114067,436428800,437436416,397537280,398651392,1007616,437825536,4223799296,0.05,0.703125
context_13889fc844c4dc20beac_v24,context_replay,0.0033752999879652634,436690944,436707328,397537280,397570048,16384,437825536,4233728000,0.05,0.0
context_13889fc844c4dc20beac_v25,context_replay,0.6645453999954043,436690944,437829632,397537280,398639104,1138688,437891072,4178157568,0.05,0.609375
context_13889fc844c4dc20beac_v26,context_replay,0.66704220000247,436756480,437522432,397537280,398639104,765952,437956608,4194578432,0.05,0.609375
context_13889fc844c4dc20beac_v27,context_replay,0.698310699997819,436822016,437895168,397537280,398639104,1073152,437956608,4201684992,0.05,0.6875
context_13889fc844c4dc20beac_v28,context_replay,0.6440606999967713,436826112,437882880,397807616,398909440,1056768,438288384,4189364224,0.05,0.625
context_13889fc844c4dc20beac_v29,context_replay,0.6838886000041384,437153792,438288384,397807616,398970880,1134592,438288384,4189577216,0.05,0.6875
context_13889fc844c4dc20beac_v3,context_replay,0.688448500004597,435421184,435441664,395419648,395468800,20480,436555776,4215140352,0.05,0.65625
context_13889fc844c4dc20beac_v30,context_replay,0.6212392000015825,437153792,437174272,397807616,397856768,20480,438288384,4178948096,0.05,0.59375
