stage,control_id,rows,ordered_issued_bounds,raw_crossing_rows,finite_issued_bounds
context_09fdd1ac978146e6f60d_v21,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v23,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v23,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v23,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v23,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v25,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v25,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v25,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v25,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v26,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v26,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v26,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v26,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v27,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v27,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v27,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v27,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v28,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v28,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v28,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v28,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v29,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v29,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v29,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v29,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v3,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v3,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v3,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v3,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v30,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v30,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v30,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v30,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v31,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v31,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v31,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v31,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v32,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v32,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v32,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v32,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v33,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v33,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v33,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v33,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v34,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v34,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v34,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v34,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v35,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v35,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v35,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v35,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v36,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v36,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v36,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v36,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v37,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v37,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v37,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v37,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v38,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v38,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v38,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v38,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v39,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v39,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v39,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v39,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v4,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v4,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v4,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v4,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v40,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v40,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v40,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v40,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v41,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v41,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v41,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v41,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v42,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v42,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v42,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v42,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v6,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v6,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v6,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v6,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v7,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v7,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v7,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v7,persistence_static,144,144,0,144
context_09fdd1ac978146e6f60d_v9,quantile_static,144,144,0,144
context_09fdd1ac978146e6f60d_v9,cqr_static,144,144,0,144
context_09fdd1ac978146e6f60d_v9,cqr_rolling,144,144,0,144
context_09fdd1ac978146e6f60d_v9,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v0,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v0,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v0,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v0,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v1,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v1,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v1,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v1,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v11,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v11,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v11,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v11,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v13,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v13,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v13,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v13,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v15,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v15,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v15,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v15,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v17,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v17,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v17,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v17,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v19,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v19,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v19,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v19,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v2,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v2,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v2,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v2,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v21,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v21,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v21,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v21,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v23,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v23,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v23,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v23,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v25,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v25,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v25,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v25,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v26,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v26,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v26,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v26,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v27,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v27,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v27,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v27,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v28,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v28,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v28,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v28,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v29,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v29,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v29,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v29,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v3,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v3,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v3,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v3,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v30,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v30,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v30,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v30,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v31,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v31,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v31,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v31,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v32,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v32,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v32,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v32,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v33,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v33,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v33,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v33,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v34,quantile_static,144,144,0,144
