unit,archive,bytes,sha256,members,uncompressed_bytes
rico_h15_f0_s45_v1,rico_h15_f0_s45_v1.zip,11926008,2e5a7b66d7d5a5861ff23eba837bb3c102485d05aaeaa183cb9c64819d830aa9,35,12557717
rico_h30_f0_s45_v1,rico_h30_f0_s45_v1.zip,11338329,94eaf1dffb92e56ecff39be112efda741df627e7289da5d57c3fff9089f587df,35,12356916
rico_h60_f0_s45_v1,rico_h60_f0_s45_v1.zip,9572431,445a0595d658ee4f5aca5239709a939c54a88ca6a092a5b5789fe7c947b95f4d,35,10530370
rico_h5_f1_s46_v1,rico_h5_f1_s46_v1.zip,10167291,ae75bebbd0b98c6c10b8d2afd33dca8d1f15cbefab29e19f8feb3292f5e24b06,35,10758605
rico_h15_f1_s46_v1,rico_h15_f1_s46_v1.zip,10000095,e999599d6472acaeb77b5e710b723c898da2cefeff9885279d76eefd20037a84,35,10959401
rico_h30_f1_s46_v1,rico_h30_f1_s46_v1.zip,9259138,c6ea0378ac08b1e325f85eed3bbce0ee12c212f6e7b7512c692cd3f8ed0cd2d0,35,10211209
rico_h60_f1_s46_v1,rico_h60_f1_s46_v1.zip,7545663,466d8ae39aa2cb89d6a54c51b75a90134ad8ba634020b84be2c9db14c9a96d4c,35,8103889
rico_h5_f0_s46_v1,rico_h5_f0_s46_v1.zip,12830763,b30e9e2a41a474f1b5b8230f5aefe7c96598df586626790bc20413a2df974206,35,13859377
rico_h15_f0_s46_v1,rico_h15_f0_s46_v1.zip,12237358,ea579590d99115c6a3f04030119289b8ca628babff150f75441b7d5492866832,35,13250892
rico_h30_f0_s46_v1,rico_h30_f0_s46_v1.zip,11025627,2f97bfce4b55332117ee6ede45795e6135e7f7c83294304ce49245b03942e0de,35,11664624
rico_h60_f0_s46_v1,rico_h60_f0_s46_v1.zip,9585400,c8dfed6fd3d5bbbe3699d83aa930633162ecf6403c9d58b7867c6a0a6e78bfc2,35,10555995
bdg2_h3_f1_s42_v1,bdg2_h3_f1_s42_v1.zip,42280051,b807d31ac9566cc3f920b8740564c05f5cd246287815af073389b3a95c43c8fa,35,43649206
bdg2_h6_f1_s42_v1,bdg2_h6_f1_s42_v1.zip,42394234,f9cc35326b365faf0c47d3e3518804634939de56f3d2e5d66a79f0b5908edc7e,35,43748626
bdg2_h1_f0_s42_v1,bdg2_h1_f0_s42_v1.zip,51156262,54ec8e6d16afd8cf6a159be9153559ca3b6ff2d705dadaedecefd4c8b97a3cb4,35,52702027
bdg2_h3_f0_s42_v1,bdg2_h3_f0_s42_v1.zip,51213365,caada552ddcdda451d873e4fd7cd7e8942cba6dce408cf37ff429d4accc2791b,35,52737585
bdg2_h6_f0_s42_v1,bdg2_h6_f0_s42_v1.zip,51219166,294fe719e4afc93dd94b9503d7a10f8d2e9f376d6b964f00b11e1ac7a8008b8e,35,52738352
bdg2_h1_f1_s43_v1,bdg2_h1_f1_s43_v1.zip,41993054,9620c5ae299eeb42ea75da1e7d84d583a7fbd90063db45fc3c99e7ac3c32d6a8,35,42983707
bdg2_h3_f1_s43_v1,bdg2_h3_f1_s43_v1.zip,42318094,fec47e8c1a787c53fc6962565e6b4929eb2fb5473bc7912e3a7d3eb41274b9ae,35,43689712
bdg2_h6_f1_s43_v1,bdg2_h6_f1_s43_v1.zip,41983390,3a3858831f8915445eeac0fee4ab207edeb0f43524110e157825e16e81a48443,35,42922522
bdg2_h1_f0_s43_v1,bdg2_h1_f0_s43_v1.zip,51106602,6f50a6893ba3ed647af995d1a48e9a6b649a4955235730fe94e79ed59aafc796,35,52658561
bdg2_h3_f0_s43_v1,bdg2_h3_f0_s43_v1.zip,51140808,7012e9481d1ba5d1d8368da1c083920c3c9e1502e657ca91432f78ee90c82249,35,52667116
bdg2_h6_f0_s43_v1,bdg2_h6_f0_s43_v1.zip,51257370,cb05c6200e6ac1c39e96ca8c7d3cfad0e053d7be767c592dc3bb9dbcef60807d,35,52777086
bdg2_h1_f1_s44_v1,bdg2_h1_f1_s44_v1.zip,42145033,e61a05ea8543bc22a9257b4efbe7cca94135419d37af1dd0719889213be76f6d,35,43526247
bdg2_h3_f1_s44_v1,bdg2_h3_f1_s44_v1.zip,42197076,2c875e01e6081466e5c049860b60162dae837c96ba8cbdd0d1230bccb05cd310,35,43562081
bdg2_h6_f1_s44_v1,bdg2_h6_f1_s44_v1.zip,42028694,895a21e95f5f32fe1dbabafff5032bf992e9845b2031341d706be6716716aeb0,35,42967617
bdg2_h1_f0_s44_v1,bdg2_h1_f0_s44_v1.zip,51134559,f578a7740d16b6b885dd60f9c04e72d38d8779858d53c4ffef68bdc97bdb2709,35,52687514
bdg2_h3_f0_s44_v1,bdg2_h3_f0_s44_v1.zip,51277102,0c89812502349a03097f3ed548c9ab140c83b67803deb8129ae375d7fb2e4b86,35,52802137
bdg2_h6_f0_s44_v1,bdg2_h6_f0_s44_v1.zip,51301116,a1f658fb15e98eb47c93368acd11ed177497ffe13023c4a9440a5ba9e7bb83b2,35,52819244
bdg2_h1_f1_s45_v1,bdg2_h1_f1_s45_v1.zip,42135361,af9c5a73d5a601b1e9dde75a5ba5e5c9bf1cc8ee18c992e0481a0206634ef470,35,43519288
bdg2_h3_f1_s45_v1,bdg2_h3_f1_s45_v1.zip,42012599,7c91f6864a25ff0f4603cb77ae584369f00c4b979285fae22ec03d2a650ea4d5,35,42976525
bdg2_h6_f1_s45_v1,bdg2_h6_f1_s45_v1.zip,42255148,6deb7dfb294dbee73454ff598fc72b60fe0666cc1c25f11642380eb6f1c04cb9,35,43607834
bdg2_h1_f0_s45_v1,bdg2_h1_f0_s45_v1.zip,51124827,8ae4840ce6e8e075d44cafc7ab549d08844f8029a94460e3ba076fdc8393a6c8,35,52672723
bdg2_h3_f0_s45_v1,bdg2_h3_f0_s45_v1.zip,51257796,b32a71ede03576c1c0752f2adc72de30d47550aa8ff34a238dc0d130d5ac5aca,35,52786671
