dataset,horizon,level,method,distribution,n,mean,q1,q5,q25,q50,q75,q95,q99
rico,5,0.9,cqr,native_calibration_score,13356,-0.2777717962059126,-3.2023466864354484,-1.035545575462514,-0.3225126194342849,-0.11295239595441764,-0.021048670863567764,0.06928483626029891,0.22905459034042122
rico,5,0.95,cqr,own_calibration_signed_error,4452,-0.007725756119135967,-0.2957587804580472,-0.18833974244390284,-0.061873072730112,-0.00039249910509475683,0.043041668894980845,0.12583922245651508,0.3141720742014124
rico,5,0.95,cqr,own_test_signed_error,8692,-0.04022948736067146,-1.8341209742551428,-0.6297853266053179,-0.08373057653053984,0.027234474860964752,0.11785688074803691,0.27305751431655684,0.46337237412876076
rico,5,0.95,cqr,native_calibration_score,13356,-0.46386000942047184,-3.8702171723382044,-2.17464366106105,-0.5223274389311321,-0.1945413624932968,-0.06501918016339303,0.12173666908807235,1.1415159479948191
rico,5,0.9,recentred_enbpi_static,own_calibration_signed_error,4452,-0.09013956693620848,-0.465244790000001,-0.3554050000000011,-0.20723999999999876,-0.10598999999999847,0.012306249999999963,0.2418326499999999,0.40640499999999946
rico,5,0.9,recentred_enbpi_static,own_test_signed_error,8692,-0.43409398826507123,-2.595019999999998,-1.3044699999999985,-0.4824280000000023,-0.33521999999999963,-0.20077199999999706,0.11394584999999949,0.26552329000000124
rico,5,0.9,recentred_enbpi_static,native_calibration_score,4096,-0.008185647334903498,-0.634678840637207,-0.28135414123535085,-0.12671737670898509,-0.033572069803872395,0.05910968780517578,0.4352012634277358,0.6874290466308608
rico,5,0.95,recentred_enbpi_static,own_calibration_signed_error,4452,-0.09013956693620848,-0.465244790000001,-0.3554050000000011,-0.20723999999999876,-0.10598999999999847,0.012306249999999963,0.2418326499999999,0.40640499999999946
rico,5,0.95,recentred_enbpi_static,own_test_signed_error,8692,-0.43409398826507123,-2.595019999999998,-1.3044699999999985,-0.4824280000000023,-0.33521999999999963,-0.20077199999999706,0.11394584999999949,0.26552329000000124
rico,5,0.95,recentred_enbpi_static,native_calibration_score,4096,-0.008185647334903498,-0.634678840637207,-0.28135414123535085,-0.12671737670898509,-0.033572069803872395,0.05910968780517578,0.4352012634277358,0.6874290466308608
rico,15,0.9,cqr,own_calibration_signed_error,4242,0.006480780861261873,-0.5751319191160648,-0.3449442418264752,-0.10377958056686243,-0.014872028040089802,0.08939085813043945,0.5238913910522844,0.7811748348310633
rico,15,0.9,cqr,own_test_signed_error,8282,-0.08762439011882782,-1.9168590359216529,-0.9767548667877435,-0.313333749580921,-0.02815494895565962,0.20069462081985723,0.5248967676165585,1.0111030179167704
rico,15,0.9,cqr,native_calibration_score,12726,-0.40197185259674395,-4.440544343057876,-1.5371705136076947,-0.47223992419610905,-0.17414679657653487,-0.04218425107630708,0.08994024087703778,0.25614373663658085
rico,15,0.95,cqr,own_calibration_signed_error,4242,0.006480780861261873,-0.5751319191160648,-0.3449442418264752,-0.10377958056686243,-0.014872028040089802,0.08939085813043945,0.5238913910522844,0.7811748348310633
rico,15,0.95,cqr,own_test_signed_error,8282,-0.08762439011882782,-1.9168590359216529,-0.9767548667877435,-0.313333749580921,-0.02815494895565962,0.20069462081985723,0.5248967676165585,1.0111030179167704
rico,15,0.95,cqr,native_calibration_score,12726,-0.7645796715537739,-3.5761223101696498,-2.5069727989552195,-1.1287997820983682,-0.5119638874529073,-0.18373866636682834,0.08563995170592609,0.2291223520128307
rico,15,0.9,recentred_enbpi_static,own_calibration_signed_error,4242,-0.1390025058934465,-0.738783999999999,-0.5965430000000005,-0.3306299999999993,-0.163215000000001,0.03821599999999847,0.31220640000000094,0.5796649999999985
rico,15,0.9,recentred_enbpi_static,own_test_signed_error,8282,-0.51677202873702,-2.7407499999999985,-1.5729620000000004,-0.8200800000000008,-0.3599040000000002,-0.12749600000000072,0.281836000000002,0.6504539999999999
rico,15,0.9,recentred_enbpi_static,native_calibration_score,3874,0.02807351048196616,-0.9772098541259773,-0.4139686012268052,-0.11317157745361417,-0.011169338226318715,0.1282450199127183,0.6193214988708503,0.9516057338714579
rico,15,0.95,recentred_enbpi_static,own_calibration_signed_error,4242,-0.1390025058934465,-0.738783999999999,-0.5965430000000005,-0.3306299999999993,-0.163215000000001,0.03821599999999847,0.31220640000000094,0.5796649999999985
rico,15,0.95,recentred_enbpi_static,own_test_signed_error,8282,-0.51677202873702,-2.7407499999999985,-1.5729620000000004,-0.8200800000000008,-0.3599040000000002,-0.12749600000000072,0.281836000000002,0.6504539999999999
rico,15,0.95,recentred_enbpi_static,native_calibration_score,3874,0.02807351048196616,-0.9772098541259773,-0.4139686012268052,-0.11317157745361417,-0.011169338226318715,0.1282450199127183,0.6193214988708503,0.9516057338714579
rico,30,0.9,cqr,own_calibration_signed_error,3927,0.09231840505876433,-0.7123090287106618,-0.471560531688592,-0.16294150288642584,-0.002097352679484743,0.18880006214856415,1.1727516959312645,2.112782463607505
rico,30,0.9,cqr,own_test_signed_error,7667,-0.0800001560726673,-2.6588584504655537,-1.6621255905050631,-0.5123925650603383,0.034644673355515465,0.46107491602360184,1.0729818354574912,1.824831138190504
rico,30,0.9,cqr,native_calibration_score,11781,-0.4349278689068683,-4.167965888398564,-2.4267829651431363,-0.4989089643694804,-0.19631754746448848,-0.030563099284485418,0.2644419347920035,0.6392318972543762
rico,30,0.95,cqr,own_calibration_signed_error,3927,0.09231840505876433,-0.7123090287106618,-0.471560531688592,-0.16294150288642584,-0.002097352679484743,0.18880006214856415,1.1727516959312645,2.112782463607505
rico,30,0.95,cqr,own_test_signed_error,7667,-0.0800001560726673,-2.6588584504655537,-1.6621255905050631,-0.5123925650603383,0.034644673355515465,0.46107491602360184,1.0729818354574912,1.824831138190504
rico,30,0.95,cqr,native_calibration_score,11781,-0.7816929162017334,-5.3756369153628185,-4.2353351184086065,-0.9237203462966477,-0.39111012792887934,-0.12019071730529518,0.3246538687376237,0.6386279427233974
rico,30,0.9,recentred_enbpi_static,own_calibration_signed_error,3927,-0.17409078456837276,-1.3874063800000003,-1.1345322999999996,-0.423254,-0.16680599999999757,0.07965699999999742,0.5248140000000028,0.7953980000000023
rico,30,0.9,recentred_enbpi_static,own_test_signed_error,7667,-0.6422701121690361,-3.1095539999999993,-2.330272000000001,-1.04908,-0.4953019999999988,-0.05939400000000106,0.5035310000000024,0.8839129999999997
rico,30,0.9,recentred_enbpi_static,native_calibration_score,3357,0.007057303490296373,-1.0643615264892587,-0.6699085617065421,-0.1666926066080734,-0.027820587158203125,0.1243186950683608,0.7133865356445312,1.3111091613769545
rico,30,0.95,recentred_enbpi_static,own_calibration_signed_error,3927,-0.17409078456837276,-1.3874063800000003,-1.1345322999999996,-0.423254,-0.16680599999999757,0.07965699999999742,0.5248140000000028,0.7953980000000023
rico,30,0.95,recentred_enbpi_static,own_test_signed_error,7667,-0.6422701121690361,-3.1095539999999993,-2.330272000000001,-1.04908,-0.4953019999999988,-0.05939400000000106,0.5035310000000024,0.8839129999999997
rico,30,0.95,recentred_enbpi_static,native_calibration_score,3357,0.007057303490296373,-1.0643615264892587,-0.6699085617065421,-0.1666926066080734,-0.027820587158203125,0.1243186950683608,0.7133865356445312,1.3111091613769545
rico,60,0.9,cqr,own_calibration_signed_error,3297,0.13714617991846662,-1.947107175513759,-0.745762102254666,-0.23609013466147033,-0.008183024041407805,0.2829338491609086,1.8003188100025864,2.928797297636006
rico,60,0.9,cqr,own_test_signed_error,6437,-0.32540206755793505,-4.869981179045548,-2.8976006804031007,-1.125809672524145,-0.27327936784207907,0.661396934926465,2.07685537230485,3.8206045819154935
