dataset,horizon,outer_fold,model_seed,physical_minutes,target_units,source_run,source_hash,protocol_hash,n_fit,n_calibration,n_test,left_model,right_model,interpretation,mae_difference,rmse_difference,coverage90_difference,signed_coverage_deviation90_difference,absolute_coverage_deviation90_difference,mpiw90_difference,winkler90_difference,coverage95_difference,signed_coverage_deviation95_difference,absolute_coverage_deviation95_difference,mpiw95_difference,winkler95_difference,tuning_seconds_difference,final_fit_seconds_difference,calibration_seconds_difference,inference_seconds_difference,model_phase_seconds_difference,process_cpu_seconds_difference,inference_rows_per_second_difference,model_phase_seconds_ratio,model_phase_seconds_ratio_status,process_cpu_seconds_ratio,process_cpu_seconds_ratio_status,inference_rows_per_second_ratio,inference_rows_per_second_ratio_status
rico,30,2,45,30,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,5769aea4df39adc1c5884a4ac4950471da7bbe227eea0549a15de94fbdebfb6d,11407,3927,7667,attention_lstm,persistence,left minus right within identical seed and target support,2.695913080971976,2.8922000842860474,-0.818312247293596,-0.818312247293596,0.77508803965045,-0.27228622436523153,44.02382384002075,-0.8490935176731447,-0.8490935176731447,0.8208295291509065,-1.0553794860839858,84.81332539669981,46.97699110000394,12.138853100012057,0.18395809999492485,0.3198599000024842,59.61966220001341,58.5,-1954999.794178755,8408.319022691454,ok,3745.0,ok,0.01196905987458982,ok
rico,30,2,45,30,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,5769aea4df39adc1c5884a4ac4950471da7bbe227eea0549a15de94fbdebfb6d,11407,3927,7667,xgboost,persistence,left minus right within identical seed and target support,0.24586578648762364,0.2806751135529293,-0.2727272727272727,-0.2727272727272727,0.22950306508412677,-0.6884704589843764,2.827698102786615,-0.10682144254597625,-0.10682144254597625,0.07855745402373804,-0.3745773315429659,1.9302747671461344,3.259402099996805,1.198158200015314,0.07368429999041837,0.14059809999889694,4.671842700001434,4.5625,-1925613.990468223,659.804001119205,ok,293.0,ok,0.026820254924793965,ok
rico,30,2,46,30,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,0db7f0a10aa75d45d291b57c800923360aa803d8a48eb3fa75d6968e1b6a27fe,11407,3927,7667,attention_lstm,xgboost,left minus right within identical seed and target support,2.900598182145847,3.0248559729400055,-0.612103821572975,-0.6121038215729752,0.6121038215729752,0.71038818359375,47.05126786347052,-0.7729229163949394,-0.7729229163949394,0.7729229163949394,0.058068847656244316,84.17670118999368,51.29640749999089,8.739586099996814,0.07504229999904055,0.17784679999749642,60.28888269998424,59.59375,-28648.313517419247,13.912042432073898,ok,13.928813559322034,ok,0.4519619099873474,ok
rico,30,2,46,30,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,0db7f0a10aa75d45d291b57c800923360aa803d8a48eb3fa75d6968e1b6a27fe,11407,3927,7667,attention_lstm,persistence,left minus right within identical seed and target support,3.13581448240667,3.292446717449593,-0.857701839050476,-0.8577018390504761,0.8144776314073302,0.06949234008789062,49.50803024920892,-0.8633102908569192,-0.8633102908569192,0.835046302334681,-0.1715194702148466,85.88377166047498,54.49249740000232,9.976769099986996,0.16133160000026692,0.3208857999998145,64.9514838999894,64.1875,-2088727.978965577,9846.907678818752,ok,4109.0,ok,0.011184677224690385,ok
rico,30,2,46,30,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,0db7f0a10aa75d45d291b57c800923360aa803d8a48eb3fa75d6968e1b6a27fe,11407,3927,7667,xgboost,persistence,left minus right within identical seed and target support,0.23521630026082324,0.26759074450958786,-0.24559801747750098,-0.24559801747750098,0.20237380983435505,-0.6408958435058594,2.4567623857384002,-0.09038737446197986,-0.09038737446197986,0.06212338593974165,-0.2295883178710909,1.7070704704813005,3.1960899000114296,1.237182999990182,0.08628930000122637,0.14303900000231806,4.662601200005156,4.59375,-2060079.6654481578,707.7974155769487,ok,295.0,ok,0.02474694654025933,ok
rico,60,0,42,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,bf2e8cdb70aac376e7897ea8a3d31c01c5e326f268cf59ea5c736aa306992b81,19311,6437,6751,attention_lstm,xgboost,left minus right within identical seed and target support,0.19075839396247773,0.10636696560798442,0.021033920900607295,0.021033920900607295,-0.021033920900607295,0.7388511657714854,-0.37886622398804715,0.048141016145756166,0.048141016145756166,-0.048141016145756166,0.9454940795898414,-1.3835427409824481,57.31479020000552,15.419726799998898,0.1070661999983713,0.11327870000968687,72.95486190001247,72.3125,-45708.80005152185,15.415747527249497,ok,17.295774647887324,ok,0.4274348199064768,ok
rico,60,0,42,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,bf2e8cdb70aac376e7897ea8a3d31c01c5e326f268cf59ea5c736aa306992b81,19311,6437,6751,attention_lstm,persistence,left minus right within identical seed and target support,-0.16365468103326575,-0.5092445426387513,-0.06028736483483921,-0.06028736483483921,0.04307509998518744,-1.7955642700195251,-3.3825819311310052,-0.02414457117464075,-0.02414457117464075,0.02414457117464075,-2.5922424316406225,-5.300081271868141,60.988942099997075,16.639982699998654,0.1860173000022769,0.19552750000730157,78.01046960000531,76.75,-2879935.9762589214,15096.489293864413,ok,,zero_denominator,0.011709719079195477,ok
rico,60,0,42,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,bf2e8cdb70aac376e7897ea8a3d31c01c5e326f268cf59ea5c736aa306992b81,19311,6437,6751,xgboost,persistence,left minus right within identical seed and target support,-0.3544130749957435,-0.6156115082467357,-0.0813212857354465,-0.0813212857354465,0.06410902088579473,-2.5344154357910105,-3.003715707142958,-0.07228558732039692,-0.07228558732039692,0.07228558732039692,-3.537736511230464,-3.916538530885693,3.674151899991557,1.2202558999997564,0.0789511000039056,0.0822487999976147,5.055607699992834,4.4375,-2834227.1762073995,979.290123114643,ok,,zero_denominator,0.027395332653894638,ok
rico,60,0,43,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,89e6eaa301e5e0b123943db829657b9330a883f25f73675dce4a9316c23e7b9b,19311,6437,6751,attention_lstm,xgboost,left minus right within identical seed and target support,0.38149096065583976,0.37681288252743417,0.02740334765219965,0.02740334765219965,-0.02740334765219965,1.778494262695312,0.8741909743026364,0.013923863131387937,0.013923863131387937,-0.013923863131387937,1.6240615844726562,0.44655560762012847,58.607180300023174,18.429512000002433,0.12035680000553839,0.12227939997683279,77.27932850000798,75.859375,-52762.610611411576,19.220198075923626,ok,19.673076923076923,ok,0.3897176807696163,ok
rico,60,0,43,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,89e6eaa301e5e0b123943db829657b9330a883f25f73675dce4a9316c23e7b9b,19311,6437,6751,attention_lstm,persistence,left minus right within identical seed and target support,-0.045290503730033294,-0.3258447017094832,-0.0508072878092134,-0.0508072878092134,0.03359502295956163,-1.1749961853027298,-2.388393582465681,-0.05021478299511184,-0.05021478299511184,0.05021478299511184,-2.2903038024902296,-3.5707043641691776,61.86717110002064,19.261936800030526,0.18821700001717545,0.19775779999326915,81.51508270006161,79.90625,-2555376.5255779917,14413.907831183808,ok,5115.0,ok,0.013013730451275116,ok
