dataset,horizon,outer_fold,model_seed,source_run,source_hash,protocol_hash,target_units,physical_minutes,actual_exit,point_cells,interval_cells,tuning_fits,final_fits,saved_model_checks,max_absolute_prediction_difference,completed_resume_fits,all_run_files_unchanged,actual_seed_verified,audit,resume
pleia_energy,1,0,45,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,948bd682c0bd56fbbe5133392eb2d6b8646ad82ec0d0b8772fa165f286e449dc,kWh per 10 minutes,10,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h1_f0_s45_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h1_f0_s45_v1\resume_v1.json
pleia_energy,3,0,45,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f0_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c5f9bfd1f2eb6f634a5c112233a2a733c43ca9f400bbe2628bde0b295469af88,kWh per 10 minutes,30,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h3_f0_s45_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h3_f0_s45_v1\resume_v1.json
pleia_energy,6,0,45,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f0_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,dd428e934c524a9daae0ec49ff2886dfff2883e6229feef74a12065f07cc7184,kWh per 10 minutes,60,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h6_f0_s45_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h6_f0_s45_v1\resume_v1.json
pleia_energy,1,1,46,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,42ce421db703589fa05f08743d029d900203f71dcfc809653f70282c90d5db0c,kWh per 10 minutes,10,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h1_f1_s46_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h1_f1_s46_v1\resume_v1.json
pleia_energy,3,1,46,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f1_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,8776270b62861d4d439b536f09407a9ef30671a279401e7b6b22fc5064d2538e,kWh per 10 minutes,30,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h3_f1_s46_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h3_f1_s46_v1\resume_v1.json
pleia_energy,6,1,46,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f1_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,d65ac7c08324f695c221b4ac18143deff39ac0c271dc8aa96bc98db95fd1cd85,kWh per 10 minutes,60,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h6_f1_s46_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h6_f1_s46_v1\resume_v1.json
pleia_energy,1,0,46,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,8ee91528127149f57a3d881cb696c3cb00739a08646ec128bcd6d9d17be0bb65,kWh per 10 minutes,10,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h1_f0_s46_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h1_f0_s46_v1\resume_v1.json
pleia_energy,3,0,46,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f0_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,387f6578fde438aa38920408ef4477b06f8b22821c99d213e7f3a9c1367ff215,kWh per 10 minutes,30,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h3_f0_s46_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h3_f0_s46_v1\resume_v1.json
pleia_energy,6,0,46,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f0_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,90e1e38760c153a78db3e9dce2ebafed538278dbce33865d62c06f92cdaa1447,kWh per 10 minutes,60,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h6_f0_s46_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h6_f0_s46_v1\resume_v1.json
rico,5,1,42,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,cac92156db8910e89e83c530999b6a597b6c85ec98c14f7a800c658b2c089667,degrees C,5,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h5_f1_s42_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h5_f1_s42_v1\resume_v1.json
rico,15,1,42,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,ed3c67ad2e6adbe1a6cbc2af3381b7c8ea11ef24a4e2aef349a4f7112a58705e,degrees C,15,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h15_f1_s42_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h15_f1_s42_v1\resume_v1.json
rico,30,1,42,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,5c3d3d8d79736ad0df2ee5929d1975d8474fd7152d7cdeb6a7495cd5966cef9c,degrees C,30,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h30_f1_s42_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h30_f1_s42_v1\resume_v1.json
rico,60,1,42,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,34d425451e5135d492a17e115b44c401310e46fac877c8dc0518c8fb9c6c1491,degrees C,60,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h60_f1_s42_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h60_f1_s42_v1\resume_v1.json
rico,5,0,42,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,3f801ca1ae6e6bae5d5867d1603ec24dd3199541578c72841a5acb5c0996d654,degrees C,5,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h5_f0_s42_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h5_f0_s42_v1\resume_v1.json
rico,15,0,42,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,35d7e7979e0029b011d3a644df29a6f5dfcb2060f66e6efbcf4e730e5b8e0152,degrees C,15,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h15_f0_s42_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h15_f0_s42_v1\resume_v1.json
rico,30,0,42,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,5ba13322b01145d05b2c5f2b05c5619bcfe383aea85e60905e78991ecdf1b774,degrees C,30,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h30_f0_s42_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h30_f0_s42_v1\resume_v1.json
rico,60,0,42,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,bf2e8cdb70aac376e7897ea8a3d31c01c5e326f268cf59ea5c736aa306992b81,degrees C,60,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h60_f0_s42_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\rico_h60_f0_s42_v1\resume_v1.json
