dataset,horizon,model,mae,rmse,coverage90,coverage95,mpiw90,mpiw95,winkler90,winkler95,model_phase_seconds,process_cpu_seconds,physical_minutes,aggregation
bdg2,1,attention_lstm,18.07697963223449,34.117636182371264,0.9035319355004304,0.9521030644766556,92.29245533203122,134.66540776367194,164.1877704509237,220.45416160839136,842.3918835799942,819.9791666666666,60,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia,6,attention_lstm,2.575992236064391,2.9068584817079124,0.6294875677130648,0.6924867938494668,5.830243225097656,6.695152537027994,18.507807365230864,26.22682780960855,131.01755328000425,123.79557291666667,60,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia,6,persistence,0.539463678880253,0.8022094375567574,0.9081457555263954,0.9523905655933514,2.5333333333333314,3.266666666666666,3.7991723024124364,4.7792671848188135,0.007275366665802116,0.007552083333333333,60,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia,6,xgboost,2.3583927349967078,2.672184546201807,0.5923017395107836,0.6778304902257662,4.506697133382162,5.199625854492187,18.281949901709805,27.029054633486094,4.260359926665895,3.6794270833333336,60,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia_energy,1,attention_lstm,0.14441464147320934,1.9967957013681632,0.7931118435323437,0.8473819030863302,0.5469596147537231,0.7485671917597453,1.6655025081152457,2.6810393933169876,138.40439387334047,134.80520833333333,10,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia_energy,1,persistence,0.17298639633827717,2.7943140127729937,0.8063014697500153,0.8580145030894494,0.703125,0.875,2.3038971057992255,3.7855767154994204,0.00709698000039983,0.007291666666666666,10,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia_energy,1,xgboost,0.1402937989253261,1.9939633653323205,0.8449474892291361,0.908941227557639,0.5632240931193034,0.7949150323867799,1.5531342648087036,2.2841206420940945,4.16681123333401,3.65,10,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia_energy,3,attention_lstm,0.15547574774542822,2.0052280921904706,0.8042080988881327,0.8612643621268337,0.604639180501302,0.8273483514785767,1.7342514898399202,2.740382417574697,92.5604606199995,91.175,30,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia_energy,3,persistence,0.17152330429215001,2.798319523370163,0.8128618013166475,0.8585524830582981,0.703125,0.8854166666666666,2.359040379955917,3.904123010058907,0.0063787199993385,0.010416666666666666,30,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia_energy,3,xgboost,0.1446041184674498,1.9968135845959274,0.8446918076599271,0.8892246824047082,0.6019699951012929,0.7949721624453862,1.6335073297574236,2.536415071035293,3.9772190533350416,3.497916666666667,30,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia_energy,6,attention_lstm,0.16658448558033487,2.0109307756974424,0.8080976494457288,0.8652481099420561,0.6450927535692851,0.9032795369625092,1.8244247922187105,2.8546726035305343,73.63603347333118,72.55624999999999,60,equal mean of three outer-fold seed means; overlapping folds; descriptive only
