dataset,horizon,outer_fold,model_seed,source_run,source_hash,protocol_hash,target_units,physical_minutes,command_seconds,process_cpu_seconds,preparation_seconds,action_peak_rss_MiB,lifetime_peak_rss_MiB,validation_seconds,validation_cpu_seconds,resume_seconds,output_bytes
pleia_energy,3,0,46,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f0_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,387f6578fde438aa38920408ef4477b06f8b22821c99d213e7f3a9c1367ff215,kWh per 10 minutes,30,116.84919480001554,113.6875,3.1279195999959484,609.078125,609.515625,9.324813299987,5.734375,6.839880400017137,15141041
pleia_energy,6,0,46,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f0_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,90e1e38760c153a78db3e9dce2ebafed538278dbce33865d62c06f92cdaa1447,kWh per 10 minutes,60,105.39734199998202,102.421875,3.1102017000084743,612.6796875,615.29296875,9.793690599995898,5.71875,6.722152000002097,15091331
rico,5,1,42,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,cac92156db8910e89e83c530999b6a597b6c85ec98c14f7a800c658b2c089667,degrees C,5,152.84241840001778,149.09375,6.743335900013335,622.6484375,624.8125,18.927209899993613,14.59375,15.607953299971996,11458138
rico,15,1,42,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,ed3c67ad2e6adbe1a6cbc2af3381b7c8ea11ef24a4e2aef349a4f7112a58705e,degrees C,15,129.25843660000828,124.796875,6.701510500017321,636.92578125,637.5078125,18.260257599991746,14.421875,15.767951400019228,10964056
rico,30,1,42,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,5c3d3d8d79736ad0df2ee5929d1975d8474fd7152d7cdeb6a7495cd5966cef9c,degrees C,30,98.80617280001752,95.125,6.580358899984276,617.03125,618.6171875,18.520208799978718,14.265625,15.581583899998805,10217595
rico,60,1,42,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,34d425451e5135d492a17e115b44c401310e46fac877c8dc0518c8fb9c6c1491,degrees C,60,99.32719469998847,95.96875,6.310880400007591,622.03125,622.7890625,17.577164699992863,13.359375,15.428892500000075,8112261
rico,5,0,42,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,3f801ca1ae6e6bae5d5867d1603ec24dd3199541578c72841a5acb5c0996d654,degrees C,5,178.89618379998137,174.265625,7.166592099994887,611.71875,613.75390625,18.872082099987892,15.0,16.330253299995093,13860681
rico,15,0,42,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,35d7e7979e0029b011d3a644df29a6f5dfcb2060f66e6efbcf4e730e5b8e0152,degrees C,15,182.79844069998944,178.671875,6.985366499982774,612.98046875,621.57421875,19.313283800001955,15.109375,15.949047000001883,13254344
rico,30,0,42,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,5ba13322b01145d05b2c5f2b05c5619bcfe383aea85e60905e78991ecdf1b774,degrees C,30,109.52675309998449,105.578125,6.8017866000009235,612.6640625,621.2890625,18.786327400011942,14.65625,15.805088100023568,12331097
rico,60,0,42,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,bf2e8cdb70aac376e7897ea8a3d31c01c5e326f268cf59ea5c736aa306992b81,degrees C,60,96.67499180001323,93.609375,6.505330400017556,618.6953125,624.97265625,18.39600119998795,14.0625,15.212125599995488,10527239
rico,5,1,43,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f1_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,9ed966086f249e7122ffba92921ba5ed2f8c993d1d59d1175560a89a297eb56f,degrees C,5,183.39504050000687,179.140625,6.870560499985004,625.50390625,626.0234375,18.705795200017747,14.53125,15.815298600005917,10752657
rico,15,1,43,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f1_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,ab4a46108f81da69a97ddc0ede566e35a48c3739c89bdb9bf52592a9a54d0423,degrees C,15,175.2124399000022,171.09375,6.747692999982974,635.01953125,638.53515625,18.599676100013312,14.421875,15.656041700014612,10940325
rico,30,1,43,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f1_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,021b9b2fbef39475fd1ad6e13630cf2ec310d5c600e8eb82531cfb67c300a2c0,degrees C,30,119.22848890000023,114.859375,6.5488283000013325,616.9375,618.875,17.614488200022606,14.375,15.781403800006956,10209666
rico,60,1,43,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f1_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,f608eea4dc5e72256c54e013a2db0fb9d5405cda0c6ccd1dcc8d38b362e790ff,degrees C,60,77.55621039998368,74.75,6.238960799993947,629.296875,631.140625,18.027814000000944,13.828125,15.328360699990299,8116147
rico,5,0,43,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f0_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,ec20d7056803562a22b537d1a31f678fe8d0eff62f13d3c26848638427c5eb00,degrees C,5,184.0176894000033,179.875,7.186726800020551,619.9296875,625.51953125,19.375773500010837,15.171875,16.23118569998769,13863048
