dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,n_fit,n_calibration,n_test,mae,rmse,selected_candidate,final_epochs,estimator_class,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_rows_per_second,model_phase_seconds,process_cpu_seconds,cpu_measurement_status,coverage90,mpiw90,winkler90,rank90,q90,coverage_deviation90,coverage95,mpiw95,winkler95,rank95,q95,coverage_deviation95,baseline_rss_MiB,peak_rss_MiB,incremental_peak_rss_MiB,artifact_serialization_seconds,launch_available_ram_MiB
pleia,3,0,42,degrees C,30,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,xgboost,29715,9906,9907,0.5612760152419208,0.7298684172914721,0,,xgboost.sklearn.XGBRegressor,4.189542000000074,1.2421013999992283,0.10141920000023674,0.10132490000250982,97774.58452714588,5.634387500002049,,not recorded per model in original temperature pilot; wall phases retained,0.765721207227213,1.5938430786132753,3.4326886047012195,8917,0.7969215393066378,-0.13427879277278698,0.8802866659937418,2.0759643554687486,4.1207628417426605,9412,1.0379821777343743,-0.06971333400625812,660.36328125,670.03125,9.66796875,,3775.98046875
pleia,3,0,42,degrees C,30,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,attention_lstm,29715,9906,9907,0.6531397834824808,0.8792127260205383,0,14.0,src.attention_lstm.AttentionLSTM,241.38085390000003,68.47716389999994,0.5106491000000233,0.5225679000000127,18958.301878090406,310.8912348,,not recorded per model in original temperature pilot; wall phases retained,0.8210356313717574,2.101978302001953,4.057245998242025,8917,1.0509891510009766,-0.07896436862824263,0.8970424952054104,2.6310157775878906,5.088480114130626,9412,1.3155078887939453,-0.052957504794589605,403.1015625,518.4609375,115.359375,,3854.04296875
pleia,6,0,42,degrees C,60,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,persistence,29710,9904,9907,0.5481174926819421,0.8776005350395164,0,,src.pilot_forecasters.Persistence,0.0,0.00041840000005777256,0.005260300000031748,0.004077300000062678,2429794.226534154,0.009756000000152198,,not recorded per model in original temperature pilot; wall phases retained,0.8939133945694964,2.3999999999999986,4.21992530533966,8915,1.1999999999999993,-0.0060866054305036554,0.9402442717270617,3.1999999999999957,5.547431109316643,9410,1.5999999999999979,-0.009755728272938247,486.00390625,486.01953125,0.015625,,3486.6015625
pleia,6,0,42,degrees C,60,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,xgboost,29710,9904,9907,0.758970369165909,0.9858096215899382,0,,xgboost.sklearn.XGBRegressor,4.982808100000057,1.3295131999999512,0.10940660000005664,0.10729560000004312,92333.70240714455,6.529023500000108,,not recorded per model in original temperature pilot; wall phases retained,0.7753103865953366,2.269615936279294,4.437111560624776,8915,1.134807968139647,-0.12468961340466345,0.8819016856767942,2.7935714721679688,5.371068596178097,9410,1.3967857360839844,-0.06809831432320579,486.078125,598.5859375,112.5078125,,3469.37109375
pleia,6,0,42,degrees C,60,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,attention_lstm,29710,9904,9907,1.246394193931727,1.5676521183221808,1,11.0,src.attention_lstm.AttentionLSTM,164.95222739999997,51.45261340000002,0.388137699999902,0.4450994000000037,22257.949572612135,217.2380778999999,,not recorded per model in original temperature pilot; wall phases retained,0.7191884526092662,3.29086532592774,7.819547741644378,8915,1.64543266296387,-0.1808115473907338,0.8073079640658121,3.9118721008300814,10.048865994197067,9410,1.9559360504150405,-0.1426920359341879,592.46484375,639.61328125,47.1484375,,3326.75390625
pleia_energy,1,0,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,False,persistence,29719,9907,9909,0.14425096503178927,3.4973458927613192,0,,src.pilot_forecasters.Persistence,0.0,0.0006204000019351952,0.0052474000040092506,0.004110900001251139,2410421.0749432556,0.009978700007195584,0.015625,measured,0.9570087798970632,1.015625,2.194871770612574,8918,0.5078125,0.05700877989706321,0.9754768392370572,1.234375,3.452844320819455,9413,0.6171875,0.025476839237057236,367.62109375,367.71875,0.09765625,0.0006888999996590428,3879.484375
pleia_energy,1,0,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,False,xgboost,29719,9907,9909,0.10136274642733323,2.474090309353983,0,,xgboost.sklearn.XGBRegressor,4.558729800002766,1.1863407000055304,0.09049660000164295,0.09121669999876758,108631.4238525827,5.926783800008707,5.78125,measured,0.9597335755373902,0.7051993012428284,1.3825880121524283,8918,0.3525996506214142,0.05973357553739023,0.9789080633767282,0.9261906147003174,2.149957266467672,9413,0.4630953073501587,0.028908063376728244,368.3203125,482.890625,114.5703125,0.005070299994258676,3883.21875
pleia_energy,1,0,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,False,attention_lstm,29719,9907,9909,0.10133807272401704,2.475524998093707,0,12.0,src.attention_lstm.AttentionLSTM,356.4512029000034,63.156503000005614,0.40559380000195233,0.5865965000048163,16892.3612737523,420.5998962000158,394.53125,measured,0.9616510243213241,0.7234830856323242,1.383633936681015,8918,0.3617415428161621,0.06165102432132408,0.9819356140882026,0.9758375883102417,2.1609889997316176,9413,0.48791879415512085,0.03193561408820267,473.7734375,594.0234375,120.25,0.008894300000974908,3872.9296875
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,False,persistence,14858,4953,9907,0.12760863530836783,0.24188010063684087,0,,src.pilot_forecasters.Persistence,0.0,0.00038930000300752,0.0039366999990306795,0.0035684000031324103,2776314.312101627,0.00789440000517061,0.015625,measured,0.5603108912889876,0.078125,2.097025777228223,4459,0.0390625,-0.33968910871101243,0.6428787725850409,0.125,3.783587362470977,4707,0.0625,-0.30712122741495906,369.71875,369.8125,0.09375,0.0008994999952847138,4570.7734375
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,False,xgboost,14858,4953,9907,0.12377272844555232,0.21441656372173365,0,,xgboost.sklearn.XGBRegressor,2.9368235000001732,0.6655583000028855,0.04806010000174865,0.09245499999815365,107154.83208261148,3.742896900002961,3.5,measured,0.6688200262440699,0.2122400999069214,1.5212555512646029,4459,0.1061200499534607,-0.23117997375593013,0.802866659937418,0.4104323983192444,2.0013129589078003,4707,0.2052161991596222,-0.14713334006258194,366.66796875,476.80859375,110.140625,0.005516999997780658,4573.0
