dataset,horizon,outer_fold,model,mae,rmse,coverage90,coverage95,mpiw90,mpiw95,winkler90,winkler95,model_phase_seconds,process_cpu_seconds,aggregation
bdg2,1,0,attention_lstm,17.190969208073795,31.883536529071527,0.893725672456864,0.9451286818102597,84.05259680664061,122.64692890625,157.02575797390486,208.92356985138858,910.6784564799979,895.925,mean across five training seeds within one outer fold; descriptive only
pleia,3,1,persistence,0.36611486827495704,0.5387600956812745,0.9154133441001312,0.9623498536388413,1.7999999999999976,2.3999999999999986,2.549571010396689,3.154214191985464,0.0060035200032871215,0.003125,mean across five training seeds within one outer fold; descriptive only
pleia,3,1,xgboost,1.5553239438607664,1.8952943086246337,0.8067830826688202,0.8727970122135863,5.028221435546876,5.7196488952636715,7.762544637602849,8.99724970942226,3.617411240004003,3.346875,mean across five training seeds within one outer fold; descriptive only
pleia,3,2,attention_lstm,3.665755944706855,4.004091463148645,0.2095286161300091,0.27570404764308065,4.510728912353516,5.342988433837891,36.61147491974127,56.940998148057005,174.3069341799972,170.3375,mean across five training seeds within one outer fold; descriptive only
pleia,3,2,persistence,0.3915918037751086,0.5655364111359953,0.9363076612496215,0.9600282628444534,2.0,2.4000000000000057,2.665186231957202,3.270091854244474,0.008757440008048433,0.00625,mean across five training seeds within one outer fold; descriptive only
pleia,3,2,xgboost,3.3693465479262317,3.757459233407377,0.2308872514383769,0.30511759362067226,3.9184939575195314,4.665673217773437,35.734380684950125,57.35231146383777,3.8018763000000035,3.75,mean across five training seeds within one outer fold; descriptive only
pleia,6,0,attention_lstm,1.145331909624036,1.4625235435092034,0.7592005652568891,0.8370848894720904,3.2852970886230466,3.9234545898437503,7.074373459689395,8.956414974571123,157.56024034000117,140.43359375,mean across five training seeds within one outer fold; descriptive only
pleia,6,0,persistence,0.5481174926819421,0.8776005350395163,0.8939133945694964,0.9402442717270617,2.3999999999999986,3.1999999999999957,4.21992530533966,5.547431109316643,0.007356959997696322,0.00390625,mean across five training seeds within one outer fold; descriptive only
pleia,6,0,xgboost,0.7649112105049495,0.9886297135682991,0.7758150802462904,0.8772786918340568,2.236712951660155,2.769053802490234,4.5140985272531635,5.509476605591792,5.143770659997403,4.08203125,mean across five training seeds within one outer fold; descriptive only
pleia,6,1,attention_lstm,1.9017329346670373,2.269706518380153,0.9252044009286363,0.9685474916725548,7.726141662597655,8.769854125976561,8.495792268764797,9.312689491950431,133.65014178000857,131.446875,mean across five training seeds within one outer fold; descriptive only
pleia,6,1,persistence,0.5223276471181992,0.7472522932077557,0.9111739174321187,0.9638639345917028,2.5999999999999943,3.3999999999999995,3.509256081558494,4.2761481780559185,0.006202179985120892,0.003125,mean across five training seeds within one outer fold; descriptive only
pleia,6,1,xgboost,1.798025480936331,2.117752497225192,0.7674775411325325,0.8494599777934793,5.366533966064455,6.036420593261719,8.395389819242908,9.52992254575831,3.902629600005457,3.303125,mean across five training seeds within one outer fold; descriptive only
pleia,6,2,attention_lstm,4.680911863902099,4.988345383234381,0.20405773695366913,0.2718280004037549,6.479290924072265,7.392148895263672,39.953256367238396,60.41137896230409,101.84227772000304,99.50625,mean across five training seeds within one outer fold; descriptive only
pleia,6,2,persistence,0.5479458968406178,0.7817754844230004,0.9193499545775714,0.9530634904612899,2.6000000000000014,3.2000000000000037,3.6683355203391548,4.51422226708388,0.00826696001458913,0.015625,mean across five training seeds within one outer fold; descriptive only
pleia,6,2,xgboost,4.512241513548843,4.91017142781193,0.2336125971535278,0.30675280104976277,5.916844482421877,6.79340316772461,41.936361358633334,66.04776474910818,3.734679519994825,3.653125,mean across five training seeds within one outer fold; descriptive only
pleia_energy,1,0,attention_lstm,0.10458080783803667,2.475557571940905,0.9614491876072258,0.9812291855888585,0.7281833529472351,0.9675413250923157,1.3876889034974875,2.1565842474742443,225.15068732000654,218.171875,mean across five training seeds within one outer fold; descriptive only
pleia_energy,1,0,persistence,0.14425096503178927,3.4973458927613192,0.9570087798970632,0.9754768392370572,1.015625,1.234375,2.194871770612574,3.4528443208194544,0.006896460001007654,0.0125,mean across five training seeds within one outer fold; descriptive only
pleia_energy,1,0,xgboost,0.10017488239834363,2.474535105721478,0.9578363104248663,0.9788878797053183,0.7014741897583008,0.9255716443061829,1.3814033556837453,2.149886073754814,4.667750419996446,4.115625,mean across five training seeds within one outer fold; descriptive only
pleia_energy,1,1,attention_lstm,0.19926401275106959,3.288933512243781,0.8930655092358938,0.9560916523670132,0.7780590891838074,1.107468593120575,1.8667295812236873,2.814022505745415,90.68554272001202,89.46875,mean across five training seeds within one outer fold; descriptive only
pleia_energy,1,1,persistence,0.24709958867467446,4.643716044920821,0.9015847380639952,0.9556878974462502,1.015625,1.265625,2.619793769556879,4.12029846320783,0.005375739998999052,0.0,mean across five training seeds within one outer fold; descriptive only
pleia_energy,1,1,xgboost,0.19120560645165194,3.287758688410493,0.9031997577470475,0.9564348440496617,0.7483251810073852,1.0386565685272218,1.7516373813738912,2.6492004795086244,3.944635480007855,3.1,mean across five training seeds within one outer fold; descriptive only
pleia_energy,1,2,attention_lstm,0.12939910383052178,0.22589601991980385,0.5248208337539113,0.604824871303119,0.13463640213012695,0.1706916570663452,1.7420890396245619,3.0725114267313023,99.37695158000278,96.775,mean across five training seeds within one outer fold; descriptive only
pleia_energy,1,2,persistence,0.12760863530836783,0.24188010063684087,0.5603108912889876,0.6428787725850409,0.078125,0.125,2.097025777228223,3.783587362470977,0.009018740001192783,0.009375,mean across five training seeds within one outer fold; descriptive only
pleia_energy,1,2,xgboost,0.1295009079259827,0.21959630186499018,0.6738063995154941,0.7915009589179368,0.23987290859222413,0.4205168843269348,1.526362057368474,2.0532753730188444,3.88804779999773,3.734375,mean across five training seeds within one outer fold; descriptive only
pleia_energy,3,0,attention_lstm,0.10873745091809117,2.4761201576729697,0.9655464729034211,0.980946614189121,0.799804949760437,1.0469590187072755,1.463569817386394,2.2474220902133695,130.5468215800036,128.859375,mean across five training seeds within one outer fold; descriptive only
pleia_energy,3,0,persistence,0.13262406650519729,3.4916961754519336,0.9672015339590272,0.980825512160662,1.015625,1.25,2.1913711651024324,3.4831340195781593,0.005996700006653555,0.00625,mean across five training seeds within one outer fold; descriptive only
pleia_energy,3,0,xgboost,0.10870303281222263,2.4754824995127733,0.9573922696538502,0.9766071248360078,0.8006748199462891,1.0237831473350525,1.48516671609982,2.2482767665178067,4.433409900008701,3.7625,mean across five training seeds within one outer fold; descriptive only
pleia_energy,3,1,attention_lstm,0.21097213072668258,3.2908410389668226,0.8870697486625618,0.9530231149692137,0.8233102560043335,1.199985933303833,2.003370273254035,2.9958616091454906,74.7932136999967,73.903125,mean across five training seeds within one outer fold; descriptive only
pleia_energy,3,1,persistence,0.2506844907641062,4.645720891735507,0.900272534571515,0.9555869587160594,1.015625,1.28125,2.6996930831735138,4.265787448268899,0.005675279986462556,0.009375,mean across five training seeds within one outer fold; descriptive only
pleia_energy,3,1,xgboost,0.20524708791759547,3.289269607168697,0.8950237206015949,0.9517109114767337,0.8003685235977173,1.0882274508476257,1.8702475687239044,2.7945964176839864,3.7912519600009547,3.10625,mean across five training seeds within one outer fold; descriptive only
pleia_energy,3,2,attention_lstm,0.1467176615915109,0.24872307993162007,0.5600080750984152,0.6498233572221661,0.19080233573913574,0.2351001024246216,1.735814378879332,2.97786355336523,72.3413465799982,70.7625,mean across five training seeds within one outer fold; descriptive only
pleia_energy,3,2,persistence,0.13126135560714647,0.257541502923049,0.5711113354194004,0.6392449782981731,0.078125,0.125,2.1860568915918046,3.963447562329663,0.00746418000489939,0.015625,mean across five training seeds within one outer fold; descriptive only
pleia_energy,3,2,xgboost,0.11986223467253129,0.22568864710631154,0.6816594327243364,0.7393560109013829,0.20486664175987243,0.2729058891534805,1.545107704448546,2.5663720289040857,3.7069952999954694,3.625,mean across five training seeds within one outer fold; descriptive only
pleia_energy,6,0,attention_lstm,0.11898340167738448,2.4767901235615377,0.9648804117468968,0.9804622060752852,0.855859375,1.1231026351451874,1.5199533128379898,2.3101562451270836,93.14390640000347,91.8375,mean across five training seeds within one outer fold; descriptive only
pleia_energy,6,0,persistence,0.14409564537289332,3.4910117759006383,0.9617519426783732,0.9772933696639419,1.0625,1.328125,2.2682536078312645,3.58008660056514,0.006310100000700913,0.009375,mean across five training seeds within one outer fold; descriptive only
