dataset,horizon,outer_fold,model_seed,model,role,candidate_id,phase,source_run,source_hash,protocol_hash,physical_minutes,target_units,original_runs,n,sample_weighted_bias,sample_weighted_mae,sample_weighted_rmse,equal_run_bias,equal_run_mae,equal_run_root_mean_mse
rico,15,2,42,attention_lstm,calibration,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,21,4242,0.1280777582746809,0.3372667612977773,0.41660074144482007,0.1280777582746809,0.3372667612977772,0.41660074144482
rico,15,2,42,attention_lstm,fit,1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,61,12322,0.01364573593399703,0.10820695858190561,0.1458125774032247,0.013645735933997025,0.10820695858190563,0.1458125774032247
rico,15,2,42,attention_lstm,inner0_validation,0,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,20,4040,1.6158413826593077,2.0198828474365835,2.9522585768709058,1.6158413826593079,2.0198828474365835,2.9522585768709058
rico,15,2,42,attention_lstm,inner0_validation,1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,20,4040,1.5565467816532248,1.9885598313926471,2.862194316383045,1.5565467816532252,1.988559831392647,2.8621943163830443
rico,15,2,42,attention_lstm,inner1_validation,0,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,21,4242,0.9871616561364476,1.1630511644031571,1.7087031703962319,0.9871616561364478,1.1630511644031576,1.7087031703962317
rico,15,2,42,attention_lstm,inner1_validation,1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,21,4242,0.879794677885452,1.1082710361435746,1.641529766167347,0.8797946778854521,1.108271036143575,1.641529766167347
rico,15,2,42,attention_lstm,test,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,1,202,-0.09641926453845331,0.09732638066357886,0.12342795355843159,-0.09641926453845331,0.09732638066357886,0.12342795355843159
rico,15,2,42,attention_lstm,test,-1,3.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,6,1212,2.017462685399323,2.191520117769147,2.4587202225597826,2.017462685399323,2.1915201177691466,2.4587202225597826
rico,15,2,42,attention_lstm,test,-1,4.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,34,6868,2.1602185034376973,2.48354983765786,2.973017977158286,2.160218503437698,2.4835498376578595,2.9730179771582854
rico,15,2,42,persistence,calibration,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,21,4242,0.025553983969825576,0.25077793493635075,0.4078438839352214,0.025553983969825576,0.2507779349363508,0.40784388393522136
rico,15,2,42,persistence,fit,0,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,61,12322,0.01279013147216361,0.32048368771303354,0.5467244688715213,0.012790131472163613,0.3204836877130336,0.5467244688715212
rico,15,2,42,persistence,inner0_validation,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,20,4040,-0.019579207920792076,0.2869554455445545,0.5096324631778794,-0.019579207920792076,0.2869554455445545,0.5096324631778794
rico,15,2,42,persistence,inner1_validation,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,21,4242,0.011692597831211704,0.38774163130598766,0.6607683439281702,0.011692597831211696,0.38774163130598766,0.6607683439281702
rico,15,2,42,persistence,test,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,1,202,-0.1485148514851485,0.1485148514851485,0.1682760579618156,-0.1485148514851485,0.1485148514851485,0.1682760579618156
rico,15,2,42,persistence,test,-1,3.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,6,1212,-0.18358085808580854,0.22004950495049505,0.35258358089700065,-0.1835808580858085,0.22004950495049502,0.3525835808970007
rico,15,2,42,persistence,test,-1,4.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,34,6868,-0.010279557367501448,0.2092894583576005,0.33038690014235234,-0.010279557367501446,0.2092894583576005,0.33038690014235234
rico,15,2,42,xgboost,calibration,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,21,4242,0.0648009188272997,0.17690000205824594,0.2816317952651039,0.0648009188272997,0.1769000020582459,0.28163179526510385
rico,15,2,42,xgboost,fit,1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,61,12322,6.72615768267041e-05,0.031224475149171104,0.04116059800763252,6.726157682670412e-05,0.031224475149171104,0.04116059800763252
rico,15,2,42,xgboost,inner0_validation,0,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,20,4040,0.2715446222890723,0.36243344221964924,0.5357248525820799,0.2715446222890722,0.36243344221964924,0.5357248525820799
rico,15,2,42,xgboost,inner0_validation,1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,20,4040,0.21872073315157758,0.37743279806458135,0.5559427614167124,0.21872073315157756,0.37743279806458135,0.5559427614167124
rico,15,2,42,xgboost,inner1_validation,0,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,21,4242,0.833261768191786,0.9028391609209879,1.57240059531141,0.833261768191786,0.9028391609209879,1.5724005953114097
rico,15,2,42,xgboost,inner1_validation,1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,21,4242,0.7490845392021241,0.87250182148647,1.5487012224942636,0.749084539202124,0.8725018214864699,1.5487012224942636
rico,15,2,42,xgboost,test,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,1,202,-0.1733851253396213,0.1749206694045869,0.18793376788608934,-0.1733851253396213,0.1749206694045869,0.18793376788608934
rico,15,2,42,xgboost,test,-1,3.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,6,1212,0.06126762364957197,0.37078254813014866,0.5044257349301642,0.06126762364957198,0.3707825481301487,0.5044257349301643
rico,15,2,42,xgboost,test,-1,4.0,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,15,degrees C,34,6868,0.2319961124058026,0.441272418944726,0.642357071521468,0.23199611240580256,0.441272418944726,0.642357071521468
rico,30,2,42,attention_lstm,calibration,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,30,degrees C,21,3927,0.08457049201516549,0.36453455610981966,0.4648255630506005,0.08457049201516546,0.36453455610981966,0.4648255630506005
rico,30,2,42,attention_lstm,fit,0,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,30,degrees C,61,11407,-0.030191520763820878,0.10270654623667516,0.13980965979776344,-0.030191520763820884,0.10270654623667513,0.13980965979776344
