dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,model,role,candidate_id,selected_candidate,prediction_source,group_id,aggregation,n,bias,mae,rmse,truth_mean,truth_min,truth_max,prediction_min,prediction_max,phase
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P1S101,within original group,212,-0.0509433962264151,0.0509433962264151,0.0733304745011652,24.141037735849054,23.2,25.4,23.2,25.3,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P3S0,within original group,212,-0.19528301886792457,0.19528301886792457,0.2514111118662247,28.18820754716981,22.6,30.6,22.0,30.5,3.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P3S1,within original group,212,0.03396226415094342,0.03396226415094342,0.058277151741435905,21.01556603773585,20.4,21.8,20.4,21.9,3.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P3S2,within original group,212,-0.06933962264150943,0.0816037735849057,0.11594566066229087,21.74764150943396,19.8,22.5,19.4,22.5,3.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P3S3,within original group,212,-0.04764150943396224,0.04764150943396224,0.09033480701529481,17.913207547169808,16.3,18.2,16.1,18.2,3.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P3S4,within original group,212,-0.06933962264150942,0.06933962264150942,0.10023557158674135,17.578773584905665,15.5,18.4,15.3,18.3,3.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P3S5,within original group,212,-0.03867924528301886,0.03867924528301886,0.06799001036500849,16.36462264150943,15.2,16.7,15.0,16.7,3.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S0,within original group,212,-0.0900943396226415,0.0900943396226415,0.12570555593311228,23.95707547169811,21.3,25.0,21.1,25.0,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S1,within original group,212,0.10047169811320755,0.10047169811320755,0.11994495592908518,21.672641509433966,20.2,24.3,20.2,24.5,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S2,within original group,212,0.06037735849056601,0.06037735849056601,0.08467473838610137,17.62877358490566,16.8,19.3,16.9,19.4,4.0
