dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,model,role,nominal_level,block_kind,block,n,original_groups,frozen_radius,coverage,absolute_error_exceedance,bias,mae,rmse
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,0.9,original group,P3S0,212,1,0.1999999999999993,0.6509433962264151,0.3490566037735849,-0.19528301886792457,0.19528301886792457,0.2514111118662247
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,0.9,original group,P3S1,212,1,0.1999999999999993,1.0,0.0,0.03396226415094342,0.03396226415094342,0.058277151741435905
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,0.9,original group,P3S2,212,1,0.1999999999999993,0.9339622641509434,0.0660377358490566,-0.06933962264150943,0.0816037735849057,0.11594566066229087
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,0.9,original group,P3S3,212,1,0.1999999999999993,0.9622641509433962,0.03773584905660377,-0.04764150943396224,0.04764150943396224,0.09033480701529481
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,0.9,original group,P3S4,212,1,0.1999999999999993,0.9622641509433962,0.04716981132075472,-0.06933962264150942,0.06933962264150942,0.10023557158674135
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,0.9,original group,P3S5,212,1,0.1999999999999993,0.9811320754716981,0.018867924528301886,-0.03867924528301886,0.03867924528301886,0.06799001036500849
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,0.9,original group,P4S0,212,1,0.1999999999999993,0.9056603773584906,0.09433962264150944,-0.0900943396226415,0.0900943396226415,0.12570555593311228
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,0.9,original group,P4S1,212,1,0.1999999999999993,0.9622641509433962,0.03773584905660377,0.10047169811320755,0.10047169811320755,0.11994495592908518
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,0.9,original group,P4S2,212,1,0.1999999999999993,0.9905660377358491,0.009433962264150943,0.06037735849056601,0.06037735849056601,0.08467473838610137
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,0.9,original group,P4S3,212,1,0.1999999999999993,1.0,0.0,-0.01320754716981134,0.01320754716981134,0.036342189215581605
