dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,phase,nominal_level,original_runs,aggregation,n,mae,rmse,coverage,mpiw,winkler,negative_points,negative_lower_bounds
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,persistence,3.0,0.95,6,"within phase, sample weighted",1212,0.22004950495049508,0.35258358089700065,0.9612211221122112,1.6000000000000014,2.2798679867986795,0,0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,persistence,4.0,0.95,34,"within phase, sample weighted",6868,0.2092894583576005,0.33038690014235234,0.9621432731508445,1.6000000000000014,2.1387303436225973,0,0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,xgboost,1.0,0.9,1,"within phase, sample weighted",202,0.1749206694045869,0.18793376788608934,1.0,0.7542602539062528,0.7542602539062528,0,0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,xgboost,3.0,0.9,6,"within phase, sample weighted",1212,0.37078254813014866,0.5044257349301642,0.6113861386138614,0.7542602539062528,3.3961282031370774,0,0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,xgboost,4.0,0.9,34,"within phase, sample weighted",6868,0.441272418944726,0.642357071521468,0.5882352941176471,0.7542602539062528,4.75758744085952,0,0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,xgboost,1.0,0.95,1,"within phase, sample weighted",202,0.1749206694045869,0.18793376788608934,1.0,1.5278099060058568,1.5278099060058568,0,0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,xgboost,3.0,0.95,6,"within phase, sample weighted",1212,0.37078254813014866,0.5044257349301642,0.8663366336633663,1.5278099060058568,3.151010451615844,0,0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,xgboost,4.0,0.95,34,"within phase, sample weighted",6868,0.441272418944726,0.642357071521468,0.796592894583576,1.5278099060058563,4.9945390651305255,0,0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,attention_lstm,1.0,0.9,1,"within phase, sample weighted",202,0.09732638066357886,0.12342795355843159,1.0,1.386624908447267,1.386624908447267,0,0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,attention_lstm,3.0,0.9,6,"within phase, sample weighted",1212,2.191520117769147,2.4587202225597826,0.08085808580858085,1.386624908447267,31.926024323013355,0,0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,attention_lstm,4.0,0.9,34,"within phase, sample weighted",6868,2.48354983765786,2.973017977158286,0.13992428654630168,1.386624908447267,38.01347999994881,0,0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,attention_lstm,1.0,0.95,1,"within phase, sample weighted",202,0.09732638066357886,0.12342795355843159,1.0,1.5523620605468764,1.5523620605468764,0,0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,attention_lstm,3.0,0.95,6,"within phase, sample weighted",1212,2.191520117769147,2.4587202225597826,0.09818481848184818,1.5523620605468764,59.603208966144955,0,0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,attention_lstm,4.0,0.95,34,"within phase, sample weighted",6868,2.48354983765786,2.973017977158286,0.1678800232964473,1.5523620605468764,71.99871129617478,0,0
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,1.0,0.9,1,"within phase, sample weighted",187,0.279144385026738,0.30257363093805356,1.0,2.0,2.0,0,0
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,3.0,0.9,6,"within phase, sample weighted",1122,0.41524064171123,0.6483146943876884,0.9090909090909091,2.0,3.249554367201426,0,0
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,4.0,0.9,34,"within phase, sample weighted",6358,0.3884397609311104,0.5970133804259963,0.9215162000629129,2.0,2.9871028625353886,0,0
