dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,n_fit,n_calibration,n_test,mae,rmse,selected_candidate,final_epochs,estimator_class,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_rows_per_second,model_phase_seconds,process_cpu_seconds,cpu_measurement_status,coverage90,mpiw90,winkler90,rank90,q90,coverage_deviation90,coverage95,mpiw95,winkler95,rank95,q95,coverage_deviation95
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,attention_lstm,11407,3927,7667,2.647748233262293,3.094275563720874,0,18.0,src.attention_lstm.AttentionLSTM,66.42844630000036,30.212644800005364,0.17561690000002272,0.3270182999985991,23445.171111319592,97.14372630000435,94.609375,measured,0.11595148037041868,1.470456695556642,40.72088509894605,3536,0.735228347778321,-0.7840485196295813,0.1357767053606365,1.8360275268554744,73.92563312073257,3732,0.9180137634277372,-0.8142232946393635
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,True,persistence,9577,3297,6437,0.7156750038837967,1.041377894828978,0,,src.pilot_forecasters.Persistence,0.0,0.0003800000049523078,0.0034566000031190924,0.003409799996006768,1887794.0077243238,0.007246400004078168,0.015625,measured,0.924188286468852,3.6000000000000014,5.100388379679974,2969,1.8000000000000007,0.02418828646885196,0.9608513282585055,5.0,6.397545440422556,3134,2.5,0.010851328258505544
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,True,xgboost,9577,3297,6437,1.1955028583123037,1.788193478359507,0,,xgboost.sklearn.XGBRegressor,2.9986902000018745,0.6641412000026321,0.05156880000140518,0.10922060000302736,58935.76852554903,3.823620800008939,3.75,measured,0.6420692869349076,2.535365295410159,10.74535506863169,2969,1.2676826477050795,-0.2579307130650924,0.8155973279478018,3.875130462646482,13.210315206781646,3134,1.9375652313232408,-0.13440267205219814
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,True,attention_lstm,9577,3297,6437,2.636271101528024,3.1143982277118103,0,6.0,src.attention_lstm.AttentionLSTM,40.84425190000184,8.297801699998672,0.1417241000017384,0.2677724000022863,24039.0719877965,49.55155010000453,48.765625,measured,0.1753922634767749,1.9796203613281305,36.84274492843077,2969,0.9898101806640653,-0.7246077365232251,0.20335560043498524,2.2582244873046875,67.46031344231373,3134,1.1291122436523438,-0.7466443995650147
bdg2,3,2,42,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,True,persistence,51634,17360,34640,42.80348447459585,78.69880137930757,0,,src.pilot_forecasters.Persistence,0.0,0.0005478000020957552,0.009477799998421688,0.019390800000110175,1786414.1757845567,0.02941640000062762,0.03125,measured,0.8978348729792148,250.0,402.0599384526559,15625,125.0,-0.002165127020785196,0.9459872979214781,344.19999999999993,504.7519927251731,16493,172.1,-0.00401270207852189
bdg2,3,2,42,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,True,xgboost,51634,17360,34640,26.969410939511018,52.10842213185799,1,,xgboost.sklearn.XGBRegressor,6.705195300004561,2.632350800005952,0.19403389999934006,0.380966199998511,90926.70163425362,9.912546200008364,9.625,measured,0.9060334872979214,139.05042675781255,256.0602868949838,15625,69.52521337890624,0.006033487297921414,0.9501154734411086,201.50898242187492,349.48453975487536,16493,100.75449121093749,0.00011547344110862667
bdg2,3,2,42,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,True,attention_lstm,51634,17360,34640,32.89965335330461,65.89405515011768,0,20.0,src.attention_lstm.AttentionLSTM,379.97902780000004,147.19403139999486,0.8058994000020903,1.5626174999997602,22167.93297144395,529.5415760999967,518.9375,measured,0.9043879907621247,163.77541503906247,316.76356132562995,15625,81.88770751953126,0.004387990762124705,0.9497690531177829,236.0532165527343,441.1072609826629,16493,118.0266082763672,-0.0002309468822170313
bdg2,6,2,42,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,True,persistence,51584,17350,34640,73.28396772228638,119.92957137497905,0,,src.pilot_forecasters.Persistence,0.0,0.000374399998690933,0.007192099998064805,0.012553699998534285,2759345.850549592,0.020120199995290022,0.03125,measured,0.8975461893764434,406.3119999999999,580.2719217667436,15616,203.15599999999995,-0.0024538106235566515,0.9442263279445727,498.0,703.0353413394918,16484,249.0,-0.005773672055427226
bdg2,6,2,42,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,True,xgboost,51584,17350,34640,34.160346078852164,66.77849584385011,0,,xgboost.sklearn.XGBRegressor,6.633458999996947,2.1575358000045526,0.15511800000240328,0.31819980000000214,108862.41914671149,9.264312600003905,9.0,measured,0.9086605080831409,177.1885986328125,322.91227723374925,15616,88.59429931640625,0.008660508083140894,0.9498267898383372,248.75102539062496,442.884291132395,16484,124.37551269531252,-0.00017321016166271797
bdg2,6,2,42,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,True,attention_lstm,51584,17350,34640,39.96476742178126,77.69875929362189,0,13.0,src.attention_lstm.AttentionLSTM,299.6534281999993,96.53754679999838,0.6994163999988814,1.3371962000019266,25904.949475589365,398.2275875999985,387.890625,measured,0.9052540415704388,197.42545068359368,372.3769810695304,15616,98.71272534179687,0.005254041570438739,0.9491628175519631,276.34259033203125,516.1837195494899,16484,138.17129516601562,-0.0008371824480368772
