run_id,file,phase,step,n_samples,start,end,duration_min,accepted,reason_excluded,target_missing_fraction,target_std
P1S27,RICO_Acquisition_1_07-2023.hdf,1,27,240,2023-07-30 23:01:00,2023-07-31 03:00:00,240.0,True,,0.0,0.6217230690721208
P1S28,RICO_Acquisition_1_07-2023.hdf,1,28,240,2023-07-31 03:01:00,2023-07-31 07:00:00,240.0,True,,0.0,1.1913141601495982
P1S29,RICO_Acquisition_1_07-2023.hdf,1,29,240,2023-07-31 07:01:00,2023-07-31 11:00:00,240.0,True,,0.0,0.5060608945668129
P1S30,RICO_Acquisition_1_07-2023.hdf,1,30,0,2023-07-31 11:01:00,2023-07-31 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S31,RICO_Acquisition_1_07-2023.hdf,1,31,240,2023-07-31 15:01:00,2023-07-31 19:00:00,240.0,True,,0.0,3.4305851904527858
P1S32,RICO_Acquisition_1_07-2023.hdf,1,32,240,2023-07-31 19:01:00,2023-07-31 23:00:00,240.0,True,,0.0,3.340051084677692
P1S33,RICO_Acquisition_1_07-2023.hdf,1,33,240,2023-07-31 23:01:00,2023-08-01 03:00:00,240.0,True,,0.0,0.4655928195753959
P1S34,RICO_Acquisition_1_07-2023.hdf,1,34,240,2023-08-01 03:01:00,2023-08-01 07:00:00,240.0,True,,0.0,0.7227638288550794
P1S35,RICO_Acquisition_1_07-2023.hdf,1,35,0,2023-08-01 07:01:00,2023-08-01 11:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S36,RICO_Acquisition_1_07-2023.hdf,1,36,0,2023-08-01 11:01:00,2023-08-01 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S37,RICO_Acquisition_1_07-2023.hdf,1,37,240,2023-08-01 15:01:00,2023-08-01 19:00:00,240.0,True,,0.0,0.40199099159331403
P1S38,RICO_Acquisition_1_07-2023.hdf,1,38,240,2023-08-01 19:01:00,2023-08-01 23:00:00,240.0,True,,0.0,1.300038621891689
P1S39,RICO_Acquisition_1_07-2023.hdf,1,39,240,2023-08-01 23:01:00,2023-08-02 03:00:00,240.0,True,,0.0,3.9729398492835384
P1S40,RICO_Acquisition_1_07-2023.hdf,1,40,240,2023-08-02 03:01:00,2023-08-02 07:00:00,240.0,True,,0.0,0.08181070609522542
P1S41,RICO_Acquisition_1_07-2023.hdf,1,41,240,2023-08-02 07:01:00,2023-08-02 11:00:00,240.0,True,,0.0,5.142291474710342
P1S42,RICO_Acquisition_1_07-2023.hdf,1,42,240,2023-08-02 11:01:00,2023-08-02 15:00:00,240.0,True,,0.0,0.8062334512805442
P1S43,RICO_Acquisition_1_07-2023.hdf,1,43,240,2023-08-02 15:01:00,2023-08-02 19:00:00,240.0,True,,0.0,1.5390962589395538
P1S44,RICO_Acquisition_1_07-2023.hdf,1,44,240,2023-08-02 19:01:00,2023-08-02 23:00:00,240.0,True,,0.0,0.049331302495046796
P1S45,RICO_Acquisition_1_07-2023.hdf,1,45,240,2023-08-02 23:01:00,2023-08-03 03:00:00,240.0,True,,0.0,1.639195585877023
P1S46,RICO_Acquisition_1_07-2023.hdf,1,46,240,2023-08-03 03:01:00,2023-08-03 07:00:00,240.0,True,,0.0,0.14543195411444254
P1S47,RICO_Acquisition_1_07-2023.hdf,1,47,240,2023-08-03 07:01:00,2023-08-03 11:00:00,240.0,True,,0.0,1.9633113234683732
P1S48,RICO_Acquisition_1_07-2023.hdf,1,48,0,2023-08-03 11:01:00,2023-08-03 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S49,RICO_Acquisition_1_07-2023.hdf,1,49,240,2023-08-03 15:01:00,2023-08-03 19:00:00,240.0,True,,0.0,1.432398336017778
P1S50,RICO_Acquisition_1_07-2023.hdf,1,50,240,2023-08-03 19:01:00,2023-08-03 23:00:00,240.0,True,,0.0,3.0145196922387814
P1S51,RICO_Acquisition_1_07-2023.hdf,1,51,240,2023-08-03 23:01:00,2023-08-04 03:00:00,240.0,True,,0.0,3.186342017624214
P1S52,RICO_Acquisition_1_07-2023.hdf,1,52,240,2023-08-04 03:01:00,2023-08-04 07:00:00,240.0,True,,0.0,0.9489199615588821
P1S53,RICO_Acquisition_1_07-2023.hdf,1,53,240,2023-08-04 07:01:00,2023-08-04 11:00:00,240.0,True,,0.0,1.3508711482355698
P1S54,RICO_Acquisition_1_07-2023.hdf,1,54,0,2023-08-04 11:01:00,2023-08-04 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S55,RICO_Acquisition_1_07-2023.hdf,1,55,240,2023-08-04 15:01:00,2023-08-04 19:00:00,240.0,True,,0.0,3.9507423873794325
P1S56,RICO_Acquisition_1_07-2023.hdf,1,56,240,2023-08-04 19:01:00,2023-08-04 23:00:00,240.0,True,,0.0,4.808102743021171
P1S57,RICO_Acquisition_1_07-2023.hdf,1,57,240,2023-08-04 23:01:00,2023-08-05 03:00:00,240.0,True,,0.0,2.4221674638951005
P1S58,RICO_Acquisition_1_07-2023.hdf,1,58,240,2023-08-05 03:01:00,2023-08-05 07:00:00,240.0,True,,0.0,3.25474332006349
P1S59,RICO_Acquisition_1_07-2023.hdf,1,59,240,2023-08-05 07:01:00,2023-08-05 11:00:00,240.0,True,,0.0,0.7828135609004911
P1S60,RICO_Acquisition_1_07-2023.hdf,1,60,240,2023-08-05 11:01:00,2023-08-05 15:00:00,240.0,True,,0.0,5.8559551993736365
P1S61,RICO_Acquisition_1_07-2023.hdf,1,61,240,2023-08-05 15:01:00,2023-08-05 19:00:00,240.0,True,,0.0,4.226505244641802
P1S62,RICO_Acquisition_1_07-2023.hdf,1,62,240,2023-08-05 19:01:00,2023-08-05 23:00:00,240.0,True,,0.0,2.3635409161854097
P1S63,RICO_Acquisition_1_07-2023.hdf,1,63,240,2023-08-05 23:01:00,2023-08-06 03:00:00,240.0,True,,0.0,1.8564419110324075
P1S64,RICO_Acquisition_1_07-2023.hdf,1,64,240,2023-08-06 03:01:00,2023-08-06 07:00:00,240.0,True,,0.0,1.821474068557326
P1S65,RICO_Acquisition_1_07-2023.hdf,1,65,240,2023-08-06 07:01:00,2023-08-06 11:00:00,240.0,True,,0.0,1.7917165670453647
P1S66,RICO_Acquisition_1_07-2023.hdf,1,66,0,2023-08-06 11:01:00,2023-08-06 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S67,RICO_Acquisition_1_07-2023.hdf,1,67,240,2023-08-06 15:01:00,2023-08-06 19:00:00,240.0,True,,0.0,0.17271672456831372
P1S68,RICO_Acquisition_1_07-2023.hdf,1,68,240,2023-08-06 19:01:00,2023-08-06 23:00:00,240.0,True,,0.0,1.0958631956837104
P1S69,RICO_Acquisition_1_07-2023.hdf,1,69,240,2023-08-06 23:01:00,2023-08-07 03:00:00,240.0,True,,0.0,1.0633352406605752
P1S70,RICO_Acquisition_1_07-2023.hdf,1,70,240,2023-08-07 03:01:00,2023-08-07 07:00:00,240.0,True,,0.0,0.8495358278104653
P1S71,RICO_Acquisition_1_07-2023.hdf,1,71,0,2023-08-07 07:01:00,2023-08-07 11:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S72,RICO_Acquisition_1_07-2023.hdf,1,72,240,2023-08-07 11:01:00,2023-08-07 15:00:00,240.0,True,,0.0,1.7419221816801371
P1S73,RICO_Acquisition_1_07-2023.hdf,1,73,240,2023-08-07 15:01:00,2023-08-07 19:00:00,240.0,True,,0.0,3.459964059075994
P1S74,RICO_Acquisition_1_07-2023.hdf,1,74,240,2023-08-07 19:01:00,2023-08-07 23:00:00,240.0,True,,0.0,1.5893995405754937
P1S75,RICO_Acquisition_1_07-2023.hdf,1,75,240,2023-08-07 23:01:00,2023-08-08 03:00:00,240.0,True,,0.0,1.3457147624059573
P1S76,RICO_Acquisition_1_07-2023.hdf,1,76,240,2023-08-08 03:01:00,2023-08-08 07:00:00,240.0,True,,0.0,0.5951541881486265
P1S77,RICO_Acquisition_1_07-2023.hdf,1,77,240,2023-08-08 07:01:00,2023-08-08 11:00:00,240.0,True,,0.0,2.002980867867498
P1S78,RICO_Acquisition_1_07-2023.hdf,1,78,240,2023-08-08 11:01:00,2023-08-08 15:00:00,240.0,True,,0.0,0.790355039122361
P1S79,RICO_Acquisition_1_07-2023.hdf,1,79,240,2023-08-08 15:01:00,2023-08-08 19:00:00,240.0,True,,0.0,0.5132525430456407
P1S80,RICO_Acquisition_1_07-2023.hdf,1,80,240,2023-08-08 19:01:00,2023-08-08 23:00:00,240.0,True,,0.0,0.9054426319942285
P1S81,RICO_Acquisition_1_07-2023.hdf,1,81,240,2023-08-08 23:01:00,2023-08-09 03:00:00,240.0,True,,0.0,1.1174834124616426
P1S82,RICO_Acquisition_1_07-2023.hdf,1,82,240,2023-08-09 03:01:00,2023-08-09 07:00:00,240.0,True,,0.0,0.11704163690701878
P1S83,RICO_Acquisition_1_07-2023.hdf,1,83,240,2023-08-09 07:01:00,2023-08-09 11:00:00,240.0,True,,0.0,2.019810834936302
P1S84,RICO_Acquisition_1_07-2023.hdf,1,84,0,2023-08-09 11:01:00,2023-08-09 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S85,RICO_Acquisition_1_07-2023.hdf,1,85,240,2023-08-09 15:01:00,2023-08-09 19:00:00,240.0,True,,0.0,0.8259307542879493
P1S86,RICO_Acquisition_1_07-2023.hdf,1,86,240,2023-08-09 19:01:00,2023-08-09 23:00:00,240.0,True,,0.0,0.723496734206349
P1S87,RICO_Acquisition_1_07-2023.hdf,1,87,240,2023-08-09 23:01:00,2023-08-10 03:00:00,240.0,True,,0.0,0.800313746008532
P1S88,RICO_Acquisition_1_07-2023.hdf,1,88,0,2023-08-10 03:01:00,2023-08-10 07:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S89,RICO_Acquisition_1_07-2023.hdf,1,89,240,2023-08-10 07:01:00,2023-08-10 11:00:00,240.0,True,,0.0,1.143793435891657
P1S90,RICO_Acquisition_1_07-2023.hdf,1,90,0,2023-08-10 11:01:00,2023-08-10 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S91,RICO_Acquisition_1_07-2023.hdf,1,91,240,2023-08-10 15:01:00,2023-08-10 19:00:00,240.0,True,,0.0,0.26942491314182215
P1S92,RICO_Acquisition_1_07-2023.hdf,1,92,240,2023-08-10 19:01:00,2023-08-10 23:00:00,240.0,True,,0.0,1.340665270752113
P1S93,RICO_Acquisition_1_07-2023.hdf,1,93,240,2023-08-10 23:01:00,2023-08-11 03:00:00,240.0,True,,0.0,3.3874151525345466
P1S94,RICO_Acquisition_1_07-2023.hdf,1,94,240,2023-08-11 03:01:00,2023-08-11 07:00:00,240.0,True,,0.0,0.8123313042338176
P1S95,RICO_Acquisition_1_07-2023.hdf,1,95,240,2023-08-11 07:01:00,2023-08-11 11:00:00,240.0,True,,0.0,3.4844134912440774
P1S96,RICO_Acquisition_1_07-2023.hdf,1,96,240,2023-08-11 11:01:00,2023-08-11 15:00:00,240.0,True,,0.0,0.5686357208131216
P1S97,RICO_Acquisition_1_07-2023.hdf,1,97,0,2023-08-11 15:01:00,2023-08-11 19:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S98,RICO_Acquisition_1_07-2023.hdf,1,98,240,2023-08-11 19:01:00,2023-08-11 23:00:00,240.0,True,,0.0,3.4195107392659803
P1S99,RICO_Acquisition_1_07-2023.hdf,1,99,240,2023-08-11 23:01:00,2023-08-12 03:00:00,240.0,True,,0.0,2.816914411046807
P1S100,RICO_Acquisition_1_07-2023.hdf,1,100,0,2023-08-12 03:01:00,2023-08-12 07:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S101,RICO_Acquisition_1_07-2023.hdf,1,101,240,2023-08-12 07:01:00,2023-08-12 11:00:00,240.0,True,,0.0,0.6169835967972535
P2S0,RICO_Acquisition_2_10-2023.hdf,2,0,0,2023-10-20 11:01:00,2023-10-20 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S1,RICO_Acquisition_2_10-2023.hdf,2,1,0,2023-10-20 15:01:00,2023-10-20 19:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S2,RICO_Acquisition_2_10-2023.hdf,2,2,0,2023-10-20 19:01:00,2023-10-20 23:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S3,RICO_Acquisition_2_10-2023.hdf,2,3,0,2023-10-20 23:01:00,2023-10-21 03:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S4,RICO_Acquisition_2_10-2023.hdf,2,4,0,2023-10-21 03:01:00,2023-10-21 07:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S5,RICO_Acquisition_2_10-2023.hdf,2,5,0,2023-10-21 07:01:00,2023-10-21 11:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S6,RICO_Acquisition_2_10-2023.hdf,2,6,0,2023-10-21 11:01:00,2023-10-21 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S7,RICO_Acquisition_2_10-2023.hdf,2,7,0,2023-10-21 15:01:00,2023-10-21 19:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S8,RICO_Acquisition_2_10-2023.hdf,2,8,0,2023-10-21 19:01:00,2023-10-21 23:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S9,RICO_Acquisition_2_10-2023.hdf,2,9,0,2023-10-21 23:01:00,2023-10-22 03:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S10,RICO_Acquisition_2_10-2023.hdf,2,10,0,2023-10-22 03:01:00,2023-10-22 07:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S11,RICO_Acquisition_2_10-2023.hdf,2,11,0,2023-10-22 07:01:00,2023-10-22 11:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S12,RICO_Acquisition_2_10-2023.hdf,2,12,0,2023-10-22 11:01:00,2023-10-22 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S13,RICO_Acquisition_2_10-2023.hdf,2,13,0,2023-10-22 15:01:00,2023-10-22 19:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S14,RICO_Acquisition_2_10-2023.hdf,2,14,0,2023-10-22 19:01:00,2023-10-22 23:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S15,RICO_Acquisition_2_10-2023.hdf,2,15,0,2023-10-22 23:01:00,2023-10-23 03:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S16,RICO_Acquisition_2_10-2023.hdf,2,16,0,2023-10-23 03:01:00,2023-10-23 07:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S17,RICO_Acquisition_2_10-2023.hdf,2,17,0,2023-10-23 07:01:00,2023-10-23 11:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S18,RICO_Acquisition_2_10-2023.hdf,2,18,0,2023-10-23 11:01:00,2023-10-23 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S19,RICO_Acquisition_2_10-2023.hdf,2,19,0,2023-10-23 15:01:00,2023-10-23 19:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S20,RICO_Acquisition_2_10-2023.hdf,2,20,0,2023-10-23 19:01:00,2023-10-23 23:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S21,RICO_Acquisition_2_10-2023.hdf,2,21,0,2023-10-23 23:01:00,2023-10-24 03:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S22,RICO_Acquisition_2_10-2023.hdf,2,22,0,2023-10-24 03:01:00,2023-10-24 07:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S23,RICO_Acquisition_2_10-2023.hdf,2,23,0,2023-10-24 07:01:00,2023-10-24 11:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S24,RICO_Acquisition_2_10-2023.hdf,2,24,0,2023-10-24 11:01:00,2023-10-24 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S25,RICO_Acquisition_2_10-2023.hdf,2,25,0,2023-10-24 15:01:00,2023-10-24 19:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S26,RICO_Acquisition_2_10-2023.hdf,2,26,0,2023-10-24 19:01:00,2023-10-24 23:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S27,RICO_Acquisition_2_10-2023.hdf,2,27,0,2023-10-24 23:01:00,2023-10-25 03:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S28,RICO_Acquisition_2_10-2023.hdf,2,28,0,2023-10-25 03:01:00,2023-10-25 07:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S29,RICO_Acquisition_2_10-2023.hdf,2,29,0,2023-10-25 07:01:00,2023-10-25 11:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S30,RICO_Acquisition_2_10-2023.hdf,2,30,0,2023-10-25 11:01:00,2023-10-25 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S31,RICO_Acquisition_2_10-2023.hdf,2,31,0,2023-10-25 15:01:00,2023-10-25 19:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S32,RICO_Acquisition_2_10-2023.hdf,2,32,0,2023-10-25 19:01:00,2023-10-25 23:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S33,RICO_Acquisition_2_10-2023.hdf,2,33,0,2023-10-25 23:01:00,2023-10-26 03:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S34,RICO_Acquisition_2_10-2023.hdf,2,34,0,2023-10-26 03:01:00,2023-10-26 07:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S35,RICO_Acquisition_2_10-2023.hdf,2,35,0,2023-10-26 07:01:00,2023-10-26 11:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S36,RICO_Acquisition_2_10-2023.hdf,2,36,0,2023-10-26 11:01:00,2023-10-26 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S37,RICO_Acquisition_2_10-2023.hdf,2,37,0,2023-10-26 15:01:00,2023-10-26 19:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S38,RICO_Acquisition_2_10-2023.hdf,2,38,0,2023-10-26 19:01:00,2023-10-26 23:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S39,RICO_Acquisition_2_10-2023.hdf,2,39,0,2023-10-26 23:01:00,2023-10-27 03:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S40,RICO_Acquisition_2_10-2023.hdf,2,40,0,2023-10-27 03:01:00,2023-10-27 07:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S41,RICO_Acquisition_2_10-2023.hdf,2,41,0,2023-10-27 07:01:00,2023-10-27 11:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S42,RICO_Acquisition_2_10-2023.hdf,2,42,0,2023-10-27 11:01:00,2023-10-27 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S43,RICO_Acquisition_2_10-2023.hdf,2,43,0,2023-10-27 15:01:00,2023-10-27 19:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S44,RICO_Acquisition_2_10-2023.hdf,2,44,0,2023-10-27 19:01:00,2023-10-27 23:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S45,RICO_Acquisition_2_10-2023.hdf,2,45,0,2023-10-27 23:01:00,2023-10-28 03:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S46,RICO_Acquisition_2_10-2023.hdf,2,46,0,2023-10-28 03:01:00,2023-10-28 07:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S47,RICO_Acquisition_2_10-2023.hdf,2,47,0,2023-10-28 07:01:00,2023-10-28 11:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S48,RICO_Acquisition_2_10-2023.hdf,2,48,0,2023-10-28 11:01:00,2023-10-28 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S49,RICO_Acquisition_2_10-2023.hdf,2,49,0,2023-10-28 15:01:00,2023-10-28 19:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S50,RICO_Acquisition_2_10-2023.hdf,2,50,0,2023-10-28 19:01:00,2023-10-28 23:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S51,RICO_Acquisition_2_10-2023.hdf,2,51,0,2023-10-28 23:01:00,2023-10-29 03:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S52,RICO_Acquisition_2_10-2023.hdf,2,52,0,2023-10-29 03:01:00,2023-10-29 07:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S53,RICO_Acquisition_2_10-2023.hdf,2,53,0,2023-10-29 07:01:00,2023-10-29 11:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S54,RICO_Acquisition_2_10-2023.hdf,2,54,0,2023-10-29 11:01:00,2023-10-29 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S55,RICO_Acquisition_2_10-2023.hdf,2,55,0,2023-10-29 15:01:00,2023-10-29 19:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S56,RICO_Acquisition_2_10-2023.hdf,2,56,0,2023-10-29 19:01:00,2023-10-29 23:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S57,RICO_Acquisition_2_10-2023.hdf,2,57,0,2023-10-29 23:01:00,2023-10-30 03:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S58,RICO_Acquisition_2_10-2023.hdf,2,58,0,2023-10-30 03:01:00,2023-10-30 07:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P2S59,RICO_Acquisition_2_10-2023.hdf,2,59,0,2023-10-30 07:01:00,2023-10-30 11:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P3S0,RICO_Acquisition_3_01-2024.hdf,3,0,240,2024-01-22 13:30:00,2024-01-22 17:29:00,240.0,True,,0.0,3.0407205880449903
P3S1,RICO_Acquisition_3_01-2024.hdf,3,1,240,2024-01-23 05:30:00,2024-01-23 09:29:00,240.0,True,,0.0,0.5061296174689038
P3S2,RICO_Acquisition_3_01-2024.hdf,3,2,240,2024-01-23 21:30:00,2024-01-24 01:29:00,240.0,True,,0.0,1.1201087688766505
P3S3,RICO_Acquisition_3_01-2024.hdf,3,3,240,2024-01-24 13:30:00,2024-01-24 17:29:00,240.0,True,,0.0,0.8135360040259946
P3S4,RICO_Acquisition_3_01-2024.hdf,3,4,240,2024-01-25 05:30:00,2024-01-25 09:29:00,240.0,True,,0.0,1.0907126635211548
P3S5,RICO_Acquisition_3_01-2024.hdf,3,5,240,2024-01-25 21:30:00,2024-01-26 01:29:00,240.0,True,,0.0,0.678317304372693
P4S0,RICO_Acquisition_4_02-2024.hdf,4,0,240,2024-01-29 15:01:00,2024-01-29 19:00:00,240.0,True,,0.0,1.3618834254205263
P4S1,RICO_Acquisition_4_02-2024.hdf,4,1,240,2024-01-29 19:01:00,2024-01-29 23:00:00,240.0,True,,0.0,1.5022920076172368
