dataset,group_id,target_id,n_rows,start,end,freq,season_steps,seasonal_naive_supported,n_train,n_calibration,n_test
rico,P1S95,B.RTD3,240,2023-08-11 07:01:00,2023-08-11 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S96,B.RTD3,240,2023-08-11 11:01:00,2023-08-11 15:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S98,B.RTD3,240,2023-08-11 19:01:00,2023-08-11 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S99,B.RTD3,240,2023-08-11 23:01:00,2023-08-12 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P1S101,B.RTD3,240,2023-08-12 07:01:00,2023-08-12 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P3S0,B.RTD3,240,2024-01-22 13:30:00,2024-01-22 17:29:00,0 days 00:01:00,,False,240,0,0
rico,P3S1,B.RTD3,240,2024-01-23 05:30:00,2024-01-23 09:29:00,0 days 00:01:00,,False,240,0,0
rico,P3S2,B.RTD3,240,2024-01-23 21:30:00,2024-01-24 01:29:00,0 days 00:01:00,,False,240,0,0
rico,P3S3,B.RTD3,240,2024-01-24 13:30:00,2024-01-24 17:29:00,0 days 00:01:00,,False,240,0,0
rico,P3S4,B.RTD3,240,2024-01-25 05:30:00,2024-01-25 09:29:00,0 days 00:01:00,,False,240,0,0
rico,P3S5,B.RTD3,240,2024-01-25 21:30:00,2024-01-26 01:29:00,0 days 00:01:00,,False,240,0,0
rico,P4S0,B.RTD3,240,2024-01-29 15:01:00,2024-01-29 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S1,B.RTD3,240,2024-01-29 19:01:00,2024-01-29 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S2,B.RTD3,240,2024-01-29 23:01:00,2024-01-30 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S3,B.RTD3,240,2024-01-30 03:01:00,2024-01-30 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S5,B.RTD3,240,2024-01-30 11:01:00,2024-01-30 15:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S6,B.RTD3,240,2024-01-30 15:01:00,2024-01-30 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S7,B.RTD3,240,2024-01-30 19:01:00,2024-01-30 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S8,B.RTD3,240,2024-01-30 23:01:00,2024-01-31 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S9,B.RTD3,240,2024-01-31 03:01:00,2024-01-31 07:00:00,0 days 00:01:00,,False,240,0,0
