dataset,outer_fold,model_seed,horizon,level,method,support,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
bdg2,2,42,6,0.9,recentred_enbpi_updated,common,34590,0.896646429603932,-0.00335357039606821,0.00335357039606821,158.436013646459,240.346523205869,37.8666039272333,69.0732402695528,1309805.829843,165032782.11299,5480301.712031,8313586.237691,31015,34590,0,0,complete
bdg2,2,42,6,0.9,dscp,common,34590,0.88869615495808,-0.0113038450419196,0.0113038450419196,145.908023340648,291.219719590332,34.1524907163963,66.7861956998188,1181334.65388015,154285095.428125,5046958.52735301,10073290.1006296,30740,34590,0,0,complete
bdg2,2,42,6,0.95,quantile_uncalibrated,common,34590,0.86877710320902,-0.08122289679098,0.08122289679098,146.433854495973,273.752713818365,32.1350967479892,69.1090105830922,1111552.99651295,165203754.341141,5065147.02701571,9469106.37097723,30051,34590,0,0,complete
bdg2,2,42,6,0.95,cqr,common,34590,0.95677941601619,0.0067794160161897,0.0067794160161897,173.044754563928,268.318247036778,32.1350967479892,69.1090105830922,1111552.99651295,165203754.341141,5985618.06036626,9281128.16500214,33095,34590,0,0,complete
bdg2,2,42,6,0.95,recentred_enbpi_static,common,34590,0.951199768719283,0.00119976871928307,0.00119976871928307,272.981754638672,448.948766906502,37.8666039272333,69.0732402695528,1309805.829843,165032782.11299,9442438.89295166,15529137.8472959,32902,34590,0,0,complete
bdg2,2,42,6,0.95,recentred_enbpi_updated,common,34590,0.9479618386817,-0.00203816131830004,0.00203816131830004,210.139823493958,299.267953140676,37.8666039272333,69.0732402695528,1309805.829843,165032782.11299,7268736.494656,10351678.499136,32790,34590,0,0,complete
bdg2,2,42,6,0.95,dscp,common,34590,0.945446660884649,-0.00455333911535116,0.00455333911535116,220.133810071722,393.783489472683,34.1524907163963,66.7861956998188,1181334.65388015,154285095.428125,7614428.49038085,13620970.9008601,32703,34590,0,0,complete
pleia_energy,2,42,1,0.9,quantile_uncalibrated,common,9902,0.689456675419107,-0.210543324580893,0.210543324580893,0.309750024839304,0.829366073838555,0.121652662080801,0.209517281076377,1204.60465992409,434.672956571553,3067.14474595879,8212.38286314937,6827,9902,0,0,complete
pleia_energy,2,42,1,0.9,cqr,common,9902,0.816602706523935,-0.0833972934760655,0.0833972934760655,0.339020997710607,0.800387431312811,0.121652662080801,0.209517281076377,1204.60465992409,434.672956571553,3356.98591933043,7925.43634485946,8086,9902,0,0,complete
pleia_energy,2,42,1,0.9,recentred_enbpi_static,common,9902,0.17249040597859,-0.72750959402141,0.72750959402141,0.055988073348999,2.46090762940495,0.144219479383963,0.227338056867217,1428.06128486,511.761026975804,554.393902301788,24367.9073463678,1708,9902,0,0,complete
pleia_energy,2,42,1,0.9,recentred_enbpi_updated,common,9902,0.735709957584326,-0.164290042415674,0.164290042415674,0.279365096562311,1.28422737820238,0.144219479383963,0.227338056867217,1428.06128486,511.761026975804,2766.27318616,12716.41949896,7285,9902,0,0,complete
pleia_energy,2,42,1,0.9,dscp,common,9902,0.718440719046657,-0.181559280953343,0.181559280953343,0.251165960464567,1.33340850637052,0.123760010754429,0.214440433459663,1225.47162649035,455.340494472448,2487.04534052014,13203.4110300809,7114,9902,0,0,complete
pleia_energy,2,42,1,0.95,quantile_uncalibrated,common,9902,0.824984851545142,-0.125015148454858,0.125015148454858,0.523937708090429,1.21915139375668,0.121652662080801,0.209517281076377,1204.60465992409,434.672956571553,5188.03118551143,12072.0371009787,8169,9902,0,0,complete
pleia_energy,2,42,1,0.95,cqr,common,9902,0.790648353867905,-0.159351646132095,0.159351646132095,0.313246244850709,1.72718397148144,0.121652662080801,0.209517281076377,1204.60465992409,434.672956571553,3101.76431651172,17102.5756856092,7829,9902,0,0,complete
pleia_energy,2,42,1,0.95,recentred_enbpi_static,common,9902,0.251565340335286,-0.698434659664714,0.698434659664714,0.0826372802257538,4.52847698113577,0.144219479383963,0.227338056867217,1428.06128486,511.761026975804,818.274348795414,44840.9790672064,2491,9902,0,0,complete
pleia_energy,2,42,1,0.95,recentred_enbpi_updated,common,9902,0.850333266006867,-0.0996667339931326,0.0996667339931326,0.489095037523733,1.605907364286,0.144219479383963,0.227338056867217,1428.06128486,511.761026975804,4843.01906156,15901.69472116,8420,9902,0,0,complete
pleia_energy,2,42,1,0.95,dscp,common,9902,0.786608765905878,-0.163391234094122,0.163391234094122,0.29921141651767,2.15869928056412,0.123760010754429,0.214440433459663,1225.47162649035,455.340494472448,2962.79144635797,21375.4402761459,7789,9902,0,0,complete
pleia_energy,2,42,3,0.9,quantile_uncalibrated,common,9902,0.778731569379923,-0.121268430620077,0.121268430620077,0.33883543453714,0.83609074109612,0.12155587271832,0.226204970513718,1203.6462516568,506.672355359979,3355.14847278676,8278.97051833378,7711,9902,0,13,complete
pleia_energy,2,42,3,0.9,cqr,common,9902,0.85073722480307,-0.0492627751969299,0.0492627751969299,0.364393277666825,0.838438718185088,0.12155587271832,0.226204970513718,1203.6462516568,506.672355359979,3608.2222354569,8302.22018746874,8424,9902,0,13,complete
pleia_energy,2,42,3,0.9,recentred_enbpi_static,common,9902,0.361442132902444,-0.538557867097556,0.538557867097556,0.0603846684098244,1.99457592862353,0.120760272033428,0.223693811046775,1195.768213675,495.485396738439,597.928986594081,19750.2908452302,3579,9902,0,0,complete
pleia_energy,2,42,3,0.9,recentred_enbpi_updated,common,9902,0.682791355281761,-0.217208644718239,0.217208644718239,0.203184905458493,1.29487101582004,0.120760272033428,0.223693811046775,1195.768213675,495.485396738439,2011.93693385,12821.81279865,6761,9902,0,0,complete
pleia_energy,2,42,3,0.9,dscp,common,9902,0.67541910725106,-0.22458089274894,0.22458089274894,0.195563366031001,1.43116114183499,0.11950509981114,0.226197070003071,1183.33949832991,506.636963560902,1936.46845043898,14171.3576264501,6688,9902,0,0,complete
pleia_energy,2,42,3,0.95,quantile_uncalibrated,common,9902,0.845788729549586,-0.104211270450414,0.104211270450414,0.463182099954091,1.18956782891867,0.12155587271832,0.226204970513718,1203.6462516568,506.672355359979,4586.42915374541,11779.1006419526,8375,9902,0,5,complete
pleia_energy,2,42,3,0.95,cqr,common,9902,0.894869723288225,-0.0551302767117754,0.0551302767117754,0.462303501879389,1.22427866795386,0.12155587271832,0.226204970513718,1203.6462516568,506.672355359979,4577.72927560971,12122.8073700791,8861,9902,0,5,complete
