dataset,horizon,outer_fold,model_seed,physical_minutes,target_units,model,n_fit,n_calibration,n_test,source_run,source_hash,protocol_hash,selected_candidate,final_epochs,estimator_class,selected_parameters
pleia,3,0,42,30,degrees C,xgboost,29715,9906,9907,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,0,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
pleia,3,0,42,30,degrees C,attention_lstm,29715,9906,9907,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,0,14.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.001, ""max_epochs"": 30, ""patience"": 5}"
pleia,6,0,42,60,degrees C,persistence,29710,9904,9907,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,0,,src.pilot_forecasters.Persistence,{}
pleia,6,0,42,60,degrees C,xgboost,29710,9904,9907,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,0,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
pleia,6,0,42,60,degrees C,attention_lstm,29710,9904,9907,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,1,11.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""patience"": 5}"
pleia_energy,1,0,42,10,kWh per 10 minutes,persistence,29719,9907,9909,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,0,,src.pilot_forecasters.Persistence,{}
pleia_energy,1,0,42,10,kWh per 10 minutes,xgboost,29719,9907,9909,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,0,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
pleia_energy,1,0,42,10,kWh per 10 minutes,attention_lstm,29719,9907,9909,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,0,12.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.001, ""max_epochs"": 30, ""patience"": 5}"
pleia_energy,1,2,42,10,kWh per 10 minutes,persistence,14858,4953,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,0,,src.pilot_forecasters.Persistence,{}
pleia_energy,1,2,42,10,kWh per 10 minutes,xgboost,14858,4953,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,0,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
pleia_energy,1,2,42,10,kWh per 10 minutes,attention_lstm,14858,4953,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,0,7.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.001, ""max_epochs"": 30, ""patience"": 5}"
pleia_energy,3,2,42,30,kWh per 10 minutes,persistence,14855,4952,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,0,,src.pilot_forecasters.Persistence,{}
pleia_energy,3,2,42,30,kWh per 10 minutes,xgboost,14855,4952,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,0,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
pleia_energy,3,2,42,30,kWh per 10 minutes,attention_lstm,14855,4952,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,0,7.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.001, ""max_epochs"": 30, ""patience"": 5}"
pleia_energy,6,2,42,60,kWh per 10 minutes,persistence,14850,4951,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,0,,src.pilot_forecasters.Persistence,{}
pleia_energy,6,2,42,60,kWh per 10 minutes,xgboost,14850,4951,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,0,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
pleia_energy,6,2,42,60,kWh per 10 minutes,attention_lstm,14850,4951,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,0,5.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.001, ""max_epochs"": 30, ""patience"": 5}"
rico,15,2,42,15,degrees C,persistence,12322,4242,8282,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,0,,src.pilot_forecasters.Persistence,{}
rico,15,2,42,15,degrees C,xgboost,12322,4242,8282,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,1,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
rico,15,2,42,15,degrees C,attention_lstm,12322,4242,8282,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,1,16.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""patience"": 5}"
rico,30,2,42,30,degrees C,persistence,11407,3927,7667,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,0,,src.pilot_forecasters.Persistence,{}
rico,30,2,42,30,degrees C,xgboost,11407,3927,7667,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,1,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
rico,30,2,42,30,degrees C,attention_lstm,11407,3927,7667,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,0,18.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.001, ""max_epochs"": 30, ""patience"": 5}"
rico,60,2,42,60,degrees C,persistence,9577,3297,6437,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,0,,src.pilot_forecasters.Persistence,{}
rico,60,2,42,60,degrees C,xgboost,9577,3297,6437,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,0,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
rico,60,2,42,60,degrees C,attention_lstm,9577,3297,6437,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,0,6.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.001, ""max_epochs"": 30, ""patience"": 5}"
bdg2,3,2,42,180,kWh per hour,persistence,51634,17360,34640,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,0,,src.pilot_forecasters.Persistence,{}
bdg2,3,2,42,180,kWh per hour,xgboost,51634,17360,34640,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,1,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
bdg2,3,2,42,180,kWh per hour,attention_lstm,51634,17360,34640,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,0,20.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.001, ""max_epochs"": 30, ""patience"": 5}"
bdg2,6,2,42,360,kWh per hour,persistence,51584,17350,34640,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,0,,src.pilot_forecasters.Persistence,{}
bdg2,6,2,42,360,kWh per hour,xgboost,51584,17350,34640,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,0,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
bdg2,6,2,42,360,kWh per hour,attention_lstm,51584,17350,34640,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,0,13.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.001, ""max_epochs"": 30, ""patience"": 5}"
bdg2,1,1,42,60,kWh per hour,persistence,77682,26002,34532,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f1_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,3a12b8bb0420a6d8259bdf93ab6cb7ae75b0cf7fa3bea5f7cdbd7e0113915139,0,,src.pilot_forecasters.Persistence,{}
bdg2,1,1,42,60,kWh per hour,xgboost,77682,26002,34532,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f1_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,3a12b8bb0420a6d8259bdf93ab6cb7ae75b0cf7fa3bea5f7cdbd7e0113915139,1,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
bdg2,1,1,42,60,kWh per hour,attention_lstm,77682,26002,34532,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f1_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,3a12b8bb0420a6d8259bdf93ab6cb7ae75b0cf7fa3bea5f7cdbd7e0113915139,0,29.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.001, ""max_epochs"": 30, ""patience"": 5}"
pleia,1,2,42,10,degrees C,persistence,14858,4953,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,0,,src.pilot_forecasters.Persistence,{}
pleia,1,2,42,10,degrees C,xgboost,14858,4953,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,0,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
pleia,1,2,42,10,degrees C,attention_lstm,14858,4953,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,0,27.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.001, ""max_epochs"": 30, ""patience"": 5}"
pleia,3,2,42,30,degrees C,persistence,14855,4952,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,8196306a329a6c9ca8326b0c397aea778201506a8cf246687569ae5edd3a0c84,0,,src.pilot_forecasters.Persistence,{}
pleia,3,2,42,30,degrees C,xgboost,14855,4952,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,8196306a329a6c9ca8326b0c397aea778201506a8cf246687569ae5edd3a0c84,0,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
pleia,3,2,42,30,degrees C,attention_lstm,14855,4952,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,8196306a329a6c9ca8326b0c397aea778201506a8cf246687569ae5edd3a0c84,0,17.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.001, ""max_epochs"": 30, ""patience"": 5}"
pleia,6,2,42,60,degrees C,persistence,14850,4951,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,ff4f03a56c5f3fee34466478e87f5f2f7fb26fcbfc1ef160d240ad250f347b1b,0,,src.pilot_forecasters.Persistence,{}
pleia,6,2,42,60,degrees C,xgboost,14850,4951,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,ff4f03a56c5f3fee34466478e87f5f2f7fb26fcbfc1ef160d240ad250f347b1b,0,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
pleia,6,2,42,60,degrees C,attention_lstm,14850,4951,9907,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,ff4f03a56c5f3fee34466478e87f5f2f7fb26fcbfc1ef160d240ad250f347b1b,1,12.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""patience"": 5}"
