horizon,inner_fold,candidate_id,channel,train_window_mean,train_window_std,validation_origin_z_mean,validation_origin_z_min,validation_origin_z_max,validation_fraction_abs_z_above_5
3,0,0,hour_sin,0.0029160491626195285,0.7064891157416199,-0.0005574531146580004,-1.4195774949906095,1.411322451571976,0.0
3,0,0,hour_cos,-0.0006464725350680808,0.7077176019193042,0.0035265998522717337,-1.412079514137732,1.4139064364392684,0.0
3,0,0,dow_sin,-0.010394960783318157,0.7084063109974049,-0.008221207644328583,-1.3615532872375764,1.3909007411547571,0.0
3,0,0,dow_cos,0.012941448403576172,0.705609631412691,-0.020784497292184383,-1.2952066658058727,1.39887341052906,0.0
3,0,1,target,20.016027911270555,2.2596288567580705,0.96645102061852,-2.219845925700887,4.2413923160591365,0.0
3,0,1,tmed,13.138094996303744,4.955107032607729,0.7845187966804762,-2.1267139180493713,4.49271960889599,0.0
3,0,1,hrmed,60.067700584167696,19.709859727702597,-0.04514374724651896,-2.4235433967241473,1.5389404775457922,0.0
3,0,1,radmed,131.57391271001487,210.95288174545436,0.5212687280418247,-0.623712326759196,4.728193703907427,0.0
3,0,1,V4,0.014744496061401737,0.12052840286545344,0.06870708584267426,-0.12233212845159082,8.174467432696712,0.023025651383558877
3,0,1,V12,27.0,1.0,-0.09008281155322156,-1.0,0.0,0.0
3,0,1,V5_0,0.9852555039385983,0.12052840286545351,-0.06870708584267447,-8.174467432696709,0.12233212845159055,0.023025651383558877
3,0,1,V5_1,0.014744496061401737,0.12052840286545344,0.06870708584267426,-0.12233212845159082,8.174467432696712,0.023025651383558877
3,0,1,V5_2,0.0,1.0,0.0,0.0,0.0,0.0
3,0,1,hour_sin,0.0029160491626195285,0.7064891157416199,-0.0005574531146580004,-1.4195774949906095,1.411322451571976,0.0
3,0,1,hour_cos,-0.0006464725350680808,0.7077176019193042,0.0035265998522717337,-1.412079514137732,1.4139064364392684,0.0
3,0,1,dow_sin,-0.010394960783318157,0.7084063109974049,-0.008221207644328583,-1.3615532872375764,1.3909007411547571,0.0
3,0,1,dow_cos,0.012941448403576172,0.705609631412691,-0.020784497292184383,-1.2952066658058727,1.39887341052906,0.0
3,1,0,target,21.105320691743348,2.8746651707384707,2.724201073351715,0.24165546387398695,4.276908823776922,0.0
3,1,0,tmed,15.079134475937897,5.52274094077857,1.8884548720010839,-0.1591844839545966,5.236686970145112,0.0016153457849570924
3,1,0,hrmed,59.62130358751186,19.817347445987306,-0.40698647724086273,-2.796605546191231,1.5278885340680644,0.0
3,1,0,radmed,186.0966997250155,278.64235021163137,0.40535574337792507,-0.6678694017031991,3.5382392501577096,0.0
3,1,0,V4,0.018885073722480307,0.13611916732399149,0.7661304754552181,-0.13873926864046976,7.20776467830034,0.12317011610297829
3,1,0,V12,26.95553928499293,0.20611637447842993,-1.1795342067619932,-28.89406191072014,5.067334983210528,0.28096920747097426
3,1,0,V5_0,0.9811149262775197,0.1361191673239915,-0.7661304754552181,-7.2077646783003395,0.13873926864046948,0.12317011610297829
3,1,0,V5_1,0.018885073722480307,0.13611916732399149,-0.1387392686404698,-0.13873926864046976,-0.13873926864046976,0.0
3,1,0,V5_2,0.0,1.0,0.12317011610297829,0.0,1.0,0.0
3,1,0,hour_sin,0.0020891731368670122,0.7070148041620439,-0.004356240335348173,-1.4173524616992232,1.4114426190069103,0.0
3,1,0,hour_cos,0.0010302661765454076,0.7071949070806559,0.002392276925015285,-1.4154941673842927,1.412580497712099,0.0
3,1,0,dow_sin,-0.01319480917623996,0.7057586807408545,0.009748612734199955,-1.3626939622419973,1.4000858060444397,0.0
3,1,0,dow_cos,0.005117307045205245,0.7083109374414814,-0.027875012717834956,-1.2792209025842263,1.4045846821855534,0.0
3,1,1,target,21.105320691743348,2.8746651707384707,2.724201073351715,0.24165546387398695,4.276908823776922,0.0
3,1,1,tmed,15.079134475937897,5.52274094077857,1.8884548720010839,-0.1591844839545966,5.236686970145112,0.0016153457849570924
3,1,1,hrmed,59.62130358751186,19.817347445987306,-0.40698647724086273,-2.796605546191231,1.5278885340680644,0.0
3,1,1,radmed,186.0966997250155,278.64235021163137,0.40535574337792507,-0.6678694017031991,3.5382392501577096,0.0
3,1,1,V4,0.018885073722480307,0.13611916732399149,0.7661304754552181,-0.13873926864046976,7.20776467830034,0.12317011610297829
3,1,1,V12,26.95553928499293,0.20611637447842993,-1.1795342067619932,-28.89406191072014,5.067334983210528,0.28096920747097426
3,1,1,V5_0,0.9811149262775197,0.1361191673239915,-0.7661304754552181,-7.2077646783003395,0.13873926864046948,0.12317011610297829
3,1,1,V5_1,0.018885073722480307,0.13611916732399149,-0.1387392686404698,-0.13873926864046976,-0.13873926864046976,0.0
3,1,1,V5_2,0.0,1.0,0.12317011610297829,0.0,1.0,0.0
