horizon,inner_fold,model,candidate_id,seed,n_train,n_validation,train_mae,train_rmse,train_prediction_minus_truth_bias,train_truth_mean,train_prediction_mean,train_truth_min,train_truth_max,train_prediction_min,train_prediction_max,validation_mae,validation_rmse,validation_prediction_minus_truth_bias,validation_truth_mean,validation_prediction_mean,validation_truth_min,validation_truth_max,validation_prediction_min,validation_prediction_max,seconds_diagnostic_only,best_epoch,saved_validation_mae,mae_difference_from_saved
3,1,xgboost,1,42,19804,9905,0.29847336224752635,0.4058126778838396,-6.423567646928675e-06,21.112871137144015,21.112864713576364,15.0,29.6,14.709341049194336,29.370237350463867,1.114302152068491,1.3981163913072352,-0.9663449154063826,28.93760726905603,27.97126235364965,21.8,33.4,22.107954025268555,29.478853225708008,1.6053260000007867,,1.114302152068491,0.0
3,1,attention_lstm,0,42,19804,9905,0.4086974212362944,0.5686521468516681,0.05608213500190659,21.112871137144015,21.168953272145917,15.0,29.6,15.549753189086914,29.291656494140625,1.9240595781460126,2.5298878737774517,-1.7102413924639421,28.93760726905603,27.22736587659209,21.8,33.4,22.660289764404297,30.106277465820312,50.002856999999494,11.0,1.9240595781460128,-2.220446049250313e-16
3,1,attention_lstm,1,42,19804,9905,0.40427440500962475,0.5598997742591777,-0.03643155313698701,21.112871137144015,21.076439584007023,15.0,29.6,15.303585052490234,29.28411865234375,2.0443812232905723,2.6724061275517697,-1.9049285164630394,28.93760726905603,27.032678752592993,21.8,33.4,22.5725154876709,30.40502166748047,77.37655219999942,20.0,2.0443812232905723,0.0
6,0,persistence,0,42,9897,9897,0.48539961604526627,0.7024919917581902,-0.0033141355966454463,20.023936546428214,20.020622410831564,15.0,26.6,15.0,26.6,0.6458825906840457,0.9286428205331236,-0.0027584116398908756,22.198353036273616,22.195594624633728,15.0,29.6,15.0,29.6,0.011651899998469162,,,
6,0,xgboost,0,42,9897,9897,0.37406982301617797,0.5081349976888706,-5.548447686713297e-05,20.023936546428214,20.023881061951343,15.0,26.6,15.426626205444336,26.58677101135254,1.1736816635008496,1.7084528929468732,-0.7699940331189141,22.198353036273616,21.428359003154704,15.0,29.6,15.623001098632812,25.50342559814453,0.7017075000003388,,1.1736816635008496,0.0
6,0,xgboost,1,42,9897,9897,0.25024508745776075,0.3373502061706788,-3.591126789528742e-05,20.023936546428214,20.023900635160317,15.0,26.6,15.188440322875977,26.426387786865234,1.2963834878783327,1.87845620432682,-0.8751108248763534,22.198353036273616,21.323242211397265,15.0,29.6,15.853585243225098,25.44876480102539,0.9913723999998183,,1.296383487878333,-2.220446049250313e-16
6,0,attention_lstm,0,42,9897,9897,0.5101928907126335,0.6810534872029691,0.04580640215650643,20.023936546428214,20.069742948584718,15.0,26.6,15.965896606445312,24.45919418334961,1.1517178139903876,1.5378214510597552,-0.6171312804895182,22.198353036273616,21.5812217557841,15.0,29.6,15.612319946289062,24.914371490478516,21.62276220000058,7.0,1.1517178139903876,0.0
6,0,attention_lstm,1,42,9897,9897,0.5258090493798774,0.7011539662371199,0.06733970006114243,20.023936546428214,20.091276246489354,15.0,26.6,15.855072021484375,24.077043533325195,1.169799093820958,1.5635519906313473,-0.6228937613310038,22.198353036273616,21.575459274942613,15.0,29.6,15.554328918457031,24.95174789428711,27.173930899998595,10.0,1.169799093820958,0.0
6,1,persistence,0,42,19794,9904,0.5656411033646559,0.8233688379493435,-0.003036273618268161,21.111144791350913,21.108108517732646,15.0,29.6,15.0,29.6,0.5478392568659127,0.7817447141243677,-0.00268578352180937,28.9360056542811,28.933319870759288,21.8,33.4,21.8,33.4,0.016885099999853992,,,
6,1,xgboost,0,42,19794,9904,0.4586674426894869,0.6252593201278805,-0.00027778546858573994,21.111144791350913,21.11086700588233,15.0,29.6,14.75759220123291,29.124849319458008,1.1378049701018942,1.4038109421464011,-0.9462181823896861,28.9360056542811,27.98978747189141,21.8,33.4,22.183246612548828,29.650739669799805,1.1623389999986102,,1.1378049701018942,0.0
6,1,xgboost,1,42,19794,9904,0.35862604101535056,0.47884983389597546,-0.00020472011120982098,21.111144791350913,21.110940071239703,15.0,29.6,14.663942337036133,29.333797454833984,1.2166541702720384,1.4814014256626646,-1.0499617478766619,28.9360056542811,27.886043906404435,21.8,33.4,22.441129684448242,29.67689323425293,1.533267300001171,,1.2166541702720384,0.0
6,1,attention_lstm,0,42,19794,9904,0.5524132514464876,0.7449720217749959,0.035290324785522166,21.111144791350913,21.146435116136438,15.0,29.6,15.372537612915039,28.703929901123047,2.282437838606765,2.924739026668237,-2.0703999562101716,28.9360056542811,26.865605698070926,21.8,33.4,22.953575134277344,29.753862380981445,34.76847689999886,6.0,2.282437838606765,0.0
6,1,attention_lstm,1,42,19794,9904,0.54222063560058,0.7320851196172622,-0.026042737321949068,21.111144791350913,21.085102054028965,15.0,29.6,15.595783233642578,28.94403076171875,2.2556478021218047,2.9804455265421854,-2.0292257422199156,28.9360056542811,26.906779912061182,21.8,33.4,22.69801139831543,30.05358123779297,52.78785400000015,12.0,2.2556478021218047,0.0
