dataset,outer_fold,role,n,groups,origin_min,origin_max,target_min,target_max,asset_days,membership_hash,segments,eligible_onset_positions,guarded_capacity_per_catalogue,request_per_catalogue,frequency_minutes,horizon_steps
pleia_energy,0,inner1_selection,7430,1,2021-06-11 18:40:00,2021-08-02 08:50:00,2021-06-11 18:50:00,2021-08-02 09:00:00,51.59722222222222,26ad849d51d4b1094239d3b308dd72a5029a47966a48497e4930e96bcf7447f7,1,7418,177,26,10.0,1
pleia_energy,1,B0,5571,1,2021-01-07 23:50:00,2021-02-15 16:10:00,2021-01-08 00:00:00,2021-02-15 16:20:00,38.6875,b4b64a5f5ea0b16c4fdea034203c85791fb1e0342f5a63200ebf0c9f7ce38359,1,5559,133,19,10.0,1
pleia_energy,1,B1,5571,1,2021-02-15 16:30:00,2021-03-26 08:50:00,2021-02-15 16:40:00,2021-03-26 09:00:00,38.6875,fa3fa6ea2270d5bd8eb36938b3670aa5fc182928777636f616f5354f51820a8e,1,5559,133,19,10.0,1
pleia_energy,1,B2,5571,1,2021-03-26 09:10:00,2021-05-04 01:30:00,2021-03-26 09:20:00,2021-05-04 01:40:00,38.6875,3691a162e8a84c57c6d31a5d876927345bf72482297f5c1adb2d625896bf2291,1,5559,133,19,10.0,1
pleia_energy,1,B3,5573,1,2021-05-04 01:50:00,2021-06-11 18:30:00,2021-05-04 02:00:00,2021-06-11 18:40:00,38.701388888888886,a0de192f6b48c58a4042d74a83da89128969446d990b82cf32fbaa0a6fbf4565,1,5561,133,19,10.0,1
pleia_energy,1,final_fit,22286,1,2021-01-07 23:50:00,2021-06-11 18:30:00,2021-01-08 00:00:00,2021-06-11 18:40:00,154.76388888888889,61e1782b48067e159e9b2a66739082c7ca22a05690c321112af7926e89ed3cb7,4,22238,532,77,10.0,1
pleia_energy,1,final_calibration,7430,1,2021-06-11 18:50:00,2021-08-02 09:00:00,2021-06-11 19:00:00,2021-08-02 09:10:00,51.59722222222222,149c87769c8facd0115f791414ef33c14f07b23557a0416358cef8182e3be44b,1,7418,177,26,10.0,1
pleia_energy,1,outer_test,9907,1,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,68.79861111111111,577a8393a4f3e766c07b26e092833df6c4dab9b955056c789e2989256260338a,1,9895,236,34,10.0,1
pleia_energy,1,inner0_train,5571,1,2021-01-07 23:50:00,2021-02-15 16:10:00,2021-01-08 00:00:00,2021-02-15 16:20:00,38.6875,b4b64a5f5ea0b16c4fdea034203c85791fb1e0342f5a63200ebf0c9f7ce38359,1,5559,133,19,10.0,1
pleia_energy,1,inner0_calibration,5571,1,2021-02-15 16:30:00,2021-03-26 08:50:00,2021-02-15 16:40:00,2021-03-26 09:00:00,38.6875,fa3fa6ea2270d5bd8eb36938b3670aa5fc182928777636f616f5354f51820a8e,1,5559,133,19,10.0,1
