dataset,outer_fold,role,n,groups,origin_min,origin_max,target_min,target_max,asset_days,membership_hash
pleia,0,B0,7428,1,2021-01-08 00:00:00,2021-02-28 13:50:00,2021-01-08 00:10:00,2021-02-28 14:00:00,51.583333333333336,fd05d4d1591ea86f23af95d7c66833474f05ea1876482dace7e275efa77953cf
pleia,0,B1,7429,1,2021-02-28 14:10:00,2021-04-21 04:10:00,2021-02-28 14:20:00,2021-04-21 04:20:00,51.59027777777778,4ada5a1ca9aee0759105e6fc13999ead9211809561d0e078c1b552ec3d1ed7a8
pleia,0,B2,7429,1,2021-04-21 04:30:00,2021-06-11 18:30:00,2021-04-21 04:40:00,2021-06-11 18:40:00,51.59027777777778,5253e4eff67587588ad671676aded4a2beb8c45e558dbb46a3b752af4067c702
pleia,0,B3,7430,1,2021-06-11 18:50:00,2021-08-02 09:00:00,2021-06-11 19:00:00,2021-08-02 09:10:00,51.59722222222222,149c87769c8facd0115f791414ef33c14f07b23557a0416358cef8182e3be44b
pleia,0,final_fit,29716,1,2021-01-08 00:00:00,2021-08-02 09:00:00,2021-01-08 00:10:00,2021-08-02 09:10:00,206.36111111111111,bda004a37549a498b39c7c99bd2052d64c91300d39e00679660f29eccb15fcec
pleia,0,final_calibration,9907,1,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,68.79861111111111,577a8393a4f3e766c07b26e092833df6c4dab9b955056c789e2989256260338a
pleia,0,outer_test,9907,1,2021-10-10 04:40:00,2021-12-17 23:40:00,2021-10-10 04:50:00,2021-12-17 23:50:00,68.79861111111111,a9a00f5a19e72dc12a25e28b902768b164c084b8146ff8a9b5d76c41cb99670e
pleia,0,inner0_train,7428,1,2021-01-08 00:00:00,2021-02-28 13:50:00,2021-01-08 00:10:00,2021-02-28 14:00:00,51.583333333333336,fd05d4d1591ea86f23af95d7c66833474f05ea1876482dace7e275efa77953cf
pleia,0,inner0_calibration,7429,1,2021-02-28 14:10:00,2021-04-21 04:10:00,2021-02-28 14:20:00,2021-04-21 04:20:00,51.59027777777778,4ada5a1ca9aee0759105e6fc13999ead9211809561d0e078c1b552ec3d1ed7a8
pleia,0,inner0_selection,7429,1,2021-04-21 04:30:00,2021-06-11 18:30:00,2021-04-21 04:40:00,2021-06-11 18:40:00,51.59027777777778,5253e4eff67587588ad671676aded4a2beb8c45e558dbb46a3b752af4067c702
pleia,0,inner1_train,14857,1,2021-01-08 00:00:00,2021-04-21 04:10:00,2021-01-08 00:10:00,2021-04-21 04:20:00,103.17361111111111,4fdaff7ea56818630843c6ba2cd0a28a6e1cbdf338854023ca592f4c3dbf8269
pleia,0,inner1_calibration,7429,1,2021-04-21 04:30:00,2021-06-11 18:30:00,2021-04-21 04:40:00,2021-06-11 18:40:00,51.59027777777778,5253e4eff67587588ad671676aded4a2beb8c45e558dbb46a3b752af4067c702
