control_a,control_b,definition,rule_id,channel,point_difference,status,valid_draws,lower,upper,draw_hash
cqr_static,cqr_rolling,A minus B,180min_3of18,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,cqr_rolling,A minus B,180min_3of18,combined,-0.21287241291714612,supported,2000,-0.37612441343670483,-0.0791814325161883,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,cqr_rolling,A minus B,180min_3of18,numerical_only,-0.13598184406793215,supported,2000,-0.27570588683999414,-0.022115968590233362,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,cqr_rolling,A minus B,30min_3of3,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,cqr_rolling,A minus B,30min_3of3,combined,-0.08476018246364098,supported,2000,-0.18233716436758857,0.01242871720213733,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,cqr_rolling,A minus B,30min_3of3,numerical_only,0.15146121841014148,supported,2000,0.10406447405899706,0.21585363102660762,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,cqr_rolling,A minus B,360min_4of36,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,cqr_rolling,A minus B,360min_4of36,combined,-0.09112701699758424,supported,2000,-0.19471119187592473,-0.007087866081005738,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,cqr_rolling,A minus B,360min_4of36,numerical_only,-0.06749178216062544,supported,2000,-0.1594910669047527,0.003423130672440826,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,cqr_rolling,A minus B,60min_4of6,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,cqr_rolling,A minus B,60min_4of6,combined,-0.04919158205137997,supported,2000,-0.14876611388879832,0.040747840304945326,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,cqr_rolling,A minus B,60min_4of6,numerical_only,0.07320429388497773,supported,2000,0.004294079407658958,0.14216537982123012,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,cqr_rolling,A minus B,single_sample,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,cqr_rolling,A minus B,single_sample,combined,-0.2623922058278212,supported,2000,-0.4035434747254843,-0.12618149596216705,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,cqr_rolling,A minus B,single_sample,numerical_only,0.08750489650759707,supported,2000,0.03130128946740895,0.15695540616782097,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,180min_3of18,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,180min_3of18,combined,-0.34510117763847925,supported,2000,-0.487500554805606,-0.2111319812654703,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,180min_3of18,numerical_only,-0.22116660259171797,supported,2000,-0.332506916008102,-0.10854449253652468,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,30min_3of3,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,30min_3of3,combined,0.13984557482954244,supported,2000,0.0504610558368574,0.24067078450658594,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,30min_3of3,numerical_only,0.40369367936986605,supported,2000,0.3727702522528687,0.4591053017386137,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,360min_4of36,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,360min_4of36,combined,-0.2622221885184963,supported,2000,-0.3754600098538586,-0.1525817265074596,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,360min_4of36,numerical_only,-0.1557066921512278,supported,2000,-0.24420470259633104,-0.06777560853255461,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,60min_4of6,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,60min_4of6,combined,0.07331882501540524,supported,2000,-0.004257512534290382,0.16206910703675376,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,60min_4of6,numerical_only,0.22313896356725688,supported,2000,0.17929926361902027,0.28579220490889173,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,single_sample,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,single_sample,combined,-0.4817289460398049,supported,2000,-0.6428993347338935,-0.32730201722630486,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_static,persistence_static,A minus B,single_sample,numerical_only,-0.17971245117125378,supported,2000,-0.2331144167496269,-0.1268449814467507,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,180min_3of18,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,180min_3of18,combined,-0.1322287647213331,supported,2000,-0.22942025208048974,-0.035952366795427314,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,180min_3of18,numerical_only,-0.08518475852378582,supported,2000,-0.16744683570835756,0.00559448844517884,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,30min_3of3,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,30min_3of3,combined,0.2246057572931834,supported,2000,0.19333367240017812,0.27263714043871873,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,30min_3of3,numerical_only,0.25223246095972457,supported,2000,0.22173118618226142,0.30178145801016515,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,360min_4of36,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,360min_4of36,combined,-0.17109517152091205,supported,2000,-0.24787312458832658,-0.09615924790182599,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,360min_4of36,numerical_only,-0.08821490999060233,supported,2000,-0.14958459441197017,-0.023438143141012002,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,60min_4of6,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,60min_4of6,combined,0.1225104070667852,supported,2000,0.07741544092384421,0.18826879328120127,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,60min_4of6,numerical_only,0.14993466968227914,supported,2000,0.11036239495798324,0.21025441088076183,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,single_sample,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,single_sample,combined,-0.21933674021198368,supported,2000,-0.2786813761673559,-0.17153807654589887,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
cqr_rolling,persistence_static,A minus B,single_sample,numerical_only,-0.26721734767885086,supported,2000,-0.34098162654401337,-0.20774845659510496,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
