model_seed,control_id,rule_id,channel,conditional_context_detection,restricted_ttd_equal_stratum_minutes,detected,misses,detected_delay_median_minutes,detected_delay_q90_minutes,supported_strata,original_eligible_rows,original_asset_days,background_episodes,background_episodes_per_asset_day,alert_rows,time_in_alert_days,fraction_time_in_alert
43,persistence_static,single_sample,availability_only,0.2857142857142857,82.30504841862118,687,2040,10.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
43,persistence_static,single_sample,combined,0.9086134453781511,24.62449807956927,2466,261,10.0,50.0,21,9907,68.79861111111111,292,4.244271727061673,345,2.395833333333333,0.03482386191581709
43,persistence_static,single_sample,numerical_only,0.7236068867845646,47.26795652151191,2027,700,10.0,60.0,21,9907,68.79861111111111,292,4.244271727061673,345,2.395833333333333,0.03482386191581709
43,quantile_static,180min_3of18,availability_only,0.1299780213837644,99.3854099069868,357,2370,30.0,40.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
43,quantile_static,180min_3of18,combined,0.08005545664080037,104.46120920788822,214,2513,30.0,80.0,21,9907,68.79861111111111,44,0.6395477944887453,8937,62.0625,0.9020894317149489
43,quantile_static,180min_3of18,numerical_only,0.08361107664999808,105.13348024560244,223,2504,50.0,90.0,21,9907,68.79861111111111,44,0.6395477944887453,8937,62.0625,0.9020894317149489
43,quantile_static,30min_3of3,availability_only,0.1098438320818269,100.8119051481722,307,2420,30.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
43,quantile_static,30min_3of3,combined,0.33509475537457034,91.42526017950982,932,1795,60.0,80.0,21,9907,68.79861111111111,106,1.5407287776319774,7360,51.11111111111111,0.742909054204098
43,quantile_static,30min_3of3,numerical_only,0.49633511743438447,85.4174623491512,1313,1414,60.0,80.0,21,9907,68.79861111111111,106,1.5407287776319774,7360,51.11111111111111,0.742909054204098
43,quantile_static,360min_4of36,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
43,quantile_static,360min_4of36,combined,0.048453427850699005,106.58087766660852,130,2597,30.0,90.0,21,9907,68.79861111111111,21,0.3052387200969012,9384,65.16666666666666,0.9472090441102249
43,quantile_static,360min_4of36,numerical_only,0.04426129025588171,107.35499719842512,122,2605,50.0,90.0,21,9907,68.79861111111111,21,0.3052387200969012,9384,65.16666666666666,0.9472090441102249
43,quantile_static,60min_4of6,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
43,quantile_static,60min_4of6,combined,0.26419666260404223,95.96538069721724,737,1990,60.0,90.0,21,9907,68.79861111111111,82,1.1918845260926616,7584,52.666666666666664,0.7655193297668315
43,quantile_static,60min_4of6,numerical_only,0.33667676187931367,95.36886408521877,938,1789,70.0,90.0,21,9907,68.79861111111111,82,1.1918845260926616,7584,52.666666666666664,0.7655193297668315
43,quantile_static,single_sample,availability_only,0.2857142857142857,82.30504841862118,687,2040,10.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
43,quantile_static,single_sample,combined,0.420767179357142,78.02359770157251,1156,1571,30.0,70.0,21,9907,68.79861111111111,305,4.433229029978802,7831,54.38194444444444,0.7904511961239526
43,quantile_static,single_sample,numerical_only,0.5898300105246511,67.73328649272818,1565,1162,40.0,60.0,21,9907,68.79861111111111,305,4.433229029978802,7831,54.38194444444444,0.7904511961239526
44,cqr_rolling,180min_3of18,availability_only,0.1299780213837644,99.3854099069868,357,2370,30.0,40.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
44,cqr_rolling,180min_3of18,combined,0.381117467671689,80.43966448925448,1064,1663,30.0,50.0,21,9907,68.79861111111111,65,0.9447865145856464,1812,12.583333333333332,0.18290097910568281
44,cqr_rolling,180min_3of18,numerical_only,0.2686896343547153,89.77380449665263,763,1964,30.0,60.0,21,9907,68.79861111111111,65,0.9447865145856464,1812,12.583333333333332,0.18290097910568281
44,cqr_rolling,30min_3of3,availability_only,0.1098438320818269,100.8119051481722,307,2420,30.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
44,cqr_rolling,30min_3of3,combined,0.40794143947325845,78.1673117616612,1151,1576,30.0,50.0,21,9907,68.79861111111111,89,1.2936307661249622,595,4.131944444444445,0.06005854446351065
44,cqr_rolling,30min_3of3,numerical_only,0.3100503829046219,86.88882723757901,878,1849,30.0,70.0,21,9907,68.79861111111111,89,1.2936307661249622,595,4.131944444444445,0.06005854446351065
44,cqr_rolling,360min_4of36,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
44,cqr_rolling,360min_4of36,combined,0.19733370108263942,96.28812360034863,556,2171,30.0,70.0,21,9907,68.79861111111111,55,0.7994347431109317,2661,18.479166666666664,0.2685979610376501
