control_id,rule_id,channel,point,status,valid_draws,lower,upper
cqr_static,single_sample,availability_only,0.2857142857142857,unavailable_valid_draw_or_degenerate,2000,,
cqr_static,single_sample,combined,0.42688449933834666,supported,2000,0.26103825425036764,0.5848039598780709
cqr_static,single_sample,numerical_only,0.5438944356133109,supported,2000,0.48533579197643617,0.6075478156626617
persistence_static,180min_3of18,availability_only,0.1299780213837644,supported,2000,0.12502972629433629,0.1344055920736593
persistence_static,180min_3of18,combined,0.5127071330641276,supported,2000,0.43525593374459265,0.5884744838757349
persistence_static,180min_3of18,numerical_only,0.3539444208897056,supported,2000,0.29060305187310875,0.41613166242072647
persistence_static,30min_3of3,availability_only,0.1098438320818269,supported,2000,0.10489807199828521,0.11514157562617991
persistence_static,30min_3of3,combined,0.1850230175619891,supported,2000,0.17033133414656182,0.19280269657775886
persistence_static,30min_3of3,numerical_only,0.05987394957983193,supported,2000,0.04866946778711484,0.0661764705882353
persistence_static,360min_4of36,availability_only,0.0625634927072711,supported,2000,0.0589907604832978,0.0654530549303533
persistence_static,360min_4of36,combined,0.37020936091828033,supported,2000,0.3065620198753361,0.43316619228233705
persistence_static,360min_4of36,numerical_only,0.24313463623606482,supported,2000,0.193244078389014,0.2937576883590316
persistence_static,60min_4of6,availability_only,0.0625634927072711,supported,2000,0.0589907604832978,0.0654530549303533
persistence_static,60min_4of6,combined,0.18040031960220815,supported,2000,0.16588306546310086,0.19334143522950142
persistence_static,60min_4of6,numerical_only,0.09733893557422968,supported,2000,0.08858543417366947,0.10644257703081231
persistence_static,single_sample,availability_only,0.2857142857142857,unavailable_valid_draw_or_degenerate,2000,,
persistence_static,single_sample,combined,0.9086134453781511,supported,2000,0.8967086834733894,0.9198179271708684
persistence_static,single_sample,numerical_only,0.7236068867845646,supported,2000,0.6919485309379282,0.754501642889558
quantile_static,180min_3of18,availability_only,0.1299780213837644,supported,2000,0.12502972629433629,0.1344055920736593
quantile_static,180min_3of18,combined,0.08912540478553524,supported,2000,0.00740406383513001,0.14967412585328718
quantile_static,180min_3of18,numerical_only,0.08908962676569654,supported,2000,0.007738240595383454,0.1499944513160402
quantile_static,30min_3of3,availability_only,0.1098438320818269,supported,2000,0.10489807199828521,0.11514157562617991
quantile_static,30min_3of3,combined,0.3183337258491976,supported,2000,0.19475342927161607,0.43290967301744043
quantile_static,30min_3of3,numerical_only,0.4870914199553928,supported,2000,0.43790280823297695,0.5415483131382763
quantile_static,360min_4of36,availability_only,0.0625634927072711,supported,2000,0.0589907604832978,0.0654530549303533
quantile_static,360min_4of36,combined,0.054223411054882695,supported,2000,0.0,0.09335272866224793
quantile_static,360min_4of36,numerical_only,0.0490457376980643,supported,2000,0.0,0.08784000906748318
quantile_static,60min_4of6,availability_only,0.0625634927072711,supported,2000,0.0589907604832978,0.0654530549303533
quantile_static,60min_4of6,combined,0.2532109473412986,supported,2000,0.1510581454163275,0.35008048096596034
quantile_static,60min_4of6,numerical_only,0.3293213497274316,supported,2000,0.2606984959920721,0.40150502890911055
quantile_static,single_sample,availability_only,0.2857142857142857,unavailable_valid_draw_or_degenerate,2000,,
quantile_static,single_sample,combined,0.4119280515580664,supported,2000,0.23888122969873066,0.5577166554028296
quantile_static,single_sample,numerical_only,0.5817324536888084,supported,2000,0.48772903230028153,0.6569196418540313
