dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,unit,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,bdg2_h3_f2_s43_attention_lstm,3.933740000007674,684392448,689631232,725630976,731115520,5238784,1031712768,4247298048,0.05,3.796875
bdg2,6,2,43,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,077b77572186c5f9d9893e3c98265d76a061cc7ec7c7da76d384cccbee2ffa0f,bdg2_h6_f2_s43_persistence,2.591926799999783,462946304,468328448,419999744,425590784,5382144,1034293248,4407513088,0.05,2.40625
bdg2,6,2,43,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,077b77572186c5f9d9893e3c98265d76a061cc7ec7c7da76d384cccbee2ffa0f,bdg2_h6_f2_s43_xgboost,3.9508436000032816,569503744,576872448,593346560,601030656,7368704,1034293248,4310106112,0.05,3.609375
bdg2,6,2,43,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,077b77572186c5f9d9893e3c98265d76a061cc7ec7c7da76d384cccbee2ffa0f,bdg2_h6_f2_s43_attention_lstm,3.94324079999933,673251328,680189952,725217280,732143616,6938624,1034293248,4349972480,0.05,3.625
pleia,1,2,43,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,006c7b08726fdfe876769e33b3062b900b78e677877db0102c7be60883189b03,pleia_h1_f2_s43_persistence,0.8472222999989754,397242368,399630336,352632832,354783232,2387968,1244573696,4530364416,0.05,0.71875
pleia,1,2,43,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,006c7b08726fdfe876769e33b3062b900b78e677877db0102c7be60883189b03,pleia_h1_f2_s43_xgboost,1.3517559999891091,511852544,512966656,533823488,538931200,1114112,1244573696,4395966464,0.05,1.203125
pleia,1,2,43,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,006c7b08726fdfe876769e33b3062b900b78e677877db0102c7be60883189b03,pleia_h1_f2_s43_attention_lstm,1.276903100006166,599998464,604119040,627298304,631558144,4120576,1244573696,4293627904,0.05,1.171875
pleia,3,2,43,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,591cc9bc729f1568eb03adc14a89532c11b371bf24f5f2b6e51e6eb80bd8971b,pleia_h3_f2_s43_persistence,0.8000142999953823,395161600,398467072,351334400,354537472,3305472,1242312704,4517076992,0.05,0.71875
pleia,3,2,43,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,591cc9bc729f1568eb03adc14a89532c11b371bf24f5f2b6e51e6eb80bd8971b,pleia_h3_f2_s43_xgboost,1.4364738000003854,509976576,514097152,533823488,537018368,4120576,1242312704,4169449472,0.05,1.28125
pleia,3,2,43,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,591cc9bc729f1568eb03adc14a89532c11b371bf24f5f2b6e51e6eb80bd8971b,pleia_h3_f2_s43_attention_lstm,1.3140692000015406,635092992,641581056,676298752,682463232,6488064,1242312704,4241518592,0.05,1.140625
pleia,6,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,12a21c7ab9474210c38718dc5d0ad8b0f6eeab8c5f54e8c84e545f094db17d5f,pleia_h6_f2_s43_persistence,0.8796765000006417,396931072,403644416,352399360,359608320,6713344,1241374720,4382490624,0.05,0.75
pleia,6,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,12a21c7ab9474210c38718dc5d0ad8b0f6eeab8c5f54e8c84e545f094db17d5f,pleia_h6_f2_s43_xgboost,1.3719047999911709,508399616,510537728,530509824,532656128,2138112,1241374720,4282351616,0.05,1.21875
pleia,6,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,12a21c7ab9474210c38718dc5d0ad8b0f6eeab8c5f54e8c84e545f094db17d5f,pleia_h6_f2_s43_attention_lstm,1.3183743999979924,637407232,641527808,677199872,681451520,4120576,1241374720,4192395264,0.05,1.15625
