dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,conformal_method,nominal_coverage,mode,scenario,kind,severity,severity_label,alert_rule,seed,n_test,mae_vs_clean_truth,rmse_vs_clean_truth,empirical_coverage_vs_clean_truth,coverage_deviation_vs_clean_truth,mae,rmse,empirical_coverage,coverage_deviation,mean_interval_width,median_interval_width,winkler_score,n_valid,alert_rate,n_alert_clusters,false_alert_events_per_day,n_violation_steps,n_rows_rebuilt,n_contaminated
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,block_missing_10pct,block_missing,0.1,10%,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,25.601122911294418,63.84900447419709,0.9220115263060048,0.027988473693995153,110.21934661236617,65.1315350145615,352.006828364491,32274,0.07224869395487686,1611.0,1.1098226074975601,2517.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,block_missing_10pct,block_missing,0.1,10%,1-of-1,42,24536.0,20.32318742262273,40.64532901919893,0.9411069448972937,0.008893055102706215,20.22110810488741,40.336449094323136,0.9427372024779915,0.007262797522008424,110.53328619610184,65.4556672223096,160.24210921925416,24536,0.057262797522008475,1026.0,1.003586566677535,1405.0,24536.0,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,bias_0.5sd,bias,0.5,0.5 sigma,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,123.40441366069183,128.70623419720505,0.1347379298467191,0.8152620701532809,110.21934661236617,65.1315350145615,2978.700684630105,34838,0.8652620701532809,1819.0,1.2531144152936449,30144.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,bias_0.5sd,bias,0.5,0.5 sigma,1-of-1,42,34838.0,123.45439286535169,129.75646077710712,0.16510706699580918,0.7848929330041907,27.06005409264337,45.03179163594792,0.9625409036109995,0.012540903610999576,172.21718682814543,150.12541585313483,227.79710570788018,34838,0.03745909638900052,886.0,0.6103679889775533,1305.0,34838.0,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,bias_1.0sd,bias,1.0,1.0 sigma,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,244.90994641702522,247.9549154458469,0.021614329180779608,0.9283856708192203,110.21934661236617,65.1315350145615,7581.159402627617,34838,0.9783856708192203,305.0,0.2101153912394512,34085.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,bias_1.0sd,bias,1.0,1.0 sigma,1-of-1,42,34838.0,241.44380313418162,246.15848477113192,0.06343647740972501,0.8865635225902749,27.789775840281525,51.07053707232096,0.9385728227797233,0.01142717722027664,144.46810962049977,117.32799022587115,251.76539187197363,34838,0.061427177220276706,1197.0,0.8246167977495839,2140.0,34838.0,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,bias_2.0sd,bias,2.0,2.0 sigma,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,489.52245288287384,491.1198726834426,0.0012629886905103623,0.9487370113094896,110.21934661236617,65.1315350145615,17291.24924677316,34838,0.9987370113094897,16.0,0.01102244675354498,34794.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,bias_2.0sd,bias,2.0,2.0 sigma,1-of-1,42,34838.0,472.0057740122284,478.26819664978234,0.05287329927091108,0.8971267007290888,44.16574330261258,80.44974015866234,0.887565302256157,0.062434697743842915,222.72556295019498,189.1991149896582,647.3506663335229,34838,0.11243469774384293,1264.0,0.8707732935300534,3917.0,34838.0,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,level_shift_1.0sd,level_shift,1.0,1.0 sigma,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,136.7395869849665,176.91565468861188,0.46922900281302027,0.4807709971869797,110.21934661236617,65.1315350145615,4191.573441136254,34838,0.5307709971869797,1065.0,0.7336816120328378,18491.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,level_shift_1.0sd,level_shift,1.0,1.0 sigma,1-of-1,42,34838.0,131.44744429828452,176.41936998081843,0.48969516045697226,0.4603048395430277,23.538751592787758,44.89682964074047,0.947499856478558,0.002500143521442011,125.42806922424886,89.38250197215356,187.8924709988477,34838,0.052500143521442104,1262.0,0.8693954876858603,1829.0,34838.0,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,level_shift_2.0sd,level_shift,2.0,2.0 sigma,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,259.05711520766204,347.7223239421069,0.46288535507204775,0.4871146449279522,110.21934661236617,65.1315350145615,9043.693334113545,34838,0.5371146449279522,1050.0,0.7233480682013893,18712.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,level_shift_2.0sd,level_shift,2.0,2.0 sigma,1-of-1,42,34838.0,247.5742149507786,339.80449008518156,0.48372466846546874,0.4662753315345312,29.16482538721714,53.37948874300941,0.9294448590619439,0.020555140938056105,165.35569482332926,156.1530021168559,300.5279053183552,34838,0.07055514093805615,1403.0,0.9665307997014755,2458.0,34838.0,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,drift_1.0sd,drift,1.0,1.0 sigma terminal,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,125.48899557124896,146.5535004524603,0.28147425225328665,0.6685257477467133,110.21934661236617,65.1315350145615,3316.53952508537,34838,0.7185257477467134,2045.0,1.4088064756874679,25032.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,drift_1.0sd,drift,1.0,1.0 sigma terminal,1-of-1,42,34838.0,123.47647592106446,145.8525590538981,0.25716171996096215,0.6928382800390378,24.27695312419922,43.91543607992561,0.9656983753372754,0.015698375337275472,147.61737724578535,132.89257193738788,198.6387850393441,34838,0.034301624662724614,852.0,0.5869452896262702,1195.0,34838.0,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,drift_2.0sd,drift,2.0,2.0 sigma terminal,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,246.01990188784106,285.1221429412506,0.14644927952236064,0.8035507204776393,110.21934661236617,65.1315350145615,7827.204817484075,34838,0.8535507204776394,1176.0,0.810149836385556,29736.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,drift_2.0sd,drift,2.0,2.0 sigma terminal,1-of-1,42,34838.0,238.79015825144378,278.42864543642537,0.16309776680636087,0.7869022331936391,28.484211397237832,48.81606685020355,0.9483035765543372,0.001696423445662787,158.63372179270038,149.59121832069948,246.06249287121898,34838,0.05169642344566278,1109.0,0.7639933406050864,1801.0,34838.0,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,stuck_5pct,stuck,0.05,5% of region,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,30.63334268982832,66.26991613125325,0.9009989092370401,0.04900109076295989,110.21934661236617,65.1315350145615,537.7763000115024,34838,0.09900109076295999,1361.0,0.9375968769734199,3449.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,stuck_5pct,stuck,0.05,5% of region,1-of-1,42,34838.0,24.311351643740718,59.73896071972471,0.9209196854009989,0.029080314599001067,19.888276958917974,39.92889473292725,0.9449164705206958,0.0050835294793041275,110.93881541876435,66.73489855476515,160.56419509007188,34838,0.05508352947930421,1369.0,0.9431081003501923,1919.0,34838.0,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,legacy_fixed_intervals,dropout_5pct,dropout,0.05,5% of region,1-of-1,42,34838.0,20.011067223154956,40.12998277209014,0.9426775360238819,0.007322463976118021,24.231590571494312,52.29794754264761,0.9193122452494402,0.030687754750559737,110.21934661236617,65.1315350145615,251.66156247755868,34838,0.08068775475055974,1425.0,0.9816866639875999,2811.0,,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,closed_loop,dropout_5pct,dropout,0.05,5% of region,1-of-1,42,34838.0,22.91766176446923,47.15542347377084,0.916929789310523,0.03307021068947691,19.605575033739946,39.43845441743711,0.9403237843733854,0.009676215626614582,109.75351566628267,66.15417959969538,161.99534732258567,34838,0.05967621562661462,1430.0,0.9851311785980826,2079.0,34838.0,
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,calibration_contamination,calib_contam_1pct,calibration_contamination,0.01,1%,,942,,,,,,,,0.9541879556805787,0.0041879556805787255,170.52629689905052,170.52629689905046,267.86092389361784,34838,,,,,,350.0
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,calibration_contamination,calib_contam_5pct,calibration_contamination,0.05,5%,,942,,,,,,,,0.9985360812905448,0.048536081290544875,951.1745422881104,951.1745422881103,956.4872449558911,34838,,,,,,1749.0
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,cqr,0.95,calibration_contamination,calib_contam_10pct,calibration_contamination,0.1,10%,,942,,,,,,,,0.9999425914231587,0.04994259142315871,1468.7591227476332,1468.7591227476332,1469.2177860719066,34838,,,,,,3499.0
