context_id,ordinal,stage,canonical_stage,alias,realization_hash,family,severity,replicate,effective,null
52ff058ac620f898f36b,40,context_52ff058ac620f898f36b_v40,context_52ff058ac620f898f36b_v40,False,f1d1af3e3dee1446d2c0139b8585c3f933786403e18212461023632a0c4d8af5,drift,1.0,43,True,False
52ff058ac620f898f36b,41,context_52ff058ac620f898f36b_v41,context_52ff058ac620f898f36b_v41,False,2cd2309b410080b762ff7dd6798643f93148f317948d3e2285c2cc087080f22c,drift,2.0,42,True,False
52ff058ac620f898f36b,42,context_52ff058ac620f898f36b_v42,context_52ff058ac620f898f36b_v42,False,c1def851867ff83dcf8e0c6ec12ff6b76e604fbeff26ab7fdfa92df9278a3073,drift,2.0,43,True,False
27b322d680d6e9c660ac,0,context_27b322d680d6e9c660ac_v0,context_27b322d680d6e9c660ac_v0,False,978c23043fc3fe33c97308f6acf4209008e5bd3d7e3f4a662c33d190fd43e1cb,identity,0.0,0,False,True
27b322d680d6e9c660ac,1,context_27b322d680d6e9c660ac_v1,context_27b322d680d6e9c660ac_v0,True,978c23043fc3fe33c97308f6acf4209008e5bd3d7e3f4a662c33d190fd43e1cb,random_missing,0.5,42,False,True
27b322d680d6e9c660ac,2,context_27b322d680d6e9c660ac_v2,context_27b322d680d6e9c660ac_v2,False,a58c780ad0402b0f721cd09c98d7c181bd1a40b6ed118b70d708b29af4a6338c,random_missing,0.5,43,True,False
27b322d680d6e9c660ac,3,context_27b322d680d6e9c660ac_v3,context_27b322d680d6e9c660ac_v3,False,9a6054c2498cf1ca90018a91d296e94cf63cba427ed2a447383b3c5196b0d6ec,random_missing,1.0,42,True,False
27b322d680d6e9c660ac,4,context_27b322d680d6e9c660ac_v4,context_27b322d680d6e9c660ac_v3,True,9a6054c2498cf1ca90018a91d296e94cf63cba427ed2a447383b3c5196b0d6ec,random_missing,1.0,43,True,False
27b322d680d6e9c660ac,5,context_27b322d680d6e9c660ac_v5,context_27b322d680d6e9c660ac_v5,False,21c1e882e530414c13c4ec1e8d3338b5bd1600664db958f5a188021a8a0cb1ad,random_missing,2.0,42,True,False
27b322d680d6e9c660ac,6,context_27b322d680d6e9c660ac_v6,context_27b322d680d6e9c660ac_v6,False,f5fc5a6b02d8cd57333dc3f1bf821367e9f36846c3dd8f0f0d523c5c73783556,random_missing,2.0,43,True,False
27b322d680d6e9c660ac,7,context_27b322d680d6e9c660ac_v7,context_27b322d680d6e9c660ac_v7,False,aa548f6b6ce0689e76b17f93b521d3f2f48d25a90cc4b6625e3725d522c84945,block_missing,0.5,42,True,False
27b322d680d6e9c660ac,8,context_27b322d680d6e9c660ac_v8,context_27b322d680d6e9c660ac_v7,True,aa548f6b6ce0689e76b17f93b521d3f2f48d25a90cc4b6625e3725d522c84945,block_missing,0.5,43,True,False
27b322d680d6e9c660ac,9,context_27b322d680d6e9c660ac_v9,context_27b322d680d6e9c660ac_v9,False,521e1f2d48ba796a70101bd8a0c012963c03111c5cf967a1dca5c36d72f3017b,block_missing,1.0,42,True,False
27b322d680d6e9c660ac,10,context_27b322d680d6e9c660ac_v10,context_27b322d680d6e9c660ac_v9,True,521e1f2d48ba796a70101bd8a0c012963c03111c5cf967a1dca5c36d72f3017b,block_missing,1.0,43,True,False
27b322d680d6e9c660ac,11,context_27b322d680d6e9c660ac_v11,context_27b322d680d6e9c660ac_v11,False,bd1d5e0ea2cb55e5a9c27ba20b5a733dc275f7a22b9a9154be03d52260e1e086,block_missing,2.0,42,True,False
27b322d680d6e9c660ac,12,context_27b322d680d6e9c660ac_v12,context_27b322d680d6e9c660ac_v11,True,bd1d5e0ea2cb55e5a9c27ba20b5a733dc275f7a22b9a9154be03d52260e1e086,block_missing,2.0,43,True,False
27b322d680d6e9c660ac,13,context_27b322d680d6e9c660ac_v13,context_27b322d680d6e9c660ac_v13,False,f5f0259f63b4fb870d6efabd5bd12531b483a1d3beea24686a826dc5ced2559b,stuck,0.5,42,True,False
27b322d680d6e9c660ac,14,context_27b322d680d6e9c660ac_v14,context_27b322d680d6e9c660ac_v13,True,f5f0259f63b4fb870d6efabd5bd12531b483a1d3beea24686a826dc5ced2559b,stuck,0.5,43,True,False
27b322d680d6e9c660ac,15,context_27b322d680d6e9c660ac_v15,context_27b322d680d6e9c660ac_v15,False,4c5fae41e5b2904a508cdfc21f8fcd870d0b1ebae912bf570c4b6b9a8b462789,stuck,1.0,42,True,False
27b322d680d6e9c660ac,16,context_27b322d680d6e9c660ac_v16,context_27b322d680d6e9c660ac_v15,True,4c5fae41e5b2904a508cdfc21f8fcd870d0b1ebae912bf570c4b6b9a8b462789,stuck,1.0,43,True,False
27b322d680d6e9c660ac,17,context_27b322d680d6e9c660ac_v17,context_27b322d680d6e9c660ac_v17,False,4a30a66d073b40f746229fd476f69a72fae67526790a4db3c25359704025a524,stuck,2.0,42,True,False
27b322d680d6e9c660ac,18,context_27b322d680d6e9c660ac_v18,context_27b322d680d6e9c660ac_v17,True,4a30a66d073b40f746229fd476f69a72fae67526790a4db3c25359704025a524,stuck,2.0,43,True,False
27b322d680d6e9c660ac,19,context_27b322d680d6e9c660ac_v19,context_27b322d680d6e9c660ac_v19,False,b318b63993d3c95a9651d85a973a675bdd7571759b71f42c73038fa380781dea,dropout,0.5,42,True,False
27b322d680d6e9c660ac,20,context_27b322d680d6e9c660ac_v20,context_27b322d680d6e9c660ac_v19,True,b318b63993d3c95a9651d85a973a675bdd7571759b71f42c73038fa380781dea,dropout,0.5,43,True,False
27b322d680d6e9c660ac,21,context_27b322d680d6e9c660ac_v21,context_27b322d680d6e9c660ac_v21,False,9e702da45214603b8d17ed4291eca2920e110b67d4c9c0e55cccd5304b6b1cac,dropout,1.0,42,True,False
27b322d680d6e9c660ac,22,context_27b322d680d6e9c660ac_v22,context_27b322d680d6e9c660ac_v21,True,9e702da45214603b8d17ed4291eca2920e110b67d4c9c0e55cccd5304b6b1cac,dropout,1.0,43,True,False
27b322d680d6e9c660ac,23,context_27b322d680d6e9c660ac_v23,context_27b322d680d6e9c660ac_v23,False,80f46bf4a487070092fc095b326b843478ee2c997f8a96cb4f6f2bf1e8e80373,dropout,2.0,42,True,False
27b322d680d6e9c660ac,24,context_27b322d680d6e9c660ac_v24,context_27b322d680d6e9c660ac_v23,True,80f46bf4a487070092fc095b326b843478ee2c997f8a96cb4f6f2bf1e8e80373,dropout,2.0,43,True,False
27b322d680d6e9c660ac,25,context_27b322d680d6e9c660ac_v25,context_27b322d680d6e9c660ac_v25,False,59cec263bfad5c7638ff988d58baaa47d585eefc492696fa21943b83d968619f,bias,0.5,42,True,False
27b322d680d6e9c660ac,26,context_27b322d680d6e9c660ac_v26,context_27b322d680d6e9c660ac_v26,False,aa4acb1fb6e69e84e884b4fbea7a70ddf07c2db9aba2632ed4b0cd515b93abaa,bias,0.5,43,True,False
27b322d680d6e9c660ac,27,context_27b322d680d6e9c660ac_v27,context_27b322d680d6e9c660ac_v27,False,4cd2200f68f265cc7127657ea982aa943701ca992eed7a9b56aef2bd51041554,bias,1.0,42,True,False
27b322d680d6e9c660ac,28,context_27b322d680d6e9c660ac_v28,context_27b322d680d6e9c660ac_v28,False,39d1e2f60d8ef403d16c8176690a9a10a0cd1feddde91d31b11a5bdbd86497e2,bias,1.0,43,True,False
27b322d680d6e9c660ac,29,context_27b322d680d6e9c660ac_v29,context_27b322d680d6e9c660ac_v29,False,100856f806bcfb4f54e014ae0f728e1ca501e1458577e9ab49a1e66ed9046b06,bias,2.0,42,True,False
27b322d680d6e9c660ac,30,context_27b322d680d6e9c660ac_v30,context_27b322d680d6e9c660ac_v30,False,dc050be542f0ed173b36c1fa7a818ea9b40a56cc94c58a5d6af666a5c15eb090,bias,2.0,43,True,False
27b322d680d6e9c660ac,31,context_27b322d680d6e9c660ac_v31,context_27b322d680d6e9c660ac_v31,False,6cbef6bec0d57dad78512dc8a364b77da5944104929032c2e15d6d84dfb1f3db,level_shift,0.5,42,True,False
27b322d680d6e9c660ac,32,context_27b322d680d6e9c660ac_v32,context_27b322d680d6e9c660ac_v32,False,892a1cf4217e904d14ad8b047babcaf06eed1da179b548a1be572ae87e685017,level_shift,0.5,43,True,False
27b322d680d6e9c660ac,33,context_27b322d680d6e9c660ac_v33,context_27b322d680d6e9c660ac_v33,False,f51018ebf56a516c72acd3c307c118a9cdf0e713f15f77cb32b45dd9cf3057b8,level_shift,1.0,42,True,False
27b322d680d6e9c660ac,34,context_27b322d680d6e9c660ac_v34,context_27b322d680d6e9c660ac_v34,False,a931463c3ce9f3a22fc1e6443cf21ec213c28172c40cc798c557176cd9f41814,level_shift,1.0,43,True,False
27b322d680d6e9c660ac,35,context_27b322d680d6e9c660ac_v35,context_27b322d680d6e9c660ac_v35,False,14f7baab04e92dc0eab53c426540ae7c0a0ba613d44da3dfe9ee87f702b51f17,level_shift,2.0,42,True,False
27b322d680d6e9c660ac,36,context_27b322d680d6e9c660ac_v36,context_27b322d680d6e9c660ac_v36,False,6f2e1627a9ffa88458fcdd91fd86e040c33fe763fa8114163f81e50c889833e6,level_shift,2.0,43,True,False
27b322d680d6e9c660ac,37,context_27b322d680d6e9c660ac_v37,context_27b322d680d6e9c660ac_v37,False,6cc9c4a083ce512241550639d41e8b7d29c5f6ce1418a381ac8959135ac090af,drift,0.5,42,True,False
