control_id,rule_id,channel,family,severity,scheduled,effective,null,aliases,effective_contexts,supported,recall,misses,detected,detected_delay_median,detected_delay_q90,restricted_mean_detection_minutes
cqr_rolling,30min_3of3,numerical_only,block_missing,2.0,136,136,0,68,68,True,0.014705882352941176,134,2,90.0,90.0,109.70588235294117
cqr_rolling,30min_3of3,numerical_only,stuck,0.5,136,136,0,68,68,True,0.07352941176470588,126,10,10.0,40.0,102.79411764705883
cqr_rolling,30min_3of3,numerical_only,stuck,1.0,136,136,0,71,68,True,0.058823529411764705,128,8,15.0,90.0,105.29411764705883
cqr_rolling,30min_3of3,numerical_only,stuck,2.0,136,136,0,68,68,True,0.04411764705882353,130,6,20.0,90.0,106.76470588235294
cqr_rolling,30min_3of3,numerical_only,dropout,0.5,136,136,0,69,68,True,0.11764705882352941,120,16,20.0,40.0,99.55882352941177
cqr_rolling,30min_3of3,numerical_only,dropout,1.0,136,136,0,69,68,True,0.6911764705882353,42,94,30.0,30.0,52.94117647058823
cqr_rolling,30min_3of3,numerical_only,dropout,2.0,136,136,0,70,68,True,0.75,34,102,20.0,20.0,41.029411764705884
cqr_rolling,30min_3of3,numerical_only,bias,0.5,136,136,0,0,68,True,0.125,119,17,30.0,34.0,98.67647058823529
cqr_rolling,30min_3of3,numerical_only,bias,1.0,136,136,0,0,68,True,0.35294117647058826,88,48,30.0,30.0,80.73529411764706
cqr_rolling,30min_3of3,numerical_only,bias,2.0,136,136,0,0,68,True,0.3897058823529412,83,53,30.0,30.0,77.42647058823529
cqr_rolling,30min_3of3,numerical_only,level_shift,0.5,136,136,0,0,68,True,0.1323529411764706,118,18,20.0,33.00000000000001,97.79411764705883
cqr_rolling,30min_3of3,numerical_only,level_shift,1.0,136,136,0,0,68,True,0.3235294117647059,92,44,20.0,20.0,80.73529411764706
cqr_rolling,30min_3of3,numerical_only,level_shift,2.0,136,136,0,0,68,True,0.35294117647058826,88,48,20.0,20.0,77.79411764705883
cqr_rolling,30min_3of3,numerical_only,drift,0.5,136,136,0,0,68,True,0.10294117647058823,122,14,10.0,50.0,100.95588235294117
cqr_rolling,30min_3of3,numerical_only,drift,1.0,136,136,0,0,68,True,0.22794117647058823,105,31,40.0,50.0,92.6470588235294
cqr_rolling,30min_3of3,numerical_only,drift,2.0,136,136,0,0,68,True,0.34558823529411764,89,47,30.0,40.0,82.05882352941177
cqr_rolling,360min_4of36,availability_only,random_missing,0.5,136,63,73,73,50,True,0.0,63,0,,,110.0
cqr_rolling,360min_4of36,availability_only,random_missing,1.0,136,105,31,44,64,True,0.046875,100,5,50.0,50.0,107.109375
cqr_rolling,360min_4of36,availability_only,random_missing,2.0,136,126,10,15,68,True,0.20588235294117646,101,25,50.0,50.0,96.61764705882354
cqr_rolling,360min_4of36,availability_only,block_missing,0.5,136,136,0,76,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,block_missing,1.0,136,136,0,72,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,block_missing,2.0,136,136,0,68,68,True,1.0,0,136,30.0,30.0,30.0
cqr_rolling,360min_4of36,availability_only,stuck,0.5,136,136,0,68,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,stuck,1.0,136,136,0,71,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,stuck,2.0,136,136,0,68,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,dropout,0.5,136,136,0,69,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,dropout,1.0,136,136,0,69,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,dropout,2.0,136,136,0,70,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,bias,0.5,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,bias,1.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,bias,2.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,level_shift,0.5,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,level_shift,1.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,level_shift,2.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,drift,0.5,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,drift,1.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,availability_only,drift,2.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,360min_4of36,combined,random_missing,0.5,136,63,73,73,50,True,0.1,57,6,30.0,40.0,101.9
cqr_rolling,360min_4of36,combined,random_missing,1.0,136,105,31,44,64,True,0.1484375,88,17,30.0,90.0,99.375
