dataset,outer_fold,model_seed,horizon,level,method,support,group_id,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
rico,2,42,5,0.9,quantile_uncalibrated,native,P4S7,212,0.28773584905660377,-0.6122641509433963,0.6122641509433963,3.9270206637645924,8.695243958500443,0.16689444109055837,0.18910967067223944,35.381621511198375,7.581643118853726,832.5283807180936,1843.391719202094,61,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P4S8,212,0.0,-0.9,0.9,4.03807460782973,8.97869477313856,0.06882359796697,0.0782650399540487,14.590602768997641,1.2985882935498738,856.0718168599026,1903.4832919053747,0,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P4S9,212,0.9339622641509434,0.03396226415094339,0.03396226415094339,0.6110419451792775,0.6267720071109976,0.09463318205933662,0.13525940580278267,20.062234596579362,3.878562653921829,129.54089237800682,132.8756655075315,198,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P1S101,157,0.6560509554140127,-0.24394904458598732,0.24394904458598732,0.17212865373302755,0.40086355666628437,0.07877004406253685,0.09791995300579234,12.366896917818284,1.5053657998750831,27.024198636085327,62.935578396606644,103,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P3S0,157,0.7006369426751592,-0.19936305732484083,0.19936305732484083,1.0954073174711445,1.9226354345743588,0.14950337642147712,0.17191550563596605,23.47203009817191,4.6401257492569705,171.9789488429697,301.85376322817433,110,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P3S1,157,0.5477707006369427,-0.35222929936305736,0.35222929936305736,2.1007415014553312,4.29697826697708,0.10557999689036243,0.13418450141694052,16.5760595117869,2.8268604260205272,329.816415728487,674.6255879154015,86,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P3S2,157,0.2611464968152866,-0.6388535031847133,0.6388535031847133,2.1443827191244393,6.114867738000451,0.17507286702357544,0.21278174589141827,27.486440122701346,7.108343207382214,336.66808690253697,960.0342348660708,41,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P3S3,157,0.07643312101910828,-0.8235668789808918,0.8235668789808918,4.036793803877662,17.981042762032278,0.19549873132788226,0.23296521752475546,30.693300818477514,8.52082843448799,633.7766272087929,2823.023713639068,12,157,0,12,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P3S4,157,0.11464968152866242,-0.7853503184713376,0.7853503184713376,3.7612703775608183,17.22532285790191,0.2245320521820699,0.2528019197318777,35.251532192584975,10.033683267359272,590.5194492770485,2704.3756886906003,18,157,0,36,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P3S5,157,0.5286624203821656,-0.3713375796178344,0.3713375796178344,1.0454895795001482,4.170204584711781,0.23426567447286212,0.312574520186217,36.77971089223935,15.339344415134075,164.14186398152327,654.7221197997496,83,157,0,157,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S0,157,1.0,0.09999999999999998,0.09999999999999998,1.256746869992082,1.256746869992082,0.10412440789563701,0.1391183715514793,16.34753203961501,3.0385656445922646,197.30925858875688,197.30925858875688,157,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S1,157,0.47770700636942676,-0.42229299363057327,0.42229299363057327,1.0960891349944992,3.84637988139691,0.07220517940000017,0.09480621640683976,11.336213165800025,1.4111503310927433,172.0859941941364,603.8816413793148,75,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S10,157,0.9490445859872612,0.049044585987261136,0.049044585987261136,0.47669544500966304,0.5195582515026197,0.11959730096399392,0.13042903040220336,18.776776251347044,2.670841919550445,74.8411848665171,81.5706454859113,149,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S11,157,1.0,0.09999999999999998,0.09999999999999998,1.002806498117947,1.002806498117947,0.07158853633203476,0.08529868552753893,11.239400204129456,1.1423109231779787,157.44062020451767,157.44062020451767,157,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S12,157,0.910828025477707,0.010828025477707004,0.010828025477707004,1.5167374645382425,1.579252560892994,0.08835257589225373,0.10682320642328604,13.871354415083836,1.7915579965966608,238.12778193250406,247.94265206020003,143,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S13,157,0.9044585987261147,0.004458598726114649,0.004458598726114649,1.0004656129850016,1.3240348374934354,0.10189828414981209,0.14318886000783876,15.998030611520498,3.2189787919640778,157.07310123864525,207.87346948646936,142,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S14,157,0.2802547770700637,-0.6197452229299363,0.6197452229299363,1.1275774823240672,5.2637813453459685,0.0684546178807791,0.08419228943522226,10.747375007282319,1.1128696312540454,177.02966472487856,826.413671219317,44,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S15,157,0.9617834394904459,0.061783439490445846,0.061783439490445846,1.1108416788559614,1.3658471897711213,0.09097233718402511,0.11657819327876136,14.282656937891943,2.1337045982580176,174.40214358038594,214.43800879406604,151,157,0,0,complete
