dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,command_seconds,process_cpu_seconds,preparation_seconds,preparation_peak_rss_MiB,action_peak_rss_MiB,lifetime_peak_rss_MiB,validation_seconds,validation_cpu_seconds,resume_seconds,output_bytes
pleia,3,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b7e3fa5ed8095f5fd84d9934e8cfc8e570437f6da1fa9ab9bb67e1ef8b940f33,206.8879031000106,201.09375,7.217038600007072,1179.5625,1179.6875,1186.71875,15.743080700005521,11.0625,12.318124299999909,9796669
pleia,6,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,525531103bdd604f7fcaff1fd54d3b905c82394b6ab9d0a9f351f372258537df,126.11318349999783,122.21875,7.5804234000097495,1053.5234375,1053.51953125,1186.72265625,15.067840000003343,10.453125,12.545097800000804,9793434
pleia_energy,1,2,45,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,62525d471de44634625aece820db117b886a496789ecd0dc85fc593cfee8dbee,112.02612310000404,106.65625,3.6972989000059897,379.19140625,593.6640625,598.78515625,11.033835299997008,6.5,8.884133299987298,9981901
pleia_energy,3,2,45,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,c4251293278cc903db86fe4f42a91a7108a0c33bdffb224f47cfe4b37bfbafc1,84.5758988999878,81.359375,3.447075499992934,380.890625,608.03515625,608.53515625,11.185211699994397,6.75,8.440432799994596,9998256
pleia_energy,6,2,45,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,3fd3655fa8c8f5b07cbc7734a71eee3a1d2ad04dceebe9ed0c4d80fa5c1ad796,93.01245449999988,89.140625,3.7128458000079263,379.3125,596.66015625,597.34375,10.820355500007281,6.390625,8.544227899998077,9991079
rico,5,2,45,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,adda24f5b9ed20420c5e5eb85728317dc112a5ed5567a38f1aafc895df114e1c,124.77266620000592,119.59375,10.438523400007398,448.40625,641.4921875,641.4921875,26.116489400010323,20.984375,22.406351800003904,9176507
rico,15,2,45,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,992e3d20e746f1fcb3e78f8d1a69d9ebf12ed9e0140eadbf817f49e2ed57c3f8,91.62032229999022,87.953125,9.693331100002979,450.23046875,617.46875,619.4921875,25.178327999994508,19.859375,22.145321999996668,8800613
rico,30,2,45,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,5769aea4df39adc1c5884a4ac4950471da7bbe227eea0549a15de94fbdebfb6d,82.24779419999686,79.078125,8.959402299995418,434.3203125,617.7421875,619.16015625,25.063245299999835,18.765625,21.59206229999836,8206242
rico,60,2,45,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,13626bbe92c4fc2e657cc07a12d739e6c76c86fd5e6e16d106077d5e6ffeef37,78.94048860001203,75.40625,8.662734500001534,438.015625,611.62890625,612.20703125,25.23125670000445,20.1875,21.535492499999236,6416358
bdg2,1,2,45,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d17374d7dfe7206b1bc2d78ed29eb81be4f2ec7661fd25177f694623751f05b4,672.8949177000031,658.453125,14.982826899999054,882.7109375,882.6484375,984.25390625,27.559667299996363,22.859375,21.003313300010632,34608836
