timestamp,observed,point_forecast,lower,upper,interval_violation,injected_event,alert_3of5,alert_4of7
2021-10-13 16:00:00,27.2,27.1207599371652,26.426007838911232,27.8835608816035,0,0,0,0
2021-10-13 16:10:00,27.6,26.96912061602458,26.316254696528475,27.881012473043835,0,0,0,0
2021-10-13 16:20:00,27.6,27.125593482839545,26.34430249698981,27.748190950554925,0,0,0,0
2021-10-13 16:30:00,27.4,27.17583503254814,26.49256271803863,27.88778302202023,0,0,0,0
2021-10-13 16:40:00,27.4,27.175172602175945,26.38433936844924,27.93652699198897,0,0,0,0
2021-10-13 16:50:00,27.5,27.160438440975707,26.391122433811024,27.78961390486331,0,0,0,0
2021-10-13 17:00:00,27.5,27.16680460671149,26.43251847829875,27.751741617808843,0,0,0,0
2021-10-13 17:10:00,27.7,27.20261993319504,26.585752117906573,27.70826343774577,0,0,0,0
2021-10-13 17:20:00,27.3,27.203767516207098,26.70030378174146,27.78348314643893,0,0,0,0
2021-10-13 17:30:00,27.6,27.322712926934333,26.72294538802937,27.90806283644389,0,0,0,0
2021-10-13 17:40:00,27.7,27.18423782663402,26.735022148133243,27.781188290743007,0,0,0,0
2021-10-13 17:50:00,27.9,27.2047618639151,26.73846994938744,27.88417058980874,1,0,0,0
2021-10-13 18:00:00,28.1,27.3325568651154,26.662582989890023,27.936887551995405,1,0,0,0
2021-10-13 18:10:00,28.5,27.638596291404596,26.68443938930133,28.30462563402039,1,0,1,0
2021-10-13 18:20:00,28.5,27.734911543983475,26.461449330181285,28.564538672954328,0,0,1,0
2021-10-13 18:30:00,28.5,28.047917167245505,26.989235288213248,28.810978640021418,0,0,1,0
2021-10-13 18:40:00,27.8,28.0975186105724,27.335195547489334,28.805246524006023,0,0,0,0
2021-10-13 18:50:00,27.5,28.057970078726488,27.31684081295412,28.814003716055613,0,0,0,0
2021-10-13 19:00:00,27.0,27.55426925120296,26.85393155853254,28.362655351759287,0,0,0,0
2021-10-13 19:10:00,26.7,27.02856645071332,25.947990753044888,28.126530703403155,0,0,0,0
2021-10-13 19:20:00,26.5,26.574663415619053,25.78602152439988,27.818430047575006,0,0,0,0
2021-10-13 19:30:00,26.5,26.267551563551542,25.59892174087664,27.51094495336559,0,0,0,0
2021-10-13 19:40:00,26.3,26.110304753723515,25.754835725086654,27.444714947869222,0,0,0,0
2021-10-13 19:50:00,26.1,26.098423435402527,25.751345265717685,27.30680581870948,0,0,0,0
2021-10-13 20:00:00,25.9,26.113747088105978,25.816004362134112,27.037542055561293,0,0,0,0
2021-10-13 20:10:00,25.8,26.066601028672263,25.33436856287212,26.89162325720712,0,0,0,0
2021-10-13 20:20:00,26.0,25.67232583562337,25.217758436045905,26.88190404230684,0,0,0,0
2021-10-13 20:30:00,25.8,25.669832020525018,25.19818608126897,26.87408714786281,0,0,0,0
2021-10-13 20:40:00,25.7,25.844461155255782,25.162201166302943,26.795591818517497,0,0,0,0
2021-10-13 20:50:00,25.8,25.674378273015854,25.26377089437679,26.66844053853545,0,0,0,0
2021-10-13 21:00:00,25.8,25.622355691648934,25.273653288621706,26.55287861855209,0,0,0,0
2021-10-13 21:10:00,25.5,25.61686478177065,25.30550910961347,26.4141795515198,0,0,0,0
2021-10-13 21:20:00,25.5,25.667656142841405,25.21815812099723,26.498507808449016,0,0,0,0
2021-10-13 21:30:00,25.6,25.44266468928439,25.11250555253523,26.376017361091154,0,0,0,0
2021-10-13 21:40:00,25.7,25.445288925029896,25.13012219858929,26.36901165939528,0,0,0,0
2021-10-13 21:50:00,25.8,25.466055093361884,25.09814864507701,26.36901165939528,0,0,0,0
2021-10-13 22:00:00,25.8,25.677629204217705,25.16855736507864,26.36901165939528,0,0,0,0
2021-10-13 22:10:00,25.8,25.68436811002024,25.20085323750931,26.43610019379288,0,0,0,0
2021-10-13 22:20:00,25.9,25.676541015200662,25.254457106747505,26.4155846286944,0,0,0,0
2021-10-13 22:30:00,25.7,25.65266883370587,25.22514779107201,26.392404697811696,0,1,0,0
2021-10-13 22:40:00,25.444587365130975,25.68903344594781,25.24131454389873,26.363765829332984,0,1,0,0
2021-10-13 22:50:00,24.88917473026195,25.652521283482304,25.20103702598942,26.297223516652146,1,1,0,0
2021-10-13 23:00:00,24.43376209539293,25.66945643909442,25.05942395767341,26.456213154868948,1,1,0,0
