dataset,outer_fold,model_seed,horizon,level,method,support,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
pleia,2,42,3,0.9,quantile_uncalibrated,native,9907,0.0636923387503785,-0.836307661249622,0.836307661249622,2.21039592447847,58.2353933074017,4.04210380437037,4.46298546109984,40045.1223898972,197329.996011868,21898.3924238082,576938.041496429,631,9907,0,0,complete
pleia,2,42,3,0.9,cqr,native,9907,0.269708287069749,-0.630291712930251,0.630291712930251,3.76966048338431,33.3063061281724,4.04210380437037,4.46298546109984,40045.1223898972,197329.996011868,37346.0264088884,329965.574811803,2672,9907,0,0,complete
pleia,2,42,3,0.9,recentred_enbpi_static,native,9907,0.038457656202685,-0.861542343797315,0.861542343797315,1.92090873718262,70.6938096382308,4.3821918459675,4.77558466801388,43414.374618,225941.111784005,19030.4428592682,700363.572085953,381,9907,0,0,complete
pleia,2,42,3,0.9,recentred_enbpi_updated,native,9907,0.754113253255274,-0.145886746744726,0.145886746744726,5.77034936943575,9.74332992661755,4.3821918459675,4.77558466801388,43414.374618,225941.111784005,57166.851203,96527.169583,7471,9907,0,0,complete
pleia,2,42,3,0.9,dscp,native,9902,0.371642092506564,-0.528357907493436,0.528357907493436,2.71356519941031,23.9071247370695,3.52358276896514,3.91758646964722,34890.5165782928,151970.784064408,26869.7226045609,236728.349146462,3680,9902,0,0,complete
pleia,2,42,3,0.95,quantile_uncalibrated,native,9907,0.137175734329262,-0.812824265670738,0.812824265670738,3.690029108582,91.2263485633973,4.04210380437037,4.46298546109984,40045.1223898972,197329.996011868,36557.1183787219,903779.435217577,1359,9907,0,0,complete
pleia,2,42,3,0.95,cqr,native,9907,0.336025032805087,-0.613974967194913,0.613974967194913,4.93688230822148,52.6470101597268,4.04210380437037,4.46298546109984,40045.1223898972,197329.996011868,48909.6930275502,521573.929652413,3329,9907,0,0,complete
pleia,2,42,3,0.95,recentred_enbpi_static,native,9907,0.0565256889068336,-0.893474311093166,0.893474311093166,2.45578632354736,131.157743307679,4.3821918459675,4.77558466801388,43414.374618,225941.111784005,24329.4751073837,1299379.76294918,560,9907,0,0,complete
pleia,2,42,3,0.95,recentred_enbpi_updated,native,9907,0.854446351064904,-0.0955536489350963,0.0955536489350963,6.49923155445645,10.2232587271626,4.3821918459675,4.77558466801388,43414.374618,225941.111784005,64387.88701,101281.82421,8465,9907,0,0,complete
pleia,2,42,3,0.95,dscp,native,9902,0.461320945263583,-0.488679054736417,0.488679054736417,3.46828723205939,35.8362224475496,3.52358276896514,3.91758646964722,34890.5165782928,151970.784064408,34342.9801718521,354850.274675636,4568,9902,0,0,complete
