dataset,outer_fold,model_seed,run_wall_seconds,validation_wall_seconds,resume_wall_seconds,resume_wall_seconds_recorded,validation_receipt,resume_receipt,run_stage_cpu_seconds,validation_cpu_seconds,run_peak_rss_bytes,validation_peak_rss_bytes
pleia_energy,1,43,420.34191269997973,255.17022830003407,4.71345109998947,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_energy_f1_s43,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_energy_f1_s43.json,382.265625,246.921875,666066944,597966848
pleia_energy,1,44,424.7924226000323,255.2443982999539,4.27343960001599,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_energy_f1_s44,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_energy_f1_s44.json,380.9375,247.34375,664559616,599601152
pleia_energy,1,45,418.1548593000043,254.36855579999974,4.17437029996654,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_energy_f1_s45,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_energy_f1_s45.json,379.578125,246.765625,674779136,588988416
pleia_energy,1,46,427.59479750000173,253.68457959999796,4.226025199983269,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_energy_f1_s46,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_energy_f1_s46.json,388.453125,246.15625,672886784,598278144
pleia_energy,2,43,375.5711467000074,232.36665370000992,4.283765500003938,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_energy_f2_s43,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_energy_f2_s43.json,339.984375,224.6875,662597632,596025344
pleia_energy,2,44,381.41357569996035,234.5787237000186,4.088204700034112,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_energy_f2_s44,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_energy_f2_s44.json,343.875,226.09375,655794176,595632128
pleia_energy,2,45,376.9914751999895,233.18380439997418,4.322230999998283,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_energy_f2_s45,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_energy_f2_s45.json,341.734375,225.921875,663216128,587382784
pleia_energy,2,46,372.75949509994825,233.65268689999357,4.22663490002742,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_energy_f2_s46,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_energy_f2_s46.json,336.640625,226.9375,662212608,596008960
rico,0,42,523.5701319000218,382.1614241999923,4.56160189997172,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/rico_f0_s42,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/rico_f0_s42.json,460.6875,371.109375,732168192,668172288
rico,0,43,524.4135676000151,381.6881820000126,4.472585500043351,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/rico_f0_s43,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/rico_f0_s43.json,461.796875,369.40625,730910720,668536832
rico,0,44,522.743719799968,381.6949755999958,4.6505563000100665,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/rico_f0_s44,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/rico_f0_s44.json,459.59375,371.109375,736980992,670363648
rico,0,45,521.0315438999678,382.280883600004,4.685673900006805,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/rico_f0_s45,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/rico_f0_s45.json,458.453125,370.703125,738496512,668393472
rico,0,46,521.5649440000416,382.77004370000213,4.443527499970514,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/rico_f0_s46,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/rico_f0_s46.json,458.578125,370.65625,737796096,668569600
rico,1,42,446.68577420001384,342.53603140002815,4.638099499978125,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/rico_f1_s42,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/rico_f1_s42.json,388.25,332.171875,731037696,662876160
rico,1,43,447.99446060002083,342.72379239997827,4.577539499965496,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/rico_f1_s43,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/rico_f1_s43.json,389.78125,332.609375,727425024,661221376
rico,1,44,450.7193361000391,341.7851556999958,4.592952199978754,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/rico_f1_s44,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/rico_f1_s44.json,390.421875,330.25,718405632,662827008
rico,1,45,447.1770577999996,341.6749054000247,4.589495799969882,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/rico_f1_s45,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/rico_f1_s45.json,387.6875,329.5,721432576,665063424
rico,1,46,448.61615299998084,344.3849793000263,4.401837999990676,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/rico_f1_s46,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/rico_f1_s46.json,388.625,332.265625,719425536,665227264
rico,2,43,393.0011527000461,319.28582310001366,4.412560200027656,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/rico_f2_s43,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/rico_f2_s43.json,336.828125,307.140625,716595200,660561920
rico,2,44,390.23585970001295,318.7692934999941,4.3841353000025265,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/rico_f2_s44,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/rico_f2_s44.json,334.65625,308.171875,718299136,659320832
rico,2,45,389.528071800014,319.3935044000391,4.511264000029769,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/rico_f2_s45,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/rico_f2_s45.json,335.078125,307.984375,718290944,661159936
rico,2,46,389.90566310001304,317.62841969996225,4.547930200002156,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/rico_f2_s46,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/rico_f2_s46.json,333.890625,308.140625,716865536,661872640
bdg2,0,42,1187.8311706999957,974.820928399975,5.54638139999588,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/bdg2_f0_s42,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/bdg2_f0_s42.json,1123.078125,964.578125,1036353536,1037271040
bdg2,0,43,1177.2071488999936,958.322231099999,5.419004600000335,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/bdg2_f0_s43,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/bdg2_f0_s43.json,1111.796875,947.359375,1036460032,1038098432
bdg2,0,44,1134.620486800006,914.9103548000276,5.136901299993042,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/bdg2_f0_s44,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/bdg2_f0_s44.json,1077.921875,911.203125,1036107776,1037799424
bdg2,0,45,1125.019595699996,910.7177408999996,5.201013400015654,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/bdg2_f0_s45,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/bdg2_f0_s45.json,1068.890625,906.78125,1036824576,1036713984
bdg2,0,46,1120.5385271999985,1808.5674464999756,,False,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/rank_recovery_v1/corrected_validation/bdg2_f0_s46,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/rank_recovery_v1/resumes/bdg2_f0_s46.json,1065.203125,2107.453125,1036394496,1040703488
bdg2,1,42,1779.9751047000173,774.8818113000016,,False,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/bdg2_f1_s42,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/bdg2_f1_s42.json,1669.234375,1315.921875,1036201984,1040883712
bdg2,1,43,1489.1363539000158,1421.6717238999845,5.962501700007124,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/bdg2_f1_s43,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/bdg2_f1_s43.json,1390.03125,1391.40625,1036394496,1034924032
bdg2,1,44,1752.2229290999821,1432.064546700014,5.87625480000861,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/bdg2_f1_s44,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/bdg2_f1_s44.json,1628.359375,1400.140625,1035972608,1035599872
bdg2,1,45,1750.1224179999845,1426.371476899978,5.676617699995404,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/bdg2_f1_s45,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/bdg2_f1_s45.json,1625.078125,1390.03125,1036951552,1037045760
bdg2,1,46,1758.3196951000136,1427.0375804000068,5.888338199991267,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/bdg2_f1_s46,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/bdg2_f1_s46.json,1633.234375,1388.859375,1036267520,1036722176
