dataset,outer_fold,role,family,severity,variant_rows,unique_context_realisations,alias_rows
rico,2,inner0_selection,block_missing,2.0,30,15,15
rico,2,inner0_selection,drift,0.5,30,30,0
rico,2,inner0_selection,drift,1.0,30,30,0
rico,2,inner0_selection,drift,2.0,30,30,0
rico,2,inner0_selection,dropout,0.5,30,15,15
rico,2,inner0_selection,dropout,1.0,30,15,15
rico,2,inner0_selection,dropout,2.0,30,15,15
rico,2,inner0_selection,level_shift,0.5,30,30,0
rico,2,inner0_selection,level_shift,1.0,30,30,0
rico,2,inner0_selection,level_shift,2.0,30,30,0
rico,2,inner0_selection,random_missing,0.5,30,30,0
rico,2,inner0_selection,random_missing,1.0,30,30,0
rico,2,inner0_selection,random_missing,2.0,30,30,0
rico,2,inner0_selection,stuck,0.5,30,15,15
rico,2,inner0_selection,stuck,1.0,30,15,15
rico,2,inner0_selection,stuck,2.0,30,15,15
rico,2,inner1_selection,bias,0.5,32,32,0
rico,2,inner1_selection,bias,1.0,32,32,0
rico,2,inner1_selection,bias,2.0,32,32,0
rico,2,inner1_selection,block_missing,0.5,32,16,16
rico,2,inner1_selection,block_missing,1.0,32,16,16
rico,2,inner1_selection,block_missing,2.0,32,16,16
rico,2,inner1_selection,drift,0.5,32,32,0
rico,2,inner1_selection,drift,1.0,32,32,0
rico,2,inner1_selection,drift,2.0,32,32,0
rico,2,inner1_selection,dropout,0.5,32,16,16
rico,2,inner1_selection,dropout,1.0,32,16,16
rico,2,inner1_selection,dropout,2.0,32,16,16
rico,2,inner1_selection,level_shift,0.5,32,32,0
rico,2,inner1_selection,level_shift,1.0,32,32,0
rico,2,inner1_selection,level_shift,2.0,32,32,0
rico,2,inner1_selection,random_missing,0.5,32,32,0
rico,2,inner1_selection,random_missing,1.0,32,32,0
rico,2,inner1_selection,random_missing,2.0,32,32,0
rico,2,inner1_selection,stuck,0.5,32,16,16
rico,2,inner1_selection,stuck,1.0,32,16,16
rico,2,inner1_selection,stuck,2.0,32,16,16
rico,2,outer_test,bias,0.5,82,82,0
rico,2,outer_test,bias,1.0,82,82,0
rico,2,outer_test,bias,2.0,82,82,0
rico,2,outer_test,block_missing,0.5,82,41,41
rico,2,outer_test,block_missing,1.0,82,41,41
rico,2,outer_test,block_missing,2.0,82,41,41
rico,2,outer_test,drift,0.5,82,82,0
rico,2,outer_test,drift,1.0,82,82,0
rico,2,outer_test,drift,2.0,82,82,0
rico,2,outer_test,dropout,0.5,82,41,41
rico,2,outer_test,dropout,1.0,82,41,41
rico,2,outer_test,dropout,2.0,82,41,41
rico,2,outer_test,level_shift,0.5,82,82,0
rico,2,outer_test,level_shift,1.0,82,82,0
rico,2,outer_test,level_shift,2.0,82,82,0
rico,2,outer_test,random_missing,0.5,82,82,0
rico,2,outer_test,random_missing,1.0,82,82,0
rico,2,outer_test,random_missing,2.0,82,82,0
rico,2,outer_test,stuck,0.5,82,41,41
rico,2,outer_test,stuck,1.0,82,41,41
rico,2,outer_test,stuck,2.0,82,41,41
